=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBjW2BiAQxNPAF8twEMEAdAO0cZoXCwj3nAJz-4pUaARmZMGrdthoAmMS1pTqGAMzyJioRgAs6yVrR7NcCNHjDUaStm3Hwt4Utsynq19qmd8PUmWv2MNHAAXQwAKDAofGF-YVojNg5cb15+PkFsONFxBUTMjDkcjTzwOLUi-XzdCrs4wxq802jLf0wSzEcqTBcut16PXqDQiKbzJBlMbC5CXxIM8Bl4hs9k7lS0+cXssUqFgoSlRfKdu0Xqk5LF+ouVszgLdH8ANjsXzuwXno++74GTVZms3mLyG4UidwsVioKiWN2hGG24l2MMKcOwMOOSLsMPOWMaAJ4aXS-hh1zxt2ajyoKGMXjWsyI8xp73ANK+rJ+HL+HNBIyi8Bk40m4AAnvhkFDpLCse86YQiXh-CIjCzZCqlDRMQpVTp1QZ1cNwfhFlMUgz5nF6DVZQT1gJYgi9flUTKlGUnaVdda3YEDWDRvdLFRpj4gf5FlaTjaQ3biVQth7Fi7tYdVImvVHU2SU4aA5Dg2aw-DI674YiU-DkxoWRiPTinXLCUT5qSDcEgA
13:28:46: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:28:46: [INFO] Matrix size: 7x5
13:28:47: [INFO] Add COL0 net
13:28:47: [INFO] Add COL1 net
13:28:47: [INFO] Add COL2 net
13:28:47: [INFO] Add COL3 net
13:28:47: [INFO] Add COL4 net
13:28:47: [INFO] Add COL5 net
13:28:47: [INFO] Add Net-(D1-A) net
13:28:47: [INFO] Add Net-(D10-A) net
13:28:47: [INFO] Add Net-(D11-A) net
13:28:47: [INFO] Add Net-(D12-A) net
13:28:47: [INFO] Add Net-(D13-A) net
13:28:47: [INFO] Add Net-(D14-A) net
13:28:47: [INFO] Add Net-(D15-A) net
13:28:47: [INFO] Add Net-(D16-A) net
13:28:47: [INFO] Add Net-(D17-A) net
13:28:47: [INFO] Add Net-(D18-A) net
13:28:47: [INFO] Add Net-(D19-A) net
13:28:47: [INFO] Add Net-(D2-A) net
13:28:47: [INFO] Add Net-(D20-A) net
13:28:47: [INFO] Add Net-(D21-A) net
13:28:47: [INFO] Add Net-(D22-A) net
13:28:47: [INFO] Add Net-(D23-A) net
13:28:47: [INFO] Add Net-(D24-A) net
13:28:47: [INFO] Add Net-(D25-A) net
13:28:47: [INFO] Add Net-(D26-A) net
13:28:47: [INFO] Add Net-(D27-A) net
13:28:47: [INFO] Add Net-(D28-A) net
13:28:47: [INFO] Add Net-(D29-A) net
13:28:47: [INFO] Add Net-(D3-A) net
13:28:47: [INFO] Add Net-(D30-A) net
13:28:47: [INFO] Add Net-(D31-A) net
13:28:47: [INFO] Add Net-(D32-A) net
13:28:47: [INFO] Add Net-(D33-A) net
13:28:47: [INFO] Add Net-(D34-A) net
13:28:47: [INFO] Add Net-(D35-A) net
13:28:47: [INFO] Add Net-(D36-A) net
