=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhNPEpBZZjuPgIxF5YBMjtWAzG-gCzdYBWfgDZ+Adn4AOfgE5+dQjXoMlWOq2JRYCFGlRsA7tubYEdNRwA6AOxs38iuBAAe23ADoBNUjspVT7HRWtiH0jCTaSHr6AeZBdqFq4AC6WABQYOBG8HSesQThWmSIfhTUZkk05hoVXFVYfPVC9aL1EvXS9XL1CmxxKhXqhT5R0YbauQIBzGqsqRkQ2XC5YlM0M44RxaXQ05UIMzXgM3UHDWwzzWetZ+1nnWfdZ73ragNbOtHI4-DM7sxrZ5ceaZJZ-AEBDgFTQjEqlcrgKFHKGnRHnGhQq5om5ou5oh5op5ol4IKF0d5FT5jGhLFaA4nIiwpdKgiZ5Gg8AgJGzmRzgTl0bnWXmFWnshCc5hCjbDSJwvw-OBiAKc4TS6FOSmjPSKyYqt7qvkCqUhHkaxZs+kC4IJEUglzGTw0ACebidCDFVpY6opsJ2io4+p4PrYqpDmiWgY5WEk4c1sK+uvF-INpusMwY9vArl+7q18qoNImuH1arTh2ZC3ziaLOWTnNwQrihQAJtoAC4AJwArgBTfWCtPNzQ55YefAINvwLt9gcm237C11r3xIdJLOemhTuAz-vRxtro4CpssQqjhTuEvR9QnmpL5Z57e7gc2kLVFLJIA
13:29:48: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:29:48: [INFO] Matrix size: 4x13
13:29:49: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:49: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:49: [INFO] Add COL0 net
13:29:49: [INFO] Add COL1 net
13:29:49: [INFO] Add COL10 net
13:29:49: [INFO] Add COL11 net
13:29:49: [INFO] Add COL12 net
13:29:49: [INFO] Add COL13 net
13:29:49: [INFO] Add COL2 net
13:29:49: [INFO] Add COL3 net
13:29:49: [INFO] Add COL4 net
13:29:49: [INFO] Add COL5 net
13:29:49: [INFO] Add COL6 net
13:29:49: [INFO] Add COL7 net
13:29:49: [INFO] Add COL8 net
13:29:49: [INFO] Add COL9 net
13:29:49: [INFO] Add Net-(D1-A) net
13:29:49: [INFO] Add Net-(D10-A) net
13:29:49: [INFO] Add Net-(D11-A) net
13:29:49: [INFO] Add Net-(D12-A) net
13:29:49: [INFO] Add Net-(D13-A) net
13:29:49: [INFO] Add Net-(D14-A) net
13:29:49: [INFO] Add Net-(D15-A) net
13:29:49: [INFO] Add Net-(D16-A) net
13:29:49: [INFO] Add Net-(D17-A) net
13:29:49: [INFO] Add Net-(D18-A) net
13:29:49: [INFO] Add Net-(D19-A) net
13:29:49: [INFO] Add Net-(D2-A) net
13:29:49: [INFO] Add Net-(D20-A) net
