=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:41: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwGYB0CCsAaO4Ces4AGFARm3AGcBbA8AJwHsAXAfQFMBjEk8AX3MKYAnAB0AduMkTpU8W0LgAupgBQYKAQQosOfPAC0xMjg60AxAHYr18OWq0+AzAuwRo8YhnKn44MxwDAxxxBHnIyMLg3AiEUC3R+EMwANlscMlTXDQ80BPDBTKSLJVV1d0RPHTwCQxRkvPTMYqcADjTwEkE28OEStWj4EnRc8j04WqHEjsF0PrKCVGNqg2IhBo7nds7N5X7suBJkkd0a1amEFLSIHxwzAEMHx-aAd00poUus8pIUQRNzQJBc5NLaYbo4D7giAACze5BaYLmA0QKBaVTGE285keT3Ir0G2mBLii4BufkBAWC4A+xORCCMVTJlmsVheBB+XhwsPgFxwzwQ7O05GhAsG5EgovGlSmFhSsjEoSR+0Oo1OKA+-18-gpVKQnxwCMKEHxB0J5FlFnlglp+2I8SmeuaOAu4PAsrau3mPLi6LVSyZOIebIJ9vIeptTIppimCJt31ihCmyTlMgVmB4nuRQ2Oyyl6pjmFm5AALPrruYWay8ZpcjKU1JrVdbT6sVqo1TS07wHrXcmoeBuYgplgPaUIBijK3boG7sHTRgpqXCPKIk3Izq68vU6uvgRKlO-DO51oFyXnCvNll14CqVgM2Plb6Vvmz0WcLK3+WtUfq97QzgsCNZUhU1W52ymbYu1LUc9nKelVWfCxS1AvxK2KYcQUzfYtCfPMkGTFD7kDOcOXWLAbRNUikx2B9vmGeIELzDVwEo2tyCwT8WMFU8cGTWYsPjRjagYwi0KpZMuwRLsPmKLC6HZP56HKPUcDoMZixzOCQNzfRUBE0kAQ3JwBR6EySXKaUnCQUFrIEzRGMs510y2RVyAuMzpkwDyLls2ia3WPVImpZywy89oPgFOy-3WUsgoRILSw8hFIr8+BUB4t0QoAsLzRynA9V82CFm0gNiN-ed1mTSIvzAnVyq0f9wGTFK9nkgxtlU74cPINSCGQ-Z9B+RSMRw95MGs-JxqbCy2KSYt2hmJVevgDTOQG0ihJ+dYEQmxp5sm-bGn41Lxh+RrZV28ALkO4KbouN9guOor2rNXiptCm6ERuvUnq9cYtETdj3pwUsbqwG7ZXmqLTpbPkawy0tdpqw8yrhgkMuTKHFCAA
13:32:41: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:32:41: [INFO] Matrix size: 10x9
13:32:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:41: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:41: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:42: [INFO] Add COL0 net
13:32:42: [INFO] Add COL1 net
13:32:42: [INFO] Add COL2 net
13:32:42: [INFO] Add COL3 net
13:32:42: [INFO] Add COL4 net
13:32:42: [INFO] Add COL5 net
13:32:42: [INFO] Add COL6 net
13:32:42: [INFO] Add COL7 net
13:32:42: [INFO] Add COL8 net
13:32:42: [INFO] Add COL9 net
13:32:42: [INFO] Add Net-(D1-A) net
13:32:42: [INFO] Add Net-(D10-A) net
13:32:42: [INFO] Add Net-(D100-A) net
13:32:42: [INFO] Add Net-(D101-A) net
13:32:42: [INFO] Add Net-(D11-A) net
13:32:42: [INFO] Add Net-(D12-A) net
13:32:42: [INFO] Add Net-(D13-A) net
13:32:42: [INFO] Add Net-(D14-A) net
13:32:42: [INFO] Add Net-(D15-A) net
13:32:42: [INFO] Add Net-(D16-A) net
13:32:42: [INFO] Add Net-(D17-A) net
13:32:42: [INFO] Add Net-(D18-A) net
13:32:42: [INFO] Add Net-(D19-A) net
13:32:42: [INFO] Add Net-(D2-A) net
13:32:42: [INFO] Add Net-(D20-A) net
13:32:42: [INFO] Add Net-(D21-A) net
13:32:42: [INFO] Add Net-(D22-A) net
13:32:42: [INFO] Add Net-(D23-A) net
13:32:42: [INFO] Add Net-(D24-A) net
13:32:42: [INFO] Add Net-(D25-A) net
13:32:42: [INFO] Add Net-(D26-A) net
13:32:42: [INFO] Add Net-(D27-A) net
13:32:42: [INFO] Add Net-(D28-A) net
13:32:42: [INFO] Add Net-(D29-A) net
13:32:42: [INFO] Add Net-(D3-A) net
13:32:42: [INFO] Add Net-(D30-A) net
13:32:42: [INFO] Add Net-(D31-A) net
13:32:42: [INFO] Add Net-(D32-A) net
13:32:42: [INFO] Add Net-(D33-A) net
13:32:42: [INFO] Add Net-(D34-A) net
