=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgGwDoBMBWAvgGjuADFiuDhNPAOxLmY7hqHgC6WAUGFLHGqvbgJ6cAtHiQAOatlwEAzMTilOARiR5J+LIrkL43CbXqaSHeMtX6ss5m21xRPWgPjCxeqVjxbjcaVRq56HlbsjnDO4n7qonLq5NEECJ5kcCLoagRocVgALIlKyq502dH0GUE2yOgOQiLSBYoMRkmUBQgMZV7clfzVLhH1so1KKmr1hvIdvmqtYzamUxZMrOxJdl3gIWF17rnwPi3b7Rsi4SNYUbT1sRdYCYPwKX1YGdc5d3CK+RGtr7itpUvlezdJw1AooBrjJqTWjkNoAiZrI69NTggaQoZmXDgmYTAqwnFJOYwhbtFZA9Y9E60cEeN57CKwwLwwlVEHI6lYK7okw8FFPaLgn6zT5qWE-cCw-7WLwVXgUtm1CLSCE2ZoRURw6VJTpypFU3DKtGzYa0ZUEzi6dUaHbvE24DWWZmcVa6ykFZW07neaH2g7wvXus7RZVc8DK25eh5qZXPA1FN4fH3gDXijVS5YW3ys0IiRRrADGnHAAGIAIblivgNRZBa0GtEN7IAoATgh4Fbjq1nDV2ecBRr5vgWSTrc07QATpxpARcOOks2s7OQsO1klnIienLC-AS+Q9-vogALTgoat+6WTpzT2hzpTcOXj5dIOVrnwbpwocnH+Cn2itwKMEAA
13:33:29: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:33:29: [INFO] Matrix size: 9x8
13:33:30: [INFO] Add COL0 net
13:33:30: [INFO] Add COL1 net
13:33:30: [INFO] Add COL2 net
13:33:30: [INFO] Add COL3 net
13:33:30: [INFO] Add COL4 net
13:33:30: [INFO] Add COL5 net
13:33:30: [INFO] Add COL6 net
13:33:30: [INFO] Add COL7 net
13:33:30: [INFO] Add COL8 net
13:33:30: [INFO] Add Net-(D1-A) net
13:33:30: [INFO] Add Net-(D10-A) net
13:33:30: [INFO] Add Net-(D11-A) net
13:33:30: [INFO] Add Net-(D12-A) net
13:33:30: [INFO] Add Net-(D13-A) net
13:33:30: [INFO] Add Net-(D14-A) net
13:33:30: [INFO] Add Net-(D15-A) net
13:33:30: [INFO] Add Net-(D16-A) net
13:33:30: [INFO] Add Net-(D17-A) net
13:33:30: [INFO] Add Net-(D18-A) net
13:33:30: [INFO] Add Net-(D19-A) net
13:33:30: [INFO] Add Net-(D2-A) net
13:33:30: [INFO] Add Net-(D20-A) net
13:33:30: [INFO] Add Net-(D21-A) net
13:33:30: [INFO] Add Net-(D22-A) net
13:33:30: [INFO] Add Net-(D23-A) net
13:33:30: [INFO] Add Net-(D24-A) net
13:33:30: [INFO] Add Net-(D25-A) net
13:33:30: [INFO] Add Net-(D26-A) net
13:33:30: [INFO] Add Net-(D27-A) net
13:33:30: [INFO] Add Net-(D28-A) net
13:33:30: [INFO] Add Net-(D29-A) net
13:33:30: [INFO] Add Net-(D3-A) net
13:33:30: [INFO] Add Net-(D30-A) net
13:33:30: [INFO] Add Net-(D31-A) net
13:33:30: [INFO] Add Net-(D32-A) net
13:33:30: [INFO] Add Net-(D33-A) net
13:33:30: [INFO] Add Net-(D34-A) net
13:33:30: [INFO] Add Net-(D35-A) net
13:33:30: [INFO] Add Net-(D36-A) net
13:33:30: [INFO] Add Net-(D37-A) net
13:33:30: [INFO] Add Net-(D38-A) net
13:33:30: [INFO] Add Net-(D39-A) net
13:33:30: [INFO] Add Net-(D4-A) net
