=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoDsBWANHcBPWcAGJAJk2wGN9wBiAQ3ofAF8twCMCAdAOx5-YCM4LBErwa5SVOHYAJvgAuAJwCuAUxbZBfXt0EzRVOg3rNW7Yjv4Yh5jAit6bMthgAsj-XbSfnIqPhEaJquAGy+tloYKBEu7AAcsXYAnElwENDwQSGCXLrWka4CAmlFlvlOhYIOFfoAuhgAUGAB8MjoORy+BAathCTBdiW1HHEY5TrsPXY1k6N2HiPT6X1EpJ0+S2PhW3Yxu1GJBxmBA52pB0V5c8tFwzdjAhO6U72Z-etDsy-zK+9BrDE2GoUmknQEbkeaBcCBskIazRObVQZFwp0+2AEv3AWMKWOILixCEJ7hJ0NYWNCJJQJPiJOSJIEt1xeJsBP8AHd8MQQrjif5-khBpi4YzydhYQJoQiWu92qiufABEKQsRsWrCmr2dg1fydaTWGrxeA1VTDdEXGq6eaGeamZabJq2b0gTQTKZWIq4MrhSabN8eFjlkj+qjXSDQZRVaK7ca3P7wDKQ8RiELWHh4ABaNZhoyyBCyABGhchnvwytIrAAFtzPQSlWnsFX697WJAW9mzqxJQHuLjE01Zfh5en8J30ICjJHKGWGx1u9jJTDxsu9eBYaWJRhjbCzVuaQvrVvbVv7Qvii6jO7aC4vamMev-Y4gwPEX1iD7R1mc5PxNR80WJZmKezyBs4SZ9J+2AZnA44KuWXbYPG1y6BqLjxvcqF+Cs4bXre3KIeAyGOGqwbgOG07AURK6sPGa7xpu1Fxhge7UQeSEYEe1EntRZ4cRenIEfO-HaiGPohBh0qDiGI4UFe7r4Q2D6YChPCwmRXoVr6mCYWpvwQJphGYKB3Dqb0XqhEZLGOGZglKdpNiqaZ+ngIZymOjZLluQ5TyeRpCHuQIva2X8py5n+lEhDpjE6cxEKvkOyITnJf4AcWjGGQ5TlLqwOmeZEBkIQ5Jk5SsXooFF1kVKVhUNj5unOYUOkldhtXeiquVPtV4F1EAA
13:36:01: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:01: [INFO] Matrix size: 5x15
13:36:01: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:01: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:01: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:02: [INFO] Add COL0 net
13:36:02: [INFO] Add COL1 net
13:36:02: [INFO] Add COL10 net
13:36:02: [INFO] Add COL11 net
13:36:02: [INFO] Add COL12 net
13:36:02: [INFO] Add COL13 net
13:36:02: [INFO] Add COL14 net
13:36:02: [INFO] Add COL15 net
13:36:02: [INFO] Add COL2 net
13:36:02: [INFO] Add COL3 net
13:36:02: [INFO] Add COL4 net
13:36:02: [INFO] Add COL5 net
13:36:02: [INFO] Add COL6 net
13:36:02: [INFO] Add COL7 net
13:36:02: [INFO] Add COL8 net
13:36:02: [INFO] Add COL9 net
13:36:02: [INFO] Add Net-(D1-A) net
13:36:02: [INFO] Add Net-(D10-A) net
13:36:02: [INFO] Add Net-(D11-A) net
13:36:02: [INFO] Add Net-(D12-A) net
13:36:02: [INFO] Add Net-(D13-A) net
13:36:02: [INFO] Add Net-(D14-A) net
13:36:02: [INFO] Add Net-(D15-A) net
13:36:02: [INFO] Add Net-(D16-A) net
13:36:02: [INFO] Add Net-(D17-A) net
13:36:02: [INFO] Add Net-(D18-A) net
13:36:02: [INFO] Add Net-(D19-A) net
13:36:02: [INFO] Add Net-(D2-A) net
13:36:02: [INFO] Add Net-(D20-A) net
13:36:02: [INFO] Add Net-(D21-A) net
13:36:02: [INFO] Add Net-(D22-A) net
13:36:02: [INFO] Add Net-(D23-A) net
13:36:02: [INFO] Add Net-(D24-A) net
13:36:02: [INFO] Add Net-(D25-A) net
13:36:02: [INFO] Add Net-(D26-A) net
13:36:02: [INFO] Add Net-(D27-A) net
13:36:02: [INFO] Add Net-(D28-A) net
13:36:02: [INFO] Add Net-(D29-A) net
13:36:02: [INFO] Add Net-(D3-A) net
