=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:49: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICdwLgAgIwAYA0coA9aLeL8AmXAT2wFokA6BAX11QPAF0UAoMPbBE8qgNgCsddKgTg0EfImHhUAZmZsOpeBUoB2IfRRJF7SdgAsPVVQCcM1Ib0cpRdCrhr1M7oxb7O8bg96VBrihiEl7SuNwKHsp+moG6UQbwxr6mlBbhKNYJofbgjs4yRO5KiTgpTvxa6ETBcKW0uESRJXkxVeBE8S1Sya2p6dWZNqUCJhUao+gAFlyU7UQCwzljambtcijFnlI+feMBuBu19TIbzZ75VLGHOks9K+anQ9nQqsi4kFLqH47mgrh2B6UAiWFAADjuXCBBxEKHU4jqoQasLMkKSQOusOQS0uaVBfDRcFyuJcGQh2R20Pa3HhIR2gVRFKMGOpQS6Fz8A3A3AJTMIGMK4MJu1xMI6cIRJ0aKEZ3WZ5Wc8zZOM5gt5creLNwM28cyeiz5RKBaye5I1ZT2ajFG1piPpN1l23llqu62V2VxXI2vKYQA
13:36:49: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:49: [INFO] Matrix size: 3x10
13:36:50: [INFO] Add COL0 net
13:36:50: [INFO] Add COL1 net
13:36:50: [INFO] Add COL10 net
13:36:50: [INFO] Add COL2 net
13:36:50: [INFO] Add COL3 net
13:36:50: [INFO] Add COL4 net
13:36:50: [INFO] Add COL5 net
13:36:50: [INFO] Add COL6 net
13:36:50: [INFO] Add COL7 net
13:36:50: [INFO] Add COL8 net
13:36:50: [INFO] Add COL9 net
13:36:50: [INFO] Add Net-(D1-A) net
13:36:50: [INFO] Add Net-(D10-A) net
13:36:50: [INFO] Add Net-(D11-A) net
13:36:50: [INFO] Add Net-(D12-A) net
13:36:50: [INFO] Add Net-(D13-A) net
13:36:50: [INFO] Add Net-(D14-A) net
13:36:50: [INFO] Add Net-(D15-A) net
13:36:50: [INFO] Add Net-(D16-A) net
13:36:50: [INFO] Add Net-(D17-A) net
13:36:50: [INFO] Add Net-(D18-A) net
13:36:50: [INFO] Add Net-(D19-A) net
13:36:50: [INFO] Add Net-(D2-A) net
13:36:50: [INFO] Add Net-(D20-A) net
13:36:50: [INFO] Add Net-(D21-A) net
13:36:50: [INFO] Add Net-(D22-A) net
13:36:50: [INFO] Add Net-(D23-A) net
13:36:50: [INFO] Add Net-(D24-A) net
13:36:50: [INFO] Add Net-(D25-A) net
13:36:50: [INFO] Add Net-(D26-A) net
13:36:50: [INFO] Add Net-(D27-A) net
13:36:50: [INFO] Add Net-(D28-A) net
13:36:50: [INFO] Add Net-(D29-A) net
13:36:50: [INFO] Add Net-(D3-A) net
13:36:50: [INFO] Add Net-(D30-A) net
13:36:50: [INFO] Add Net-(D31-A) net
13:36:50: [INFO] Add Net-(D32-A) net
13:36:50: [INFO] Add Net-(D33-A) net
