=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICdwLgAgIwAYA0dwA9ZwEwDoB2AVjXAE9sBaJPBAX1NQGZwBdFAKDE2wUJPQV41PADYiDdKhzg0ELPD5JJ4VABY2nbgrgicA8lRrEVqJLKkoEmrvOxr+pIbpoBOUyiI3t2fMSdGhCoIKCzstjyKjoKB4sEoMnKRiHjKpCEa4T7CNPoBOfzx5ulW3nbwDv4xBe4lXlnluNGGBQQqOKFlyXxVLS5iEqQdiXCNSu0omVqNegbOIiZDKMXoHdYNyZVzgbWrnl06ftutKkydGzo9x-1xpGcjY6mnkweBedX9i+hnK+Bn69NNs15m5nvVAYdgYECKQAMbYcAAYgAhqi0eAVGpzhDeFCCrd0FiHt0nqQsVMIjpZvlPoNCcsLOAsQDKfY8f1dkz9hdsER2ZQ+AAOAwAC1xdL+KFEXWgwmQpEgOlEeAMkGcIXQkPefREGvA8PgSNhxpNGMYKFcryi2pBAw8gosjzSlmQVrgDht0IlqAQ1nNCBkPPguWuIk5qAIbvwnpOJUtQZSMZuEpCDqSl1J6BCroTHtDxhTVj9WasgZxwbwSbD8UjCej+aCS3j5cTDYJ4A6adGJOdHas5lzlYbXz7vsZazLrIrVdBS1rLfrNIWz2bU9bS5o7bOXadzxzLbzG8KdyLjP+k+ycBDR85Z3na8XHwWcIRKLRqLN9NXl74M7tZJQHce0xfs3UPJ8CxAscAIDN1rwgvBOSxe9LwWUMhVFcUQOlVhWCAA
13:36:57: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:57: [INFO] Matrix size: 4x12
13:36:57: [INFO] Add COL0 net
13:36:57: [INFO] Add COL1 net
13:36:57: [INFO] Add COL10 net
13:36:57: [INFO] Add COL11 net
13:36:57: [INFO] Add COL12 net
13:36:57: [INFO] Add COL2 net
13:36:57: [INFO] Add COL3 net
13:36:57: [INFO] Add COL4 net
13:36:57: [INFO] Add COL5 net
13:36:57: [INFO] Add COL6 net
13:36:57: [INFO] Add COL7 net
13:36:57: [INFO] Add COL8 net
13:36:57: [INFO] Add COL9 net
13:36:57: [INFO] Add Net-(D1-A) net
13:36:57: [INFO] Add Net-(D10-A) net
13:36:57: [INFO] Add Net-(D11-A) net
13:36:57: [INFO] Add Net-(D12-A) net
13:36:57: [INFO] Add Net-(D13-A) net
13:36:57: [INFO] Add Net-(D14-A) net
13:36:57: [INFO] Add Net-(D15-A) net
13:36:57: [INFO] Add Net-(D16-A) net
13:36:57: [INFO] Add Net-(D17-A) net
13:36:57: [INFO] Add Net-(D18-A) net
13:36:57: [INFO] Add Net-(D19-A) net
13:36:57: [INFO] Add Net-(D2-A) net
13:36:57: [INFO] Add Net-(D20-A) net
13:36:57: [INFO] Add Net-(D21-A) net
13:36:57: [INFO] Add Net-(D22-A) net
13:36:57: [INFO] Add Net-(D23-A) net
13:36:57: [INFO] Add Net-(D24-A) net
13:36:57: [INFO] Add Net-(D25-A) net
13:36:57: [INFO] Add Net-(D26-A) net
13:36:57: [INFO] Add Net-(D27-A) net
