=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDMB2ANHcBPWcAGJAgDi3AGN9wBiNeh8AX3IIwPCwivlov4HNWGAIyc4EaPACcSNADYW2NiLHCRCceBUpx3ajQCGxk0OwAWUWIC6GAFBgo+ZAkvYA7vhFIArEvAi7HqUBgKC-oFqEk4yxCIRohzkkVEBoppcIbxGJsZanvDefsmiurYOks5IgR5ecsXYCEGZPNg0Yfxm4E1RlbEo8eQ9SY1Wwa20DIzkBYhICA3d6eDljlJw3tI+5BM5uflVC-4ozdG7HVTHosHrJEjyCFciI+AnquMGuXkzdWiLbxlousALREAiPchvMr2NZVGrgWZFfyWF6WXoxDbeFCKchowEQRG+ZGlFYwiAAJ3wZGw5PW5l8O1CHS6bEB2gwumE5i0bB8PIw8lJFQxREWgTZgU52EC3JKfNWfUI9X8TTZTSlS1lo3lZIx3iOkIwbJOGpOWteGB1wvW+u22F2X0MB0KRNxRo+2Quzrmf2J0OFlPgwOp4FpXnpdoxwIj-jYaH5JH50n5zyFsKDPmICUFJXjJUTJWTCqj9N9QwFWiaedGBdGRd1IMzBuwJxzLYw1YttYt9et+GBTcjsxci0stf02Ud3qRbqL1iAA
13:36:58: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:58: [INFO] Matrix size: 4x13
13:36:58: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:58: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:58: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:58: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:58: [INFO] Add COL0 net
13:36:58: [INFO] Add COL1 net
13:36:58: [INFO] Add COL10 net
13:36:58: [INFO] Add COL11 net
13:36:58: [INFO] Add COL12 net
13:36:58: [INFO] Add COL13 net
13:36:58: [INFO] Add COL2 net
13:36:58: [INFO] Add COL3 net
13:36:58: [INFO] Add COL4 net
13:36:58: [INFO] Add COL5 net
13:36:58: [INFO] Add COL6 net
13:36:58: [INFO] Add COL7 net
13:36:58: [INFO] Add COL8 net
13:36:58: [INFO] Add COL9 net
13:36:58: [INFO] Add Net-(D1-A) net
13:36:58: [INFO] Add Net-(D10-A) net
13:36:58: [INFO] Add Net-(D11-A) net
13:36:58: [INFO] Add Net-(D12-A) net
13:36:58: [INFO] Add Net-(D13-A) net
13:36:58: [INFO] Add Net-(D14-A) net
13:36:58: [INFO] Add Net-(D15-A) net
13:36:58: [INFO] Add Net-(D16-A) net
13:36:58: [INFO] Add Net-(D17-A) net
13:36:58: [INFO] Add Net-(D18-A) net
13:36:58: [INFO] Add Net-(D19-A) net
13:36:58: [INFO] Add Net-(D2-A) net
13:36:58: [INFO] Add Net-(D20-A) net
13:36:58: [INFO] Add Net-(D21-A) net
13:36:58: [INFO] Add Net-(D22-A) net
13:36:58: [INFO] Add Net-(D23-A) net
13:36:58: [INFO] Add Net-(D24-A) net
13:36:58: [INFO] Add Net-(D25-A) net
13:36:58: [INFO] Add Net-(D26-A) net
13:36:58: [INFO] Add Net-(D27-A) net
13:36:58: [INFO] Add Net-(D28-A) net
13:36:58: [INFO] Add Net-(D29-A) net
13:36:58: [INFO] Add Net-(D3-A) net
13:36:58: [INFO] Add Net-(D30-A) net
13:36:58: [INFO] Add Net-(D31-A) net
13:36:58: [INFO] Add Net-(D32-A) net
13:36:58: [INFO] Add Net-(D33-A) net
13:36:58: [INFO] Add Net-(D34-A) net
13:36:58: [INFO] Add Net-(D35-A) net
13:36:58: [INFO] Add Net-(D36-A) net
13:36:58: [INFO] Add Net-(D37-A) net
13:36:58: [INFO] Add Net-(D38-A) net
13:36:58: [INFO] Add Net-(D39-A) net
13:36:58: [INFO] Add Net-(D4-A) net
13:36:58: [INFO] Add Net-(D40-A) net
13:36:58: [INFO] Add Net-(D41-A) net
13:36:58: [INFO] Add Net-(D42-A) net
13:36:58: [INFO] Add Net-(D43-A) net
13:36:58: [INFO] Add Net-(D44-A) net
13:36:58: [INFO] Add Net-(D45-A) net
13:36:58: [INFO] Add Net-(D46-A) net
13:36:58: [INFO] Add Net-(D47-A) net
13:36:58: [INFO] Add Net-(D48-A) net
13:36:58: [INFO] Add Net-(D49-A) net
13:36:58: [INFO] Add Net-(D5-A) net
13:36:58: [INFO] Add Net-(D50-A) net
13:36:58: [INFO] Add Net-(D51-A) net
13:36:58: [INFO] Add Net-(D52-A) net
13:36:58: [INFO] Add Net-(D53-A) net
13:36:58: [INFO] Add Net-(D54-A) net
13:36:58: [INFO] Add Net-(D55-A) net
13:36:58: [INFO] Add Net-(D56-A) net
13:36:58: [INFO] Add Net-(D57-A) net
13:36:58: [INFO] Add Net-(D58-A) net
13:36:58: [INFO] Add Net-(D59-A) net
13:36:58: [INFO] Add Net-(D6-A) net
13:36:58: [INFO] Add Net-(D60-A) net
13:36:58: [INFO] Add Net-(D61-A) net
13:36:58: [INFO] Add Net-(D62-A) net
13:36:58: [INFO] Add Net-(D63-A) net
13:36:58: [INFO] Add Net-(D64-A) net
13:36:58: [INFO] Add Net-(D7-A) net
13:36:58: [INFO] Add Net-(D8-A) net
13:36:58: [INFO] Add Net-(D9-A) net
13:36:58: [INFO] Add ROW0 net
13:36:58: [INFO] Add ROW1 net
13:36:58: [INFO] Add ROW2 net
13:36:58: [INFO] Add ROW3 net
13:36:58: [INFO] Add ROW4 net
13:36:58: [INFO] Add SW1 footprint
13:36:58: [INFO] Add D1 footprint
13:36:59: [INFO] Add SW2 footprint
13:36:59: [INFO] Add D2 footprint
13:36:59: [INFO] Add SW3 footprint
