=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:17: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsaCsAaO4CetEkEBGADixwGMDwBiAQ0afAF9twFMFxsJp4ATEjIIAbO2rw6lGbNbtOAZh5w+BUqnQoAnGxydiA8AF1MAKDBQCxdEVLt88ALTJSbiuEk4GTRivAA7gQCehyYxCgm5pb8cBF2AooOBC5I2uniVDS0snKhBsqmFmqCSKIopCjJzsjp2qT5mEZFMdZl6GLVcKl12hLZAOxDw-L64VHFVvDIAgKiAl2pxBFJWVI+vqPgxFwTrfCGSPY4jt21KOX967kyWzvLeyVxikckHqc9KBGh90a8U4QMgscEEDkh0D9wpEWk94gN0sc8ClanVIcRCtEnkJtAIcYsUelIc1MQDiKhFMQBvi0ukqWtvL4-OxQXFwWjHkiasIIihQgtuDDSbYBAMyNS3KQdvS6MMRszgkgBBD2AsIhzYmSBGRVpyzjT6lcGYz-CyyQNlThVSpYchFAhSHTPNkbtQ+eFiOqFdpROg+idkfrdCqmtbSbaENpFG7DJ74C8BBdgbrUggECF2EliZMNdjvY6PgSgzgkg9-rEU2mLeAS39VACK0rDXRGfQTQrzaES9CSbECZlk335aUlZ3xoKNURU+8A6nGyC2lWqh7x9ZREQLoiCzSBjrTWz2Evu5MAE7WJPH2IvSOkfvH04oYQRoesxeYDEn2IP0TpKXgO8EGYlURXtuR0akIx1LxpBuLZOEiBRMHQfxOFEZDMAGWM9TQbRfy3WcGnYHZlEIzB4JwHYkJI1CVy5YgfzdYjLVI-wFkopjqJ7ACkDtCNR0Y6tmIzRD-CSDiPwIWwUEURQqhwf94AfGS8XnYdXyQwULwIAYyhk897yOSkmw2ZhQiqMTLFPZxDHYTT4G0IhiDTGzTlcX1HSgnIYMaUg0O0NDHP85dOK5DonP9aZJwQKMSIwkifJIvySICmi9SVNM3Vipj4qYxKmOS4K9XNdKhMygTsoE3KBPy8S7MfchnIIB8cUSZ8hA7A9MB8jSNTJUhFFEW99JQAQn2lYymRUl9TPCAVjCAA
13:37:17: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:37:17: [INFO] Matrix size: 4x14
13:37:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:17: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:17: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:17: [INFO] Add COL0 net
13:37:17: [INFO] Add COL1 net
13:37:17: [INFO] Add COL10 net
13:37:17: [INFO] Add COL11 net
13:37:17: [INFO] Add COL12 net
13:37:17: [INFO] Add COL13 net
13:37:17: [INFO] Add COL14 net
13:37:17: [INFO] Add COL2 net
13:37:17: [INFO] Add COL3 net
13:37:17: [INFO] Add COL4 net
13:37:17: [INFO] Add COL5 net
13:37:17: [INFO] Add COL6 net
13:37:17: [INFO] Add COL7 net
13:37:17: [INFO] Add COL8 net
13:37:17: [INFO] Add COL9 net
13:37:17: [INFO] Add Net-(D1-A) net
13:37:17: [INFO] Add Net-(D10-A) net
13:37:17: [INFO] Add Net-(D11-A) net
13:37:17: [INFO] Add Net-(D12-A) net
13:37:17: [INFO] Add Net-(D13-A) net
13:37:17: [INFO] Add Net-(D14-A) net
13:37:17: [INFO] Add Net-(D15-A) net
13:37:17: [INFO] Add Net-(D16-A) net
13:37:17: [INFO] Add Net-(D17-A) net
13:37:17: [INFO] Add Net-(D18-A) net
13:37:17: [INFO] Add Net-(D19-A) net
13:37:17: [INFO] Add Net-(D2-A) net
13:37:17: [INFO] Add Net-(D20-A) net
13:37:17: [INFO] Add Net-(D21-A) net
13:37:17: [INFO] Add Net-(D22-A) net
13:37:17: [INFO] Add Net-(D23-A) net
13:37:17: [INFO] Add Net-(D24-A) net
13:37:17: [INFO] Add Net-(D25-A) net
13:37:17: [INFO] Add Net-(D26-A) net
13:37:17: [INFO] Add Net-(D27-A) net
13:37:17: [INFO] Add Net-(D28-A) net
