=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:49: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYA0dwE9ZwAwDoAmAVjXAGNtwBiAQzvvAF9SSkAdAO085xQXBYoAHNy4de-ALooAUGHKUqAdhWqmpXjgFwI0eAlIV41eg2boJ2iEfRUy9h+osoCVqNgQ5z4EgBZtPihEbjYmpjQBAO7YBN4kSqI8KFrScuAGWmi62PhKJOjR+nhE3gb8WQrGdg72TukubnpwAJzF3qj+pKjBXShIIYrhEaSFiG29SuCpwOAEyY05eEj54KMIeHnec+U6lbY1tVsNFU2tSt5KKJ3olz27ocqqKlExhCWkl-3T1oPhdQDM8xOixWowIb28gJ2PyqBwokOOu1OeC8pCEVwC6LuMNsQxe8HBmzRKASYk4GQW8HwxBGHg273Q6PYZI4ZUxwkSrL4U1kM18QKRizytKKxG8-OhqzpYtI-NcwP01NB0oZ4GaiIgawhpHV-wC6v833AACcPLx0MamoCLVh4L43qQmrkVra4ABaf4O9APOF1Xh6jQYwN3cC8fqByZGprrGXoAwBuNBxMhgxfXnZIqquYJ2ZJ3MhuZpuQZuCxUiAnOA67gQEhwFF+RNcE072-Ux1fkJnHUX0i0v08VBTlzFLp9zwT0rB54we+Yfcio+g74sZE9D85mibY84sm7BuzykS0ecErJpu5su-eE1UkTLoEg7QLyh8oPVR68D3r38CoJ+oF9fzfHdG0-VVLh-S4n0uQDLnfMdz09VFGQFcB0SfdFAPReDd3PG8+0vbx1XvbtaD+IjuUkSQgA
13:37:49: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:37:49: [INFO] Matrix size: 9x8
13:37:50: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:50: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:50: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:50: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:50: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:50: [INFO] Add COL0 net
13:37:50: [INFO] Add COL1 net
13:37:50: [INFO] Add COL2 net
13:37:50: [INFO] Add COL3 net
13:37:50: [INFO] Add COL4 net
13:37:50: [INFO] Add COL5 net
13:37:50: [INFO] Add COL6 net
13:37:50: [INFO] Add COL7 net
13:37:50: [INFO] Add COL8 net
13:37:50: [INFO] Add Net-(D1-A) net
13:37:50: [INFO] Add Net-(D10-A) net
13:37:50: [INFO] Add Net-(D11-A) net
13:37:50: [INFO] Add Net-(D12-A) net
13:37:50: [INFO] Add Net-(D13-A) net
13:37:50: [INFO] Add Net-(D14-A) net
13:37:50: [INFO] Add Net-(D15-A) net
13:37:50: [INFO] Add Net-(D16-A) net
13:37:50: [INFO] Add Net-(D17-A) net
13:37:50: [INFO] Add Net-(D18-A) net
13:37:50: [INFO] Add Net-(D19-A) net
13:37:50: [INFO] Add Net-(D2-A) net
13:37:50: [INFO] Add Net-(D20-A) net
13:37:50: [INFO] Add Net-(D21-A) net
13:37:50: [INFO] Add Net-(D22-A) net
13:37:50: [INFO] Add Net-(D23-A) net
13:37:50: [INFO] Add Net-(D24-A) net
13:37:50: [INFO] Add Net-(D25-A) net
13:37:50: [INFO] Add Net-(D26-A) net
13:37:50: [INFO] Add Net-(D27-A) net
13:37:50: [INFO] Add Net-(D28-A) net
13:37:50: [INFO] Add Net-(D29-A) net
13:37:50: [INFO] Add Net-(D3-A) net
13:37:50: [INFO] Add Net-(D30-A) net
13:37:50: [INFO] Add Net-(D31-A) net
13:37:50: [INFO] Add Net-(D32-A) net
13:37:50: [INFO] Add Net-(D33-A) net
13:37:50: [INFO] Add Net-(D34-A) net
13:37:50: [INFO] Add Net-(D35-A) net
13:37:50: [INFO] Add Net-(D36-A) net
13:37:50: [INFO] Add Net-(D37-A) net
13:37:50: [INFO] Add Net-(D38-A) net
13:37:50: [INFO] Add Net-(D39-A) net
13:37:50: [INFO] Add Net-(D4-A) net
13:37:50: [INFO] Add Net-(D40-A) net
13:37:50: [INFO] Add Net-(D41-A) net
