=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NobwRAdghgtgpmAXAAjAISgZwNZwC4DucUAbggL4A0AUKGAB5LIAMAdAKyWoCeTAjKz6dUAYyZgAxAHYZssFVTNKzMAF0adRigDMrKcLC8UAWjYBOA2JSSRtu-K5gl2sF3BbkADlYAWBU8o+ACY1DXd+PQMjZFNWC38lPldFShC3Bn42P0dEl3SrVAkoYpLksAImIITAn1DacJQ+T0do2O12fx8aus0mNiCoplj9RwKbO1sHVD5lHobkPm0WofMOxxm+JPV6jMaOZZNV0fEikuKyir216cDk8DGJCcn-GbTkeb42ZhfAt7ANvLvcoRa7-brbOitNh8fxBWYQj6sAYHGLmY7WU5nC4RfSw275E5PMR4t7zMy+PGbMpw4J3MAPWRyRyXZBBJGgmkuBG7Bbowpnc7Myrs-xLJIEjFEqZgJaknneTygsXi1BiuUPAVQbF7XGOMVcsI8vhSQQo4aWE6MmTSmm1bkeGY8FbsvmSTXahYcTr4oEOgSKoVXb1U+38ABspqdh0irukVulXVp6QdrG+evBhoATtF+gYHSbHYYmOwRY5Ewadpn+HDUNm+o4PCXCzmXaJCU9pUpajlKOwykow-3KFI5jyfKwwz9AWDuzc++tKIPQyhx4q8dO4bOwHD56g4UvDY3WNpRZRp0st0tdzLF6OPBH2AYWVUy5RZ-MvhaMe7A56Bt6Dx2RszTYTwzC6VAWQEUEuhCbkqxMYIGyYbwfEGRCOGYMNYylapPCHMwh0+IitkPFDU1BGYRwXfCF0IhdiOXLwkTxai90oWj2Po9jGLIlATV1VVhzKJZOJvbib14oCmAEp9hUEsAunwpjPg4dDUTiWMf0gkFgxUVRVCAA
13:37:57: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:37:57: [INFO] Matrix size: 4x14
13:37:57: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:57: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:57: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:58: [INFO] Add COL0 net
13:37:58: [INFO] Add COL1 net
13:37:58: [INFO] Add COL10 net
13:37:58: [INFO] Add COL11 net
13:37:58: [INFO] Add COL12 net
13:37:58: [INFO] Add COL13 net
13:37:58: [INFO] Add COL14 net
13:37:58: [INFO] Add COL2 net
13:37:58: [INFO] Add COL3 net
13:37:58: [INFO] Add COL4 net
13:37:58: [INFO] Add COL5 net
13:37:58: [INFO] Add COL6 net
13:37:58: [INFO] Add COL7 net
13:37:58: [INFO] Add COL8 net
13:37:58: [INFO] Add COL9 net
13:37:58: [INFO] Add Net-(D1-A) net
13:37:58: [INFO] Add Net-(D10-A) net
13:37:58: [INFO] Add Net-(D11-A) net
13:37:58: [INFO] Add Net-(D12-A) net
13:37:58: [INFO] Add Net-(D13-A) net
13:37:58: [INFO] Add Net-(D14-A) net
13:37:58: [INFO] Add Net-(D15-A) net
13:37:58: [INFO] Add Net-(D16-A) net
13:37:58: [INFO] Add Net-(D17-A) net
13:37:58: [INFO] Add Net-(D18-A) net
13:37:58: [INFO] Add Net-(D19-A) net
13:37:58: [INFO] Add Net-(D2-A) net
13:37:58: [INFO] Add Net-(D20-A) net
13:37:58: [INFO] Add Net-(D21-A) net
13:37:58: [INFO] Add Net-(D22-A) net
13:37:58: [INFO] Add Net-(D23-A) net
13:37:58: [INFO] Add Net-(D24-A) net
