=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2AOgFZV1TtwBdFAKDCljgBY1wBPFgWg2IAcFTCla44+FqTLCqYuo0nwATB27w+xAJzCsy8UrjLdKUgebwEMjlTN4LR4hlkp9CpuribWJjOJEAjOYEcAEB1pQoQTYofu6GCGq8-DocAdT2ISTkHABs1PEO7OiemkJposFSEeD58gxMIaolydrC6fqZLMYVdhIOVjno+X2Gyk7C+W4NEKX8PhV+FdH9IWE1+Su1sbQzA0kaKcKqOF1ENYQFeyHFXK3l6KpiZ3DSQ+CX9YoOzXeHbRxVJ1Vt1jqYqpYLuCXuNnBxLtNvnNiAtHjtAVEIaFwu9LltLnFrixEi1-ql0IlTiDzu8BFdvjcDl5+A9wIlntTXjU6V9Gt0mZpyWzXFiehToZzBsI6aMfhMOHTER5WqjhUtxStDOtaZiFTtCiErCS-nB+FR0ABnAC2LHAACcAPYAFwA+gBTADGYXAwnYCAAOgA7INBrABEPByMRt3qwy5AHoLTYCNB9LhqMZoNuoKFO2G7QcO2eLTEAKEc0OTT5UleViCcsca22n0cP0pwNYQnfPMsdbVyvzAV1gTl4RJgMZ9Jdph23sVnuQpPoEJVof197sHN7WeWLDL1r90rhOHodhKiA7tgVlf8Q+8Y++yq53isedrcL9m8otcj95J3kXrwCB7gO341jwD4cEm572ve14qgKkGJpiNA0EAA
13:38:15: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:38:15: [INFO] Matrix size: 9x5
13:38:15: [INFO] Add COL0 net
13:38:15: [INFO] Add COL1 net
13:38:15: [INFO] Add COL2 net
13:38:15: [INFO] Add COL3 net
13:38:15: [INFO] Add COL4 net
13:38:15: [INFO] Add COL5 net
13:38:15: [INFO] Add Net-(D1-A) net
13:38:15: [INFO] Add Net-(D10-A) net
13:38:15: [INFO] Add Net-(D11-A) net
13:38:15: [INFO] Add Net-(D12-A) net
13:38:15: [INFO] Add Net-(D13-A) net
13:38:15: [INFO] Add Net-(D14-A) net
13:38:15: [INFO] Add Net-(D15-A) net
13:38:15: [INFO] Add Net-(D16-A) net
13:38:15: [INFO] Add Net-(D17-A) net
13:38:15: [INFO] Add Net-(D18-A) net
13:38:15: [INFO] Add Net-(D19-A) net
13:38:15: [INFO] Add Net-(D2-A) net
13:38:15: [INFO] Add Net-(D20-A) net
13:38:15: [INFO] Add Net-(D21-A) net
13:38:15: [INFO] Add Net-(D22-A) net
13:38:15: [INFO] Add Net-(D23-A) net
13:38:15: [INFO] Add Net-(D24-A) net
13:38:15: [INFO] Add Net-(D25-A) net
13:38:15: [INFO] Add Net-(D26-A) net
13:38:15: [INFO] Add Net-(D27-A) net
13:38:15: [INFO] Add Net-(D28-A) net
13:38:15: [INFO] Add Net-(D29-A) net
13:38:15: [INFO] Add Net-(D3-A) net
13:38:15: [INFO] Add Net-(D30-A) net
13:38:15: [INFO] Add Net-(D31-A) net
13:38:15: [INFO] Add Net-(D32-A) net
13:38:15: [INFO] Add Net-(D33-A) net
13:38:15: [INFO] Add Net-(D34-A) net
13:38:15: [INFO] Add Net-(D35-A) net
13:38:15: [INFO] Add Net-(D36-A) net
13:38:15: [INFO] Add Net-(D37-A) net
13:38:15: [INFO] Add Net-(D38-A) net
13:38:15: [INFO] Add Net-(D39-A) net
13:38:15: [INFO] Add Net-(D4-A) net
13:38:15: [INFO] Add Net-(D40-A) net
13:38:15: [INFO] Add Net-(D41-A) net
13:38:15: [INFO] Add Net-(D42-A) net
13:38:15: [INFO] Add Net-(D43-A) net
13:38:15: [INFO] Add Net-(D44-A) net
13:38:15: [INFO] Add Net-(D45-A) net
13:38:15: [INFO] Add Net-(D46-A) net
13:38:15: [INFO] Add Net-(D47-A) net
13:38:15: [INFO] Add Net-(D48-A) net
13:38:15: [INFO] Add Net-(D49-A) net
13:38:15: [INFO] Add Net-(D5-A) net
13:38:15: [INFO] Add Net-(D50-A) net
13:38:15: [INFO] Add Net-(D51-A) net
13:38:15: [INFO] Add Net-(D52-A) net
13:38:15: [INFO] Add Net-(D53-A) net
13:38:15: [INFO] Add Net-(D54-A) net
13:38:15: [INFO] Add Net-(D55-A) net
13:38:15: [INFO] Add Net-(D56-A) net
13:38:15: [INFO] Add Net-(D6-A) net
13:38:15: [INFO] Add Net-(D7-A) net
13:38:15: [INFO] Add Net-(D8-A) net
13:38:15: [INFO] Add Net-(D9-A) net
13:38:15: [INFO] Add ROW0 net
13:38:15: [INFO] Add ROW1 net
13:38:15: [INFO] Add ROW2 net
13:38:15: [INFO] Add ROW3 net
13:38:15: [INFO] Add ROW4 net
13:38:15: [INFO] Add ROW5 net
13:38:15: [INFO] Add ROW6 net
13:38:15: [INFO] Add ROW7 net
13:38:15: [INFO] Add ROW8 net
13:38:15: [INFO] Add ROW9 net
13:38:15: [INFO] Add SW1 footprint
13:38:15: [INFO] Add D1 footprint
13:38:15: [INFO] Add SW2 footprint
13:38:15: [INFO] Add D2 footprint
13:38:15: [INFO] Add SW3 footprint
13:38:15: [INFO] Add D3 footprint
13:38:15: [INFO] Add SW4 footprint
13:38:16: [INFO] Add D4 footprint
13:38:16: [INFO] Add SW5 footprint
