=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:51: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwE9ZwAwoBMSAvpuPuggMwA6Ado41QuBawCzNMOvgBddACgwUPAgDsKSWQ7UkgkWOjwiaCrngBaQrIoBjPOADEk8xfDksVfOzgQj8Uwddur8tvKL3K6Gr5UnIHoivIAbCGSIQAcIQCcIQh2nl421D6YjsYmAIb5Bb4A7nhE1n60PCzoKQ7i8AgaWE5YJm7u5ayRntGecZ6JQqIQqnDqGM05BYUUJQ1o5Qg19tnObe1Gi9S+S5lYSwEUS8FHoTvo3fvovVf9V4mnyecIaeBLCHsQc4gLj-S8jCWtRGeEIJC2yBW9QIxDkVwQlze1BuSIQdwgAAtShD4lUGDRllloYQ4ajcQD8dsiaNGhNwC1TBZLLMJLCKFi1LMfPM6RjuYgKJB+bpYeUiNR-jx3kphtDxoYptNcsVWbIxYS6gz1u0PFhxa9xXtwOLDnr0CczWEzYjxSjxXdjegHmanhR9WlVq0meYVWpRW6JXigVDRmC6VqNpsA5DqaD-S6bcjfPr0dDaeqEOSeASPcTfi6iEHtkMxFqlcqWfNwRQCfg8fqoRGNrrwDn61S6qG2ZM1uXfWN462au3gfScpGWwSjQTTUOLUOrUPEQSUQSHQTnUPXVgc7my0r++o1TWMiHWeHx83yjnl0mT2ioRyxtfqFneJwNSD4CSX5m8R+2BLL9EGkfQsC0OARTAsc1m9aJf0UIC5SaHA8BFEgFV7A9Kx+UkPzrCkMFqcAALxIioW+dMKA-QtCM-GDWgnHDwkHD9wjI+j92mftGmrLAAIInhyKJSjWOoBAONHUS+JIjJJLPeAaBQpsdXKACUQA1MaXzWS-wpACZRUCQWOgiCoIvWDvRbADZwAxcAMiJDRnlcC0LDTDWj7HCqP44c6NeUj-Io881PQWihI7T0XGbHDJFC9igqJLiZiwUS8PEjjczS0KPkywzgJc8BpPSwTeAwI1Aoiz4itZGSaI46qVPcWL4oaxtFW47yxOSNrqIyujquKnLwrKsLBAEIA
13:40:51: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:40:51: [INFO] Matrix size: 4x19
13:40:51: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:51: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:51: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:40:52: [INFO] Add COL0 net
13:40:52: [INFO] Add COL1 net
13:40:52: [INFO] Add COL10 net
13:40:52: [INFO] Add COL11 net
13:40:52: [INFO] Add COL12 net
13:40:52: [INFO] Add COL13 net
13:40:52: [INFO] Add COL14 net
13:40:52: [INFO] Add COL15 net
13:40:52: [INFO] Add COL16 net
13:40:52: [INFO] Add COL17 net
13:40:52: [INFO] Add COL18 net
13:40:52: [INFO] Add COL19 net
13:40:52: [INFO] Add COL2 net
13:40:52: [INFO] Add COL3 net
13:40:52: [INFO] Add COL4 net
13:40:52: [INFO] Add COL5 net
13:40:52: [INFO] Add COL6 net
13:40:52: [INFO] Add COL7 net
13:40:52: [INFO] Add COL8 net
13:40:52: [INFO] Add COL9 net
13:40:52: [INFO] Add Net-(D1-A) net
13:40:52: [INFO] Add Net-(D10-A) net
13:40:52: [INFO] Add Net-(D11-A) net
13:40:52: [INFO] Add Net-(D12-A) net
13:40:52: [INFO] Add Net-(D13-A) net
13:40:52: [INFO] Add Net-(D14-A) net
13:40:52: [INFO] Add Net-(D15-A) net
13:40:52: [INFO] Add Net-(D16-A) net
13:40:52: [INFO] Add Net-(D17-A) net
13:40:52: [INFO] Add Net-(D18-A) net
13:40:52: [INFO] Add Net-(D19-A) net
13:40:52: [INFO] Add Net-(D2-A) net
13:40:52: [INFO] Add Net-(D20-A) net
13:40:52: [INFO] Add Net-(D21-A) net
13:40:52: [INFO] Add Net-(D22-A) net
13:40:52: [INFO] Add Net-(D23-A) net
13:40:52: [INFO] Add Net-(D24-A) net
13:40:52: [INFO] Add Net-(D25-A) net
13:40:52: [INFO] Add Net-(D26-A) net
13:40:52: [INFO] Add Net-(D27-A) net
