=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:10: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwMJp5KkF1Md5w8sfeyLqARjqZqCEVTQBmCdQAsIhrmasKHfAEMt2-qLQpZaAGyGChgByKoylm2y4uvPuT0BOQ4NoC0g4d8Hi9NZMtmoOeNo6LpKCMkGMcMwo0UIK-gb+Jv5mALpoAFBgwYioFACeNqrs4U48uuCCNBKNfpiNgW3SzWhpnRmdWZ1mFI2WI2ju457dvjMdEOpckVoSAO64CNEtUgA6AHb7+9RecEohyVO9DT7914KDd8OnxUlhnNy19duHB3tCVosIst6lIfAgfkcfOA8oUziU7Ot4IJUNEEE0goDajhUVCKGiOuA0XFMGirmjbmiHminoS0GMSRMJGjpnifK1aQErIi4MiLgzYhC9o0TnCkjjBGSbkyfIMFuFlhoJAALDbigiCuTo54JZFVcDc3V2FXwNGYVbiJGlTBKi08iiQW0AWhUfPAoIFv32LSsCSkKNZgnVnr2muEMKKCWQCNwyIIrtBIvs7yxINxmFBBNBxLdPQkoNuoIeoJpoPpOcm6Z8Jxzswx4WIJAo3OQrGi7t2weFPpsdkxnzbPiu7oLMu7ltbAY7P298VwciQcbemmBA8DGqh4YgBts0U1lEFzIBNX7FFDB7TotC1XeCrWGx3p5o58Tfac9U1BM12c1V01t01DyajSmplpqFbgKG1ahq0co3sCTYxgurqhvMxS8kujgnpgoa-lKj73Ee7wNkQyqqvhQY-OgiYJEYSDUNey6RO+PgUb86BhgUEYxrRi6YBU8DOkhGGEMRzGxNCnFwlG5S4IJeqAreCHjq6VGCgmXKIROmDsWpWpbppKloOCwbqXWyafEpcC0Vp4DoEYukvvK8Fmohhkss825uTBxR+r2x5vtE7G3OxsrFAQdHCbegUsYK7ESbCaEoEJfGycwvFJvgxFmNFnIUOx2bsQom7FNJDFLM5+qudF+4mRelWWm5unea+fCWQQ0X2bVYY5EAA
13:41:10: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:41:10: [INFO] Matrix size: 5x17
13:41:11: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:11: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:11: [INFO] Add COL0 net
13:41:11: [INFO] Add COL1 net
13:41:11: [INFO] Add COL10 net
13:41:11: [INFO] Add COL11 net
13:41:11: [INFO] Add COL12 net
13:41:11: [INFO] Add COL13 net
13:41:11: [INFO] Add COL14 net
13:41:11: [INFO] Add COL15 net
13:41:11: [INFO] Add COL16 net
13:41:11: [INFO] Add COL17 net
13:41:11: [INFO] Add COL2 net
13:41:11: [INFO] Add COL3 net
13:41:11: [INFO] Add COL4 net
13:41:11: [INFO] Add COL5 net
13:41:11: [INFO] Add COL6 net
13:41:11: [INFO] Add COL7 net
13:41:11: [INFO] Add COL8 net
13:41:11: [INFO] Add COL9 net
13:41:11: [INFO] Add Net-(D1-A) net
13:41:11: [INFO] Add Net-(D10-A) net
13:41:11: [INFO] Add Net-(D100-A) net
13:41:11: [INFO] Add Net-(D101-A) net
13:41:11: [INFO] Add Net-(D102-A) net
13:41:11: [INFO] Add Net-(D11-A) net
13:41:11: [INFO] Add Net-(D12-A) net
13:41:11: [INFO] Add Net-(D13-A) net
13:41:11: [INFO] Add Net-(D14-A) net
13:41:11: [INFO] Add Net-(D15-A) net
13:41:11: [INFO] Add Net-(D16-A) net
13:41:11: [INFO] Add Net-(D17-A) net
13:41:11: [INFO] Add Net-(D18-A) net
13:41:11: [INFO] Add Net-(D19-A) net
13:41:11: [INFO] Add Net-(D2-A) net
13:41:11: [INFO] Add Net-(D20-A) net
13:41:11: [INFO] Add Net-(D21-A) net
13:41:11: [INFO] Add Net-(D22-A) net
13:41:11: [INFO] Add Net-(D23-A) net
13:41:11: [INFO] Add Net-(D24-A) net
13:41:11: [INFO] Add Net-(D25-A) net
13:41:11: [INFO] Add Net-(D26-A) net
