=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0B2ArAXwDR3BjggCwA6AdhRQAxHh4FEZWXm0LgC6OAUGOAE9YcaigBMhfAGNh4AMRpFS8Lny1q9OBGjxRk8DPjypJ0yobtN4WmKu0AzHZzEnGJ0idpN24WPHYGQgAOK0IATlCiDUCiDhiEW3jHPAhDfDkAQyzsqwB3X1VGEhYaHA1uPlTZOVMzQoQy7yhhPQY0+Wychnz4BBQA-Aa4rQNq2pNzQZxEqeSplwYGt0WcDxTm+D9MQqQcLwZdkIOcCOOEaPxdhGHwK5nbojmIHsR+naIyVgoG8t5gcDEjXWOhE-Ta1U6WTywj62wYgOGVSMNXGkwB0ysgLm6IW+EByzxqyaIK2A3AaD2VgpR3wFNOtKiVNiTISTXaCiUimhm38hQpxS+5B+XD+SPS4xkhXsQJGINa0ghkO5cD8EilRBKQplYuMqPV2OluPA0oJxqJDGl+1lvl5DCCOBp4Ht9KdjLtzPdrPW7MhGWVqrJ9oQ9k1gIuOpRtTRQbcFX4IL6+h9Su6MNt+GI2vALz6aoYmcRG1eSbGevzq010vD2ZteYze0rWZJ-lTPLh+DCDs1merzZLyN9ysThU7wdDWZzbwYo+YgrDIsqRYwYPwQl0K9GyIlQ-QZMzSEbhcne4bgulhebElbr3b4E7QW7dGnJ0fF9r-fSg+vucDj3HhfZbdCiDT4WARBd4xhVA6zvP85yfDsPn-KwZ2QuMfF6e1VxaXdwWRTkuW-Ft8AAC18bpbF6DcSMoxAGEgWiAFpRBg-lZxYIYIIwxAKQVLcywZMdBU49Ci0TPDPxTfBJxg89NU471SyjdUxHkuhOE4IA
13:29:46: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:29:46: [INFO] Matrix size: 9x15
13:29:46: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:46: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:46: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:46: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:46: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:47: [INFO] Add COL0 net
13:29:47: [INFO] Add COL1 net
13:29:47: [INFO] Add COL10 net
13:29:47: [INFO] Add COL11 net
13:29:47: [INFO] Add COL12 net
13:29:47: [INFO] Add COL13 net
13:29:47: [INFO] Add COL14 net
13:29:47: [INFO] Add COL15 net
13:29:47: [INFO] Add COL2 net
13:29:47: [INFO] Add COL3 net
13:29:47: [INFO] Add COL4 net
13:29:47: [INFO] Add COL5 net
13:29:47: [INFO] Add COL6 net
13:29:47: [INFO] Add COL7 net
13:29:47: [INFO] Add COL8 net
13:29:47: [INFO] Add COL9 net
13:29:47: [INFO] Add Net-(D1-A) net
13:29:47: [INFO] Add Net-(D10-A) net
13:29:47: [INFO] Add Net-(D11-A) net
13:29:47: [INFO] Add Net-(D12-A) net
13:29:47: [INFO] Add Net-(D13-A) net
13:29:47: [INFO] Add Net-(D14-A) net
13:29:47: [INFO] Add Net-(D15-A) net
13:29:47: [INFO] Add Net-(D16-A) net
13:29:47: [INFO] Add Net-(D17-A) net
13:29:47: [INFO] Add Net-(D18-A) net
13:29:47: [INFO] Add Net-(D19-A) net
13:29:47: [INFO] Add Net-(D2-A) net
13:29:47: [INFO] Add Net-(D20-A) net
