=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:06: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIJwbgDGu4AxAOzU3gC+RCaC4AumgFBhS4DMSldJhzwAtMnxCSZcsTnz6RAIxol4DBGjwAHEgAsDTEwBsbTty1wlAqSLjiCKQ+BUtGq9XE24lyA8rRTDWl4CgBDCMjPcAB3XAAmZz1AgB0AO3T0pjcvHnhkXiciZONMjLSmNSJtVTKsj3Yub3ykeNtcBxVMUlDZeTlFTHjmMya8q14iOwdJZ0mUUYsfVCmOiSkezHJIqKI4+GsizEmciE2KfoHnYarcy18kBGvA6Mmg3P2rVGd0U0buabIJRJEb-ZpfNqrMQSIjnbY7MLRT7WQQ-EbBOGXUgg27g-D6NELIjGF4YmQ0Wh7BKtI7gSgvMHjLohLYIxFU+DxGnOEmnFkXS6DOnou64XTaWkkomYenSs4yNlI5ao6qkzCEP7mcHM5HfVV8+7WCUcr60mp6aKEC3Be6PZyEBaMgBOdmQkMw92MSGNwlwehszhqjq14CdPmGmBduCYHtwKCQzMxgucTHi0RUafcvHTaGzjMs-uMcw8RGGmeOaHL4GGeZDBe9tPQt3AySr6CryVrY0s8d4PJLMoH4BJVfpafzuC9KCkn0SqvL4OQCA2CoRSoO3KIhHHdbjUPsyG0hEwutphDUzo6Sgj410enaYkOiZkWKFTGtmBUH-ATGlLjQwbdmKjy0pM2almg36TN+wyAUsOitGi4GYMk37oN+yRweClABsSubRPSyHDpBBEkRO8A4YIJpciqmA1F28FWMg077jMsKrjs66mva+GsKwQA
13:31:06: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:06: [INFO] Matrix size: 9x6
13:31:06: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:06: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:06: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:06: [INFO] Add COL0 net
13:31:06: [INFO] Add COL1 net
13:31:06: [INFO] Add COL2 net
13:31:06: [INFO] Add COL3 net
13:31:06: [INFO] Add COL4 net
13:31:06: [INFO] Add COL5 net
13:31:06: [INFO] Add COL6 net
13:31:06: [INFO] Add Net-(D1-A) net
13:31:06: [INFO] Add Net-(D10-A) net
13:31:06: [INFO] Add Net-(D11-A) net
13:31:06: [INFO] Add Net-(D12-A) net
13:31:06: [INFO] Add Net-(D13-A) net
13:31:06: [INFO] Add Net-(D14-A) net
13:31:06: [INFO] Add Net-(D15-A) net
13:31:06: [INFO] Add Net-(D16-A) net
13:31:06: [INFO] Add Net-(D17-A) net
13:31:06: [INFO] Add Net-(D18-A) net
13:31:06: [INFO] Add Net-(D19-A) net
13:31:06: [INFO] Add Net-(D2-A) net
13:31:06: [INFO] Add Net-(D20-A) net
13:31:06: [INFO] Add Net-(D21-A) net
13:31:06: [INFO] Add Net-(D22-A) net
13:31:06: [INFO] Add Net-(D23-A) net
13:31:06: [INFO] Add Net-(D24-A) net
13:31:06: [INFO] Add Net-(D25-A) net
13:31:06: [INFO] Add Net-(D26-A) net
13:31:06: [INFO] Add Net-(D27-A) net
13:31:06: [INFO] Add Net-(D28-A) net
13:31:06: [INFO] Add Net-(D29-A) net
13:31:06: [INFO] Add Net-(D3-A) net
13:31:06: [INFO] Add Net-(D30-A) net
13:31:06: [INFO] Add Net-(D31-A) net
13:31:06: [INFO] Add Net-(D32-A) net
13:31:06: [INFO] Add Net-(D33-A) net
13:31:06: [INFO] Add Net-(D34-A) net
13:31:06: [INFO] Add Net-(D35-A) net
13:31:06: [INFO] Add Net-(D36-A) net
13:31:06: [INFO] Add Net-(D37-A) net
