=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcAGbZAHQDsyzCFxcIBjWPAYgEM33wc8qA2C80lXABdbACgw4AJ6N86LLgLZ8NbkVURo8ORkUN44JnWMnOiwmlVKAzFcIAWO9iROeTgOxOAHE4CcThBVzImpghEsw2zDHWnB9ZnYORQB3RjQuJQQ+AUplDShZeQyqTzCfMP9gtBVRCXAEPMUG0LhNQt08VPgEFAU8BojWuMZDE1MMhqj+7BjplybsNwXS6fLpyunAq2aW+qJBvYQpw9mILsReiaIkfjJrRqGtOB0+w5XDtcON+hHWRJYrAALNIZNDYaq3UhIB5tbRFBYQnJQ9S1YDgMFBPBglqw57yFKMHruV5gwY-AxGMYMUHYY5g2bo5xWMFLLHYd5gz5gjaMraKbG7bEHbFTckJf5Wc5oeFskhI+6Y3EvPS-KnU-lEDlELlEb4Fbr4vDxQz-AE0xH8aHUVHgBVWe44-V4jrgKUy23gyENRXDClqsx4e4M+7zQOLe3siOfe48h2Yj0IXYOg4O0W+8WJSVpFDEjIOm5IjH5J7Ko2qqkBhPvB3R3X5Y1-TOKYHwdKKe4WgQ8GFOl558H4SHd63iNH2B7gceOkuG12Ey6KcdoSHj+Pj6wrnvnHqvcf2Tc+hv+gnwdwZcdeA-136mrMG3dEDdI1dWKf759b+cPuX8F+xGcukeFYnnAbZ4FOl5Iu4E5TnqTw9IBN4SueA5Diio64kcvSKDIcIutus4tqBKSWPezakYgiiQBRAC0fYLFkkIOsW86EJ0X7NmkJHZi6gIUQ0eDUYwdE5tCeBSPxNI-gIHYsXhYnpqMFYoQg7iQtBuwQep6ESJh0okkQ778MxqK4tK+Hzhg-bLkizQRk+-B2f+hJyGximNkk7EGrm7aGZC2LXn6ym+YxhbqM58n9ggRkCKSgUZp5c7ea8+b+eCIgYU65kKQRD42b+4VDEBYxWAAJowAAuABOACuACmKEOQIU7xSaEogTuKExWQLWxMVpggWei7YJBBWOg2t4dQu4GPpu43liVijlfA1X1Sp3WkL1RVIU2XkXN+BZjRlulZbOuHOgp-XGHe+1LZVtUNcN+XNelfU7RwjWbmSSX7V1X2tZSi17UNM2jS930Te1e2dcNRz-bDG1LgDx7Q9heDLXAq2PTN0k9elpmnS652lu5k2o3lm7HOulPI8B0P4ChYN42mkOZutNOxLlKmHS9tgE082U4e0OVfihz146c7ko+AGNY59H6S9uDPDUzm0zPkssPezCsA2TP0wzjPMS8dkgC2dwtTVZT2bqGZyWQ+TV47b+vunuNu00DP08K7I3u29FJ6wRVs4wgftDEH36O2rzsR9rBUx-b3Pu-zPEKcTs6x9bH6snbBrB5OtKbjnLv5272cewNe3ZSh2QFcXrOJZnoNFxX10gdKPk44O5f+wlbA3Qh36hz34eJ7DUfjsXTcF9FLec2Phstynrbm-JU0Ux+7zU5v+Rc8NiORr3Sme+cPCM5uKxim1u0u0PF+vrNO8I-f8-3knO-L6Bq8XevYubp828CprFzr9fe-9W4MBAtYGu4DX5wGgbDbuQDdZQ1vipYeyDx6wJxgfYBaDYZGzVj4T+gtxIW3Jn-D8PJAEvT1HvGaB89RXUgVXaaBda60JQWzFWm4mELUrj9fSKkkGcKPh5fuv9YYYNETjCe2BqF+SobvUWBDeEmzMt-EmzCB5oxlvdNaWcxqHnev3eWRjlFvzAR+Pk20gon0YGfHh1jjEB1QfQme0i8Y2JnnImxV9AYCM1gYnBc0fS5TuitLWqjnHqMJmncht8ImYyiTNcWatExcI+sNXxjp3FlzGvNOxAjzgIJmhwrxuTGClJniIipmSJEUKkXNTSj8CkQLKvo7GM8D4ZLgTuJJctoltJIZojOHF0adMoWNCGJizTZLmt9PJMwFntPbmwyeKyxG3nPtYmZRS26sO-LU9Jey+4AkkSHTZsirkQCCV0t8NypZ00SRMyJwSZ6EKnJYEZRMEkNwafg1Jc0qaF2sWmJZPTwUqLKcC1ZhydljRZrMnRRzYV9PWSENFo9LHXLBQ-WeeL0UHVhT8+Ja9GlAusZLbRAyUkF18dS5FFyC49MVtC9hc1GX7JYYIjFqs3z1PORSmpnKLGgMuVSsVBsfGirEdLO5ccXrRUFSi9+Y1HDCGEEAA
13:32:43: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:32:43: [INFO] Matrix size: 4x20
13:32:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:44: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:44: [WARNING] No stabilizer footprint for width 2.5u, using 2u as fallback
13:32:44: [WARNING] No stabilizer footprint for width 2.5u, using 2u as fallback
13:32:44: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:44: [WARNING] No stabilizer footprint for width 2.5u, using 2u as fallback
13:32:44: [INFO] Add COL0 net
13:32:44: [INFO] Add COL1 net
13:32:44: [INFO] Add COL10 net
13:32:44: [INFO] Add COL11 net
13:32:44: [INFO] Add COL12 net
13:32:44: [INFO] Add COL13 net
13:32:44: [INFO] Add COL14 net
13:32:44: [INFO] Add COL15 net
13:32:44: [INFO] Add COL16 net
13:32:44: [INFO] Add COL17 net
13:32:44: [INFO] Add COL18 net
13:32:44: [INFO] Add COL19 net
13:32:44: [INFO] Add COL2 net
13:32:44: [INFO] Add COL20 net
13:32:44: [INFO] Add COL3 net
13:32:44: [INFO] Add COL4 net
13:32:44: [INFO] Add COL5 net
13:32:44: [INFO] Add COL6 net
13:32:44: [INFO] Add COL7 net
13:32:44: [INFO] Add COL8 net
13:32:44: [INFO] Add COL9 net
13:32:44: [INFO] Add Net-(D1-A) net
13:32:44: [INFO] Add Net-(D10-A) net
13:32:44: [INFO] Add Net-(D11-A) net
13:32:44: [INFO] Add Net-(D12-A) net
13:32:44: [INFO] Add Net-(D13-A) net
13:32:44: [INFO] Add Net-(D14-A) net
13:32:44: [INFO] Add Net-(D15-A) net
13:32:44: [INFO] Add Net-(D16-A) net
13:32:44: [INFO] Add Net-(D17-A) net
13:32:44: [INFO] Add Net-(D18-A) net
13:32:44: [INFO] Add Net-(D19-A) net
13:32:44: [INFO] Add Net-(D2-A) net
13:32:44: [INFO] Add Net-(D20-A) net
13:32:44: [INFO] Add Net-(D21-A) net
13:32:44: [INFO] Add Net-(D22-A) net
13:32:44: [INFO] Add Net-(D23-A) net
13:32:44: [INFO] Add Net-(D24-A) net
13:32:44: [INFO] Add Net-(D25-A) net
13:32:44: [INFO] Add Net-(D26-A) net
13:32:44: [INFO] Add Net-(D27-A) net
13:32:44: [INFO] Add Net-(D28-A) net
13:32:44: [INFO] Add Net-(D29-A) net
13:32:44: [INFO] Add Net-(D3-A) net
13:32:44: [INFO] Add Net-(D30-A) net
13:32:44: [INFO] Add Net-(D31-A) net
13:32:44: [INFO] Add Net-(D32-A) net
13:32:44: [INFO] Add Net-(D33-A) net
13:32:44: [INFO] Add Net-(D34-A) net
13:32:44: [INFO] Add Net-(D35-A) net
13:32:44: [INFO] Add Net-(D36-A) net
13:32:44: [INFO] Add Net-(D37-A) net
13:32:44: [INFO] Add Net-(D38-A) net
13:32:44: [INFO] Add Net-(D39-A) net
13:32:44: [INFO] Add Net-(D4-A) net
13:32:44: [INFO] Add Net-(D40-A) net
13:32:44: [INFO] Add Net-(D41-A) net
13:32:44: [INFO] Add Net-(D42-A) net
13:32:44: [INFO] Add Net-(D43-A) net
13:32:44: [INFO] Add Net-(D44-A) net
13:32:44: [INFO] Add Net-(D45-A) net
13:32:44: [INFO] Add Net-(D46-A) net
13:32:44: [INFO] Add Net-(D47-A) net
13:32:44: [INFO] Add Net-(D48-A) net
13:32:44: [INFO] Add Net-(D49-A) net
13:32:44: [INFO] Add Net-(D5-A) net
13:32:44: [INFO] Add Net-(D50-A) net
13:32:44: [INFO] Add Net-(D51-A) net
13:32:44: [INFO] Add Net-(D52-A) net
13:32:44: [INFO] Add Net-(D53-A) net
13:32:44: [INFO] Add Net-(D54-A) net
13:32:44: [INFO] Add Net-(D55-A) net
13:32:44: [INFO] Add Net-(D56-A) net
13:32:44: [INFO] Add Net-(D57-A) net
13:32:44: [INFO] Add Net-(D58-A) net
13:32:44: [INFO] Add Net-(D59-A) net
13:32:44: [INFO] Add Net-(D6-A) net
13:32:44: [INFO] Add Net-(D60-A) net
