=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsBfANHcBGDDwsJp4cAmJM9LcBDHHQ7O8gHQDsOO6CjwBjWNgDEAQ3ETwmZvQDMXTux5NiQnEjrYA7kLLTa9Mgu71wAXQwAoMFCHIqNHaVT6y+FQKHhh-X36k0eIx8JHA4yADs1NhBwTGGHk5hLoFy5lY2gvDeEpKOakhR+rL0ACweWSJ+-q6mIWrqVLUMFV5iuaJM4EkUTTRuOLLp1hA9lNHgpfQRHqHk4-nORTQlOCjG7Hi8cBCV3tW+AdirAGwbW7N2C9h77bldY8vH9OuKHEHDNnOFKDQAnlc+tgpjgAByfCAAJzmNEhANINFCyF+2HhcAAtHgbm0DoJ9MoLCNwNC1KVULC0VNsKFMRp-kJMcV6IxCTYSaQUJQKUIUbZ4OjevT+ZFebcOp19FMqBDibpydh2XAKLJeXChFS+RjkFjwGjMTRbrijuBVjLFRQNWr4G5qVcVUKMTh9HgyGa0SVbfBkPbUQynf0MK7WVDQhbVWidUiNLy9f6ZCyMlCebDQ0hQeH1YirhrY0yg4niWjOQ5PVqkDrY3Tsdk7nltAUJiCAJxm1NN7nWrNetMxv0GnEHY14IbBwtCD2a5Dph2MgMjgvmpBNjMI0vI3v8uMGfNEyFCCLy4mhWRIH1j+AaqPt32bpnz3fHpCW91d5Jn3MB8qjxUn0orpWvuoE4fvEX4Lo+-6RgUmi6n6+IYPebJqDBP5ICcHZwMWvJRicG6OlW3TjpKgYIBsbgEKOOF4fYvI9MRZCkW87ADK0NbisaUo4GRpjfo+04KpSgFPjOOqGoOTLlCsGAoK245LhhE7fPxsG3gGMm8XJy4YTamrqKCInOtJskXhhUHOHhs4yJJMjqQufooXM6haaW6InjpIEGCcXR0DMGmkDpVoAS5J4WVueBeakvngWoFAIP+ikMiecUGQGEXYG4UUPjF5YYZeiVoSlzxpSaGCZWyczKv+WGvq5PYiQRSSyPR8hMSUFEFjSJ7KWiNH9mxHQcYGRitXUOyeDWRqLEqzUbKa34MgeqoVU+kE1eoESFQY4LfmiOk0k5oWGdt0X+ag8VrWdm1uMdWWnehAmZi5FAVnBUk3Uh-JLWoE6BWZ+ElipjrwS2O26Bdh2pCDJ1hEl50ueoyU3kDAZQ7dMM5Q9JnwwVSOWSVqNskW1yarS92A7SMFigNU3qI2gZgbuDIUF9pC-qtLmRCJfVVOJNAsO1u67TVyDOeTYX0AL5XfTj55wHlm4Y2LTLhMZ6O4QpwtoRD6US+YZhAA
13:35:07: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:35:07: [INFO] Matrix size: 4x25
13:35:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:07: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:08: [INFO] Add COL0 net
13:35:08: [INFO] Add COL1 net
13:35:08: [INFO] Add COL10 net
13:35:08: [INFO] Add COL11 net
13:35:08: [INFO] Add COL12 net
13:35:08: [INFO] Add COL13 net
13:35:08: [INFO] Add COL14 net
13:35:08: [INFO] Add COL15 net
13:35:08: [INFO] Add COL16 net
13:35:08: [INFO] Add COL17 net
13:35:08: [INFO] Add COL18 net
13:35:08: [INFO] Add COL19 net
13:35:08: [INFO] Add COL2 net
13:35:08: [INFO] Add COL20 net
13:35:08: [INFO] Add COL21 net
13:35:08: [INFO] Add COL22 net
13:35:08: [INFO] Add COL23 net
13:35:08: [INFO] Add COL24 net
13:35:08: [INFO] Add COL25 net
13:35:08: [INFO] Add COL3 net
13:35:08: [INFO] Add COL4 net
13:35:08: [INFO] Add COL5 net
13:35:08: [INFO] Add COL6 net
13:35:08: [INFO] Add COL7 net
13:35:08: [INFO] Add COL8 net
13:35:08: [INFO] Add COL9 net
13:35:08: [INFO] Add Net-(D1-A) net
13:35:08: [INFO] Add Net-(D10-A) net
13:35:08: [INFO] Add Net-(D11-A) net
13:35:08: [INFO] Add Net-(D12-A) net
13:35:08: [INFO] Add Net-(D13-A) net
13:35:08: [INFO] Add Net-(D14-A) net
13:35:08: [INFO] Add Net-(D15-A) net
13:35:08: [INFO] Add Net-(D16-A) net
13:35:08: [INFO] Add Net-(D17-A) net
13:35:08: [INFO] Add Net-(D18-A) net
13:35:08: [INFO] Add Net-(D19-A) net
13:35:08: [INFO] Add Net-(D2-A) net
13:35:08: [INFO] Add Net-(D20-A) net
13:35:08: [INFO] Add Net-(D21-A) net
13:35:08: [INFO] Add Net-(D22-A) net
13:35:08: [INFO] Add Net-(D23-A) net
13:35:08: [INFO] Add Net-(D24-A) net
13:35:08: [INFO] Add Net-(D25-A) net
13:35:08: [INFO] Add Net-(D26-A) net
13:35:08: [INFO] Add Net-(D27-A) net
13:35:08: [INFO] Add Net-(D28-A) net
13:35:08: [INFO] Add Net-(D29-A) net
13:35:08: [INFO] Add Net-(D3-A) net
13:35:08: [INFO] Add Net-(D30-A) net
13:35:08: [INFO] Add Net-(D31-A) net
13:35:08: [INFO] Add Net-(D32-A) net
