=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsAaO4Ces4EYBfDcABjQXAwmngHZUjMAWc8AXTQCgwpcAmVMRzwAtCSQAOWikak0fSnGq48SErLJNFy+CgbEWCqr3ir1BtFo7cdcPekzC4YydI1oU2k4n3M0edi4eGjhxB2xcFykZYjISAB0AOySkuMU5AOMQvFUYv08LADYU5MS8NBJAm29CwUdI8UK+PLli0qS+Cq9s33AWBPbE-qrg3GRwpxc3YnKKLNx6FvQKa1H4AQmG1xbyoyVvM1lyrXndXvQ920PidCsg23shLeijj26x8-8R2zCn0XEXjMKiVUl0gZl9tlcrJ0AVMOg2iVypVVrZapt-kgmjs0IjSggwZCVJ8BiV0Cj7t5xn9nOJpphOnMiXReoVWKjvBsaVF6eBOpcDmpZJ0Tsy7Kz5O9TELiGy7tUQo96pjAQy3qcfC02QEOSFfsradthcDBmliJ0IVdobL1Zg2Xiksjvt4WAaXHhmrICUy0b1aOzKXq6hEVdJiAATXAAFwATgBXACm7lJpTIloO1MwkfgscTshYDrKX11uH14GzcFzSaBKdB6eymfL0fj1fhuJBRZ1gdw6O54g94QAzgBbXDgGMAeyjAH0EwBjHLgdyFi0djsJyoa61+WtDfxrwYJhQl+BlyYAsOYEdj9IVqvG3dpqX4Rt3luye0d8pdhU94PnpAB2Ia94HHKdZwXAJXkLAk8APEoE3rYklhNMl90GdcVm7eBewNcRmmA0dQNvZs81idtBn5Z9cgjUjWz6VDSkMZ0Qlwpsc3fIEYMlLdgzfMi213C5nRjFRwhjEImGDGMnAATkA4gQhcDFnCkiQWgJY9KVE+AEDITAJNwPRXXHOSkAJTAlNUEzJj0EhwgAC2Qr1i20yI9OIQzTFUcpLNLJAbMiOzHOc4h-U8DkdOcPBxOyToDLM3zvGU7k1Jaf0rDYIA
13:35:20: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:35:20: [INFO] Matrix size: 7x6
13:35:21: [INFO] Add COL0 net
13:35:21: [INFO] Add COL1 net
13:35:21: [INFO] Add COL2 net
13:35:21: [INFO] Add COL3 net
13:35:21: [INFO] Add COL4 net
13:35:21: [INFO] Add COL5 net
13:35:21: [INFO] Add COL6 net
13:35:21: [INFO] Add Net-(D1-A) net
13:35:21: [INFO] Add Net-(D10-A) net
13:35:21: [INFO] Add Net-(D11-A) net
13:35:21: [INFO] Add Net-(D12-A) net
13:35:21: [INFO] Add Net-(D13-A) net
13:35:21: [INFO] Add Net-(D14-A) net
13:35:21: [INFO] Add Net-(D15-A) net
13:35:21: [INFO] Add Net-(D16-A) net
13:35:21: [INFO] Add Net-(D17-A) net
13:35:21: [INFO] Add Net-(D18-A) net
13:35:21: [INFO] Add Net-(D19-A) net
13:35:21: [INFO] Add Net-(D2-A) net
13:35:21: [INFO] Add Net-(D20-A) net
13:35:21: [INFO] Add Net-(D21-A) net
13:35:21: [INFO] Add Net-(D22-A) net
13:35:21: [INFO] Add Net-(D23-A) net
13:35:21: [INFO] Add Net-(D24-A) net
13:35:21: [INFO] Add Net-(D25-A) net
13:35:21: [INFO] Add Net-(D26-A) net
13:35:21: [INFO] Add Net-(D27-A) net
13:35:21: [INFO] Add Net-(D28-A) net
13:35:21: [INFO] Add Net-(D29-A) net
13:35:21: [INFO] Add Net-(D3-A) net
13:35:21: [INFO] Add Net-(D30-A) net
13:35:21: [INFO] Add Net-(D31-A) net
13:35:21: [INFO] Add Net-(D32-A) net
13:35:21: [INFO] Add Net-(D33-A) net
13:35:21: [INFO] Add Net-(D34-A) net
13:35:21: [INFO] Add Net-(D35-A) net
13:35:21: [INFO] Add Net-(D36-A) net
13:35:21: [INFO] Add Net-(D37-A) net
13:35:21: [INFO] Add Net-(D38-A) net
