=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIyzgb1AD1ALjuAOgCYBWeUAY1wQGIBDBx1UAC2qIF9yAWaAHQB2gwUWioMVPKBoVZc0FwS8U5KEWZQAzOKzVCpRaF7qekbasjcd2PPrIJJtRk3IB3akgIlDUEjsfScvKGvFamfhYAbBqQAOzMvNGm8RYAHDEAnAmQ6aZZFkgwBSrolNTSzgzM7nie3qaFwkICqWLwGDb4xPZlUjJBVCHIJYhIJghQSOalnXZDY9lTMUhhpQH0lcxseJwFJE2CZEUzet3k6wODDatGyH4AupAAUGBIbQhvJR0e3YZkI29xqA3tNvrZfuQyECyNNgZZrKdSOdyhtnNUfrF6h9IBE1ijLgpIfCibi4UlsSkEGRyaAyJS4blsfkqTlmGRmXDCv4UbFeXz0TsIdikEgDi13mCukiHPiBoSWSLmJ8gZ9QbpwQYiQstbDPqtJZ5NQqbv8Hs8wKJjqBRF91VKeutKnQtuxDJF+M1BJoJb1aAS3chmKIgaI1bMhaB3eMJDy+bz5ZGzNy+v7yKJ9Xa7Mi+k6BXAiBHRPtPQIoMcYym5QHSaIaaJ6e6ae76aJGdbIBz3W33RybeXfRVNm52ARMYYbaKS29++HpQP+kEE+7Fe153H4+PkNH56mEDaw4isYntQhl7CbRnHUOENt85ukMWmu6Z4fs36q+Rlzdl2aXqBvVa3q2p0hpHrEgarleaLDjshjekQYq8C+GoOrGcYJuBQLgbC3oZrOqE5teoA1HAdRwTiCK1AQUAICRZHkN6kRihkPoXHKMFwLE5GpMxrEormHH0QgQHgLxyGkdRgleIY4Fcqu+FvtI67xDJwzMEBQJAQeKGKaiLi0a65CyZoYrgf2bGLuRKyURJRqgLJNyyb+wCSgWc4AJ6vjKhFokMokljaNmeOA5EISWyjqWYiEQScOwFiFRlbqZMX2cgJklrJQXUT4dxiv8oCPC8rkRkcYqBfJ1CRF4Ul2UWYqTMw7rcPVMUGoQNHERiR4TmKnyNcg-lNH1FV4FVR6fI+zT5YVLl2m5R7PmKQE2RkkkGVRR6MbxtoWfIHEFmODFxNtOh0dJR08SWLG2iRB2bR2J2QfxRFnfdjRXa1dqrQle65SWy4FeaxV2WZS2fZ0326QSgk-f+OS8duENrfOuZWZNggAzNrmaGc3m0MpeZ1OQt6iLR6iCnOLDk6R5CYNTAC0hCYuQ7nU0ghifJOTStCg9z3EAA
13:36:55: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:55: [INFO] Matrix size: 7x15
13:36:56: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:56: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:56: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:56: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:56: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:56: [INFO] Add COL0 net
13:36:56: [INFO] Add COL1 net
13:36:56: [INFO] Add COL10 net
13:36:56: [INFO] Add COL11 net
13:36:56: [INFO] Add COL12 net
13:36:56: [INFO] Add COL13 net
13:36:56: [INFO] Add COL14 net
13:36:56: [INFO] Add COL15 net
13:36:56: [INFO] Add COL2 net
13:36:56: [INFO] Add COL3 net
13:36:56: [INFO] Add COL4 net
13:36:56: [INFO] Add COL5 net
13:36:56: [INFO] Add COL6 net
13:36:56: [INFO] Add COL7 net
13:36:56: [INFO] Add COL8 net
13:36:56: [INFO] Add COL9 net
13:36:56: [INFO] Add Net-(D1-A) net
13:36:56: [INFO] Add Net-(D10-A) net
13:36:56: [INFO] Add Net-(D100-A) net
13:36:56: [INFO] Add Net-(D101-A) net
13:36:56: [INFO] Add Net-(D102-A) net
13:36:56: [INFO] Add Net-(D103-A) net
13:36:56: [INFO] Add Net-(D104-A) net
13:36:56: [INFO] Add Net-(D105-A) net
13:36:56: [INFO] Add Net-(D106-A) net
13:36:56: [INFO] Add Net-(D107-A) net
13:36:56: [INFO] Add Net-(D108-A) net
13:36:56: [INFO] Add Net-(D109-A) net
13:36:56: [INFO] Add Net-(D11-A) net
13:36:56: [INFO] Add Net-(D110-A) net
13:36:56: [INFO] Add Net-(D111-A) net
13:36:56: [INFO] Add Net-(D112-A) net
13:36:56: [INFO] Add Net-(D113-A) net
13:36:56: [INFO] Add Net-(D114-A) net
13:36:56: [INFO] Add Net-(D115-A) net
13:36:56: [INFO] Add Net-(D116-A) net
13:36:56: [INFO] Add Net-(D117-A) net
13:36:56: [INFO] Add Net-(D118-A) net
13:36:56: [INFO] Add Net-(D119-A) net
13:36:56: [INFO] Add Net-(D12-A) net
13:36:56: [INFO] Add Net-(D120-A) net
13:36:56: [INFO] Add Net-(D13-A) net
13:36:56: [INFO] Add Net-(D14-A) net
13:36:56: [INFO] Add Net-(D15-A) net
13:36:56: [INFO] Add Net-(D16-A) net
13:36:56: [INFO] Add Net-(D17-A) net
13:36:56: [INFO] Add Net-(D18-A) net
13:36:56: [INFO] Add Net-(D19-A) net
13:36:56: [INFO] Add Net-(D2-A) net
13:36:56: [INFO] Add Net-(D20-A) net
13:36:56: [INFO] Add Net-(D21-A) net
13:36:56: [INFO] Add Net-(D22-A) net
13:36:56: [INFO] Add Net-(D23-A) net
13:36:56: [INFO] Add Net-(D24-A) net
13:36:56: [INFO] Add Net-(D25-A) net
13:36:56: [INFO] Add Net-(D26-A) net
13:36:56: [INFO] Add Net-(D27-A) net
13:36:56: [INFO] Add Net-(D28-A) net
13:36:56: [INFO] Add Net-(D29-A) net
13:36:56: [INFO] Add Net-(D3-A) net
13:36:56: [INFO] Add Net-(D30-A) net
13:36:56: [INFO] Add Net-(D31-A) net
13:36:56: [INFO] Add Net-(D32-A) net
13:36:56: [INFO] Add Net-(D33-A) net
13:36:56: [INFO] Add Net-(D34-A) net
13:36:56: [INFO] Add Net-(D35-A) net
13:36:56: [INFO] Add Net-(D36-A) net
13:36:56: [INFO] Add Net-(D37-A) net
13:36:56: [INFO] Add Net-(D38-A) net
13:36:56: [INFO] Add Net-(D39-A) net
13:36:56: [INFO] Add Net-(D4-A) net
13:36:56: [INFO] Add Net-(D40-A) net
13:36:56: [INFO] Add Net-(D41-A) net
13:36:56: [INFO] Add Net-(D42-A) net
13:36:56: [INFO] Add Net-(D43-A) net
13:36:56: [INFO] Add Net-(D44-A) net
13:36:56: [INFO] Add Net-(D45-A) net
13:36:56: [INFO] Add Net-(D46-A) net
13:36:56: [INFO] Add Net-(D47-A) net
13:36:56: [INFO] Add Net-(D48-A) net
13:36:56: [INFO] Add Net-(D49-A) net
13:36:56: [INFO] Add Net-(D5-A) net
13:36:56: [INFO] Add Net-(D50-A) net
13:36:56: [INFO] Add Net-(D51-A) net
13:36:56: [INFO] Add Net-(D52-A) net
13:36:56: [INFO] Add Net-(D53-A) net
13:36:56: [INFO] Add Net-(D54-A) net
13:36:56: [INFO] Add Net-(D55-A) net
13:36:56: [INFO] Add Net-(D56-A) net
13:36:56: [INFO] Add Net-(D57-A) net
13:36:56: [INFO] Add Net-(D58-A) net
13:36:56: [INFO] Add Net-(D59-A) net
13:36:56: [INFO] Add Net-(D6-A) net
13:36:56: [INFO] Add Net-(D60-A) net
13:36:56: [INFO] Add Net-(D61-A) net
13:36:56: [INFO] Add Net-(D62-A) net
13:36:56: [INFO] Add Net-(D63-A) net
13:36:56: [INFO] Add Net-(D64-A) net
13:36:56: [INFO] Add Net-(D65-A) net
13:36:56: [INFO] Add Net-(D66-A) net
13:36:56: [INFO] Add Net-(D67-A) net
13:36:56: [INFO] Add Net-(D68-A) net
13:36:56: [INFO] Add Net-(D69-A) net
13:36:56: [INFO] Add Net-(D7-A) net
13:36:56: [INFO] Add Net-(D70-A) net
13:36:56: [INFO] Add Net-(D71-A) net
13:36:56: [INFO] Add Net-(D72-A) net
13:36:56: [INFO] Add Net-(D73-A) net
13:36:56: [INFO] Add Net-(D74-A) net
13:36:56: [INFO] Add Net-(D75-A) net
13:36:56: [INFO] Add Net-(D76-A) net
13:36:56: [INFO] Add Net-(D77-A) net
13:36:56: [INFO] Add Net-(D78-A) net
13:36:56: [INFO] Add Net-(D79-A) net
13:36:56: [INFO] Add Net-(D8-A) net
13:36:56: [INFO] Add Net-(D80-A) net
13:36:56: [INFO] Add Net-(D81-A) net
13:36:56: [INFO] Add Net-(D82-A) net
13:36:56: [INFO] Add Net-(D83-A) net
13:36:56: [INFO] Add Net-(D84-A) net
13:36:56: [INFO] Add Net-(D85-A) net
13:36:56: [INFO] Add Net-(D86-A) net
13:36:56: [INFO] Add Net-(D87-A) net
13:36:56: [INFO] Add Net-(D88-A) net
13:36:56: [INFO] Add Net-(D89-A) net
13:36:56: [INFO] Add Net-(D9-A) net
13:36:56: [INFO] Add Net-(D90-A) net
13:36:56: [INFO] Add Net-(D91-A) net
13:36:56: [INFO] Add Net-(D92-A) net
13:36:56: [INFO] Add Net-(D93-A) net
13:36:56: [INFO] Add Net-(D94-A) net
13:36:56: [INFO] Add Net-(D95-A) net
13:36:56: [INFO] Add Net-(D96-A) net
13:36:56: [INFO] Add Net-(D97-A) net
13:36:56: [INFO] Add Net-(D98-A) net
13:36:56: [INFO] Add Net-(D99-A) net
13:36:56: [INFO] Add ROW0 net
13:36:56: [INFO] Add ROW1 net
13:36:56: [INFO] Add ROW2 net
13:36:56: [INFO] Add ROW3 net
13:36:56: [INFO] Add ROW4 net
13:36:56: [INFO] Add ROW5 net
13:36:56: [INFO] Add ROW6 net
13:36:56: [INFO] Add ROW7 net
13:36:56: [INFO] Add SW1 footprint
13:36:56: [INFO] Add D1 footprint
13:36:56: [INFO] Add SW2 footprint
13:36:56: [INFO] Add D2 footprint
13:36:56: [INFO] Add SW3 footprint
13:36:56: [INFO] Add D3 footprint
13:36:56: [INFO] Add SW4 footprint
13:36:56: [INFO] Add D4 footprint
13:36:56: [INFO] Add SW5 footprint
13:36:56: [INFO] Add D5 footprint
13:36:56: [INFO] Add SW6 footprint
13:36:57: [INFO] Add D6 footprint
13:36:57: [INFO] Add SW7 footprint
13:36:57: [INFO] Add D7 footprint
13:36:57: [INFO] Add SW8 footprint
13:36:57: [INFO] Add D8 footprint
13:36:57: [INFO] Add SW9 footprint
13:36:57: [INFO] Add D9 footprint
