=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:54: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBoAJ1GIwIz2o6AmV6DM2rQAs+MArCdAGwUDsFAHBQJwVJwIFIofJY-RI8-JMWHlh1YXWGNhLALqQAUGCQx2aNQOxa+mmEP1EdZE1TPSjsoywRa2Zro72h7h18lFGk475O+WHgLWQUgKymAY6thR2gixLrHusV6gsb5pMP6Z0IGxIbG2aLEO8cjcxbwxyMme1QIZJdklecgFyOEqoDjRCD1xaP0u-e79qf0Z-dn9gf0h-UXdyBpLAhWrSMM12P0iO8iTyNPIs237Ap1ghL1o1wOgdy537nepdxl32XeBdyF3i3dSrdythAU9tghAW8DqCjrCBD8zpCOqBFF1SDdQBj7tiXNj3NjUtiMtjstjAtiQtjFtigViQQhaXiIWhaUSYYy4ZyEdhaVSUWiwJRMcL7qKXKL3KLUqKMqLsqLAqKQqLFqK6er1uqJSzQOqZRy0OqFSdsOqVQKIqAaJibfc7S47e47ak7Rk7dk7YE7SE7Ys7XSA+sA47dQHXYbrVy0AHvUiY5auvRMcn7qmXKn3KnUqmMqnsqnAqmQqnFqm6eX1uWM7ryznI+WC6aEOWS4mwExMZ37t2XN33N3Ut2Mt3st3At2Qt3Ft26bP1rO+7rZ0PI7Ox820LOp+3XAQVmxkDoCC5D9B3GfUmeMmfsmfAmeQmfFme6a-1q-T5wL5wr5wb5wd6cA+nBPpwlyuFoB72DouiwQY8HGHYWg3lod5aA+WhPloL72NBDKaPYp5uIhezIZGXDRpBm7UcEpEQZsmKMfczGnkkOgpBxph2LEd6xA++RcdAL4lAeJQfiUbG6sxZGaCUN5NEJSACfGrglAx-QHrsOhDDpCF2GMenQDeUxGQ+cxGS+uxaQRri7KeuwXrsV67CZVGCDRHl0QZu4iExgI6I8gX6ZorzBcZ4V3t84VPv84VvoCH5gvFF5QvFN6AlFnmArFvnYgetI6LiRUha4hIlRFdikhVD6UhVL60gVtk+FUVXSWyFU+J1d60rVqktRcqJWkgooHuqOjihNpUjTAV6ylN5h2IqC1PqqC1vpq62nuqF76utN7GutD7mutDF2geAY6A6V3TS6N2VZoHr3Q+Pr3S+AYXc1Ib3YIP1XgGN4BnesY-U+AYMamB7ljo6Yw9N2Zww9rj5ojD7FojL7llDzXVojv12HWeM3o2eNo-15YMd2B6zjova09Ng700jYRZEzD6TkzL6ztTzWLkz+OaCu-M3uu-Ps-1s4KPIQA
13:37:54: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:37:54: [INFO] Matrix size: 19x19
13:37:57: [INFO] Add COL0 net
13:37:57: [INFO] Add COL1 net
13:37:57: [INFO] Add COL10 net
13:37:57: [INFO] Add COL11 net
13:37:57: [INFO] Add COL12 net
13:37:57: [INFO] Add COL13 net
13:37:57: [INFO] Add COL14 net
13:37:57: [INFO] Add COL15 net
13:37:57: [INFO] Add COL16 net
13:37:57: [INFO] Add COL17 net
13:37:57: [INFO] Add COL18 net
13:37:57: [INFO] Add COL19 net
13:37:57: [INFO] Add COL2 net
13:37:57: [INFO] Add COL3 net
13:37:57: [INFO] Add COL4 net
13:37:57: [INFO] Add COL5 net
13:37:57: [INFO] Add COL6 net
13:37:57: [INFO] Add COL7 net
13:37:57: [INFO] Add COL8 net
13:37:57: [INFO] Add COL9 net
13:37:57: [INFO] Add Net-(D1-A) net
13:37:57: [INFO] Add Net-(D10-A) net
13:37:57: [INFO] Add Net-(D100-A) net
13:37:57: [INFO] Add Net-(D101-A) net
13:37:57: [INFO] Add Net-(D102-A) net
13:37:57: [INFO] Add Net-(D103-A) net
13:37:57: [INFO] Add Net-(D104-A) net
13:37:57: [INFO] Add Net-(D105-A) net
13:37:57: [INFO] Add Net-(D106-A) net
13:37:57: [INFO] Add Net-(D107-A) net
13:37:57: [INFO] Add Net-(D108-A) net
13:37:57: [INFO] Add Net-(D109-A) net
13:37:57: [INFO] Add Net-(D11-A) net
13:37:57: [INFO] Add Net-(D110-A) net
13:37:57: [INFO] Add Net-(D111-A) net
13:37:57: [INFO] Add Net-(D112-A) net
13:37:57: [INFO] Add Net-(D113-A) net
13:37:57: [INFO] Add Net-(D114-A) net
13:37:57: [INFO] Add Net-(D115-A) net
13:37:57: [INFO] Add Net-(D116-A) net
13:37:57: [INFO] Add Net-(D117-A) net
13:37:57: [INFO] Add Net-(D118-A) net
13:37:57: [INFO] Add Net-(D119-A) net
13:37:57: [INFO] Add Net-(D12-A) net
13:37:57: [INFO] Add Net-(D120-A) net
13:37:57: [INFO] Add Net-(D121-A) net
13:37:57: [INFO] Add Net-(D122-A) net
13:37:57: [INFO] Add Net-(D123-A) net
13:37:57: [INFO] Add Net-(D124-A) net
13:37:57: [INFO] Add Net-(D125-A) net
13:37:57: [INFO] Add Net-(D126-A) net
13:37:57: [INFO] Add Net-(D127-A) net
13:37:57: [INFO] Add Net-(D128-A) net
13:37:57: [INFO] Add Net-(D129-A) net
13:37:57: [INFO] Add Net-(D13-A) net
13:37:57: [INFO] Add Net-(D130-A) net
13:37:57: [INFO] Add Net-(D131-A) net
13:37:57: [INFO] Add Net-(D132-A) net
13:37:57: [INFO] Add Net-(D133-A) net
13:37:57: [INFO] Add Net-(D134-A) net
13:37:57: [INFO] Add Net-(D135-A) net
13:37:57: [INFO] Add Net-(D136-A) net
13:37:57: [INFO] Add Net-(D137-A) net
13:37:57: [INFO] Add Net-(D138-A) net
13:37:57: [INFO] Add Net-(D139-A) net
13:37:57: [INFO] Add Net-(D14-A) net
13:37:57: [INFO] Add Net-(D140-A) net
13:37:57: [INFO] Add Net-(D141-A) net
13:37:57: [INFO] Add Net-(D142-A) net
13:37:57: [INFO] Add Net-(D143-A) net
13:37:57: [INFO] Add Net-(D144-A) net
13:37:57: [INFO] Add Net-(D145-A) net
13:37:57: [INFO] Add Net-(D146-A) net
13:37:57: [INFO] Add Net-(D147-A) net
13:37:57: [INFO] Add Net-(D148-A) net
13:37:57: [INFO] Add Net-(D149-A) net
13:37:57: [INFO] Add Net-(D15-A) net
13:37:57: [INFO] Add Net-(D150-A) net
13:37:57: [INFO] Add Net-(D151-A) net
13:37:57: [INFO] Add Net-(D152-A) net
13:37:57: [INFO] Add Net-(D153-A) net
13:37:57: [INFO] Add Net-(D154-A) net
13:37:57: [INFO] Add Net-(D155-A) net
13:37:57: [INFO] Add Net-(D156-A) net
13:37:57: [INFO] Add Net-(D157-A) net
13:37:57: [INFO] Add Net-(D158-A) net
13:37:57: [INFO] Add Net-(D159-A) net
13:37:57: [INFO] Add Net-(D16-A) net
13:37:57: [INFO] Add Net-(D160-A) net
13:37:57: [INFO] Add Net-(D161-A) net
13:37:57: [INFO] Add Net-(D162-A) net
13:37:57: [INFO] Add Net-(D163-A) net
13:37:57: [INFO] Add Net-(D164-A) net
13:37:57: [INFO] Add Net-(D165-A) net
13:37:57: [INFO] Add Net-(D166-A) net
13:37:57: [INFO] Add Net-(D167-A) net
13:37:57: [INFO] Add Net-(D168-A) net
13:37:57: [INFO] Add Net-(D169-A) net
13:37:57: [INFO] Add Net-(D17-A) net
13:37:57: [INFO] Add Net-(D170-A) net
13:37:57: [INFO] Add Net-(D171-A) net
13:37:57: [INFO] Add Net-(D172-A) net
13:37:57: [INFO] Add Net-(D173-A) net
13:37:57: [INFO] Add Net-(D174-A) net
13:37:57: [INFO] Add Net-(D175-A) net
13:37:57: [INFO] Add Net-(D176-A) net
13:37:57: [INFO] Add Net-(D177-A) net
13:37:57: [INFO] Add Net-(D178-A) net
13:37:57: [INFO] Add Net-(D179-A) net
13:37:57: [INFO] Add Net-(D18-A) net
13:37:57: [INFO] Add Net-(D180-A) net
13:37:57: [INFO] Add Net-(D181-A) net
13:37:57: [INFO] Add Net-(D182-A) net
13:37:57: [INFO] Add Net-(D183-A) net
13:37:57: [INFO] Add Net-(D184-A) net
13:37:57: [INFO] Add Net-(D185-A) net
13:37:57: [INFO] Add Net-(D186-A) net
13:37:57: [INFO] Add Net-(D187-A) net
13:37:57: [INFO] Add Net-(D188-A) net
13:37:57: [INFO] Add Net-(D189-A) net
13:37:57: [INFO] Add Net-(D19-A) net
13:37:57: [INFO] Add Net-(D190-A) net
13:37:57: [INFO] Add Net-(D191-A) net
13:37:57: [INFO] Add Net-(D192-A) net
13:37:57: [INFO] Add Net-(D193-A) net
13:37:57: [INFO] Add Net-(D194-A) net
13:37:57: [INFO] Add Net-(D195-A) net
13:37:57: [INFO] Add Net-(D196-A) net
13:37:57: [INFO] Add Net-(D197-A) net
13:37:57: [INFO] Add Net-(D198-A) net
