=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:45: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBPWikAmTbAY33AGIUbbwBfLcTARgBZwsJp5kTxy8KqRGiGTBBgSdskljO74AHKjSNZGFtImb5XKPmQsAzE0HZKAQ2s3xGloRng5xhQd5IlKJgGcAthQATgD2AC4A+gCmpCzy6s6abAA6AHap6WmZGamR0gC6GABQYO5whEx4HsRmFJSiYr4BQnbgLFJObXpwivAAnERqTJ3a2J1drZqO+uZUNrZMAO74hPGdyVkpkiM9BPwzdfXk8eXsbjwE6Kuaxtmbmh2Jt3LgBcU7LAM1QlZzlk5L8A+g2w5W2AlqhyOTBOZ3w-Uu0M0I3AJ3GJym3XAALgQOO11ubTB5z48VMJlhgNUXwstDoi3wH2q2AAFstFo5KfxmRycUxIDyALTIYikyYE+6vErEqlkWq-P70ykI7CmMH7SEtMkUnHC4HgMnIsldCD7Wk0f7LAaihziomGT6y74a60cfTnD4IPEmcXySUmuW-C3wQhWphsKS3UFudWHFrh42lLSqeLxtUBuZBsqh7Dxwi3VUvIpShkoJD8SpwIUy8HfM0oOPXQtvUp8Cr4KtMmsWeWZxl6zBg7F9+KsbVJ9CKnHZ5gYXpuIfT1j5IvvABsZbb8CrE8dNLNLVY41YGJn5L9Xdmgcnw7Djw2MNvCEj9zdDJDyvA8ZY+ZfmIXItvG0Ni1c9AgZcNsECc4IPAQIKxDfh3U3SsQ2Mbxd2EWN4kkVxzwrKslCUbCMAxd5qUvDNiI4c9zlMbB8OQLxiLQJti0BciDnqFo2lwldcHbRiiKGEixyuai+No5CCJQK4WJohkpN1PFeObBjPCEkERNfQE8XE5tJPogTPBkxE5IkhTDK3JSmFMFSSjUwjRVIxNRT0ti4Do-irOM0UzP0iyvMraycwwOyIAcjTPy0zF3RTDA3J2TyHJMkKWKYTA-Pc1tLKCpATA4ntr0XaKIH-ftQtYxLFOMjiNUnFZ0viyrYPbdgmCghljAdUoBRDSQct6pA0OIpRmvOAUuv6wKCKUArA2I+ttKnKaYy44i53krc2CQKbkrmyidFXMb2z62qsOE0bNsrSbqsc4TFpihkdquDbzK2nbbpSiYjquwbdqMgDNMut7ro+gbBLxB73mexFXv897-u8pjER+kG-uqwH9QwYH4dBxHcrulUMChxMYaJuH3IFbb8ek0VUdx9HwencMccpm6mcJqKSfdMmoopnYBTQMHpsYr7MCO296cpkNOzU-KMJ+DMisxzBWYFoWadFs6uPq5NGvrPI8iAA
13:38:45: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:38:45: [INFO] Matrix size: 5x14
13:38:46: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:46: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:46: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:46: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:38:46: [INFO] Add COL0 net
13:38:46: [INFO] Add COL1 net
13:38:46: [INFO] Add COL10 net
13:38:46: [INFO] Add COL11 net
13:38:46: [INFO] Add COL12 net
13:38:46: [INFO] Add COL13 net
13:38:46: [INFO] Add COL14 net
13:38:46: [INFO] Add COL2 net
13:38:46: [INFO] Add COL3 net
13:38:46: [INFO] Add COL4 net
13:38:46: [INFO] Add COL5 net
13:38:46: [INFO] Add COL6 net
13:38:46: [INFO] Add COL7 net
13:38:46: [INFO] Add COL8 net
13:38:46: [INFO] Add COL9 net
13:38:46: [INFO] Add Net-(D1-A) net
13:38:46: [INFO] Add Net-(D10-A) net
13:38:46: [INFO] Add Net-(D11-A) net
13:38:46: [INFO] Add Net-(D12-A) net
13:38:46: [INFO] Add Net-(D13-A) net
13:38:46: [INFO] Add Net-(D14-A) net
13:38:46: [INFO] Add Net-(D15-A) net
13:38:46: [INFO] Add Net-(D16-A) net
13:38:46: [INFO] Add Net-(D17-A) net
13:38:46: [INFO] Add Net-(D18-A) net
13:38:46: [INFO] Add Net-(D19-A) net
13:38:46: [INFO] Add Net-(D2-A) net
13:38:46: [INFO] Add Net-(D20-A) net
13:38:46: [INFO] Add Net-(D21-A) net
13:38:46: [INFO] Add Net-(D22-A) net
13:38:46: [INFO] Add Net-(D23-A) net
13:38:46: [INFO] Add Net-(D24-A) net
13:38:46: [INFO] Add Net-(D25-A) net
13:38:46: [INFO] Add Net-(D26-A) net
13:38:46: [INFO] Add Net-(D27-A) net
13:38:46: [INFO] Add Net-(D28-A) net
13:38:46: [INFO] Add Net-(D29-A) net
13:38:46: [INFO] Add Net-(D3-A) net
13:38:46: [INFO] Add Net-(D30-A) net
13:38:46: [INFO] Add Net-(D31-A) net
13:38:46: [INFO] Add Net-(D32-A) net
13:38:46: [INFO] Add Net-(D33-A) net
13:38:46: [INFO] Add Net-(D34-A) net
13:38:46: [INFO] Add Net-(D35-A) net
13:38:46: [INFO] Add Net-(D36-A) net
13:38:46: [INFO] Add Net-(D37-A) net
13:38:46: [INFO] Add Net-(D38-A) net
