=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:03: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIywVATKxBmLUAsekArEQGxEDsRAHEQJxFIzyJIqtRKafK69JCAXUgAoMEmhZJHBJJ5zI-RYVaTSayBU3VNdTY03NpyWaBkLzfE4NAjxodFNZOzTy0+WPIqhE41+WlhOuoH6gYaBxi6mwcge1jG29mDYzghpZmmWaV5pvqBpAYVBrGmhJeElkSXRGbFl8ViZecjCYmD46aBdZl2WXV5dBV3FXdoIXRVdVV01vSyTDUvcWL1DbXYdoMTdu2a7lrteuwW7xbsTO5AVu1W7NfuL1+xY+0eJCPvtDmTdf2Y-pY-l4-gU-sU-lc-hU-lU-jUAc8AYCmqwAaDNilQJRurizLjLLivLiCrjirirriKriqriavjnviCWiEPiSVjtjRutyzNzLNyvNyCtzityrtyKtyqtyarznry+azQLyhZyHPRupqzJrLJqvJqCpripqrpqKpqqpqatrntqdcrtQb1RIoM9mMhpBgvUofQUPcUPVcPRUPVUPTUPXVzFwzFHLFGvFGfhJJO6ZNJ5JnfWpJP71Nng5JQ5Jw5JIzJ08tzBZs0gkzIU+YnO7XNJ3O2c3InP7-J3gyFO+GnJHXK3q9xlZP653ktt690F3HstJcqufOvA2lg+V1+G0pHMu7Msupy113OHIJF71pP0713zMMH4Hxg-QzMH5GFg-Xmpegm6y-sIQhAA
13:40:03: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:40:03: [INFO] Matrix size: 14x14
13:40:05: [INFO] Add COL0 net
13:40:05: [INFO] Add COL1 net
13:40:05: [INFO] Add COL10 net
13:40:05: [INFO] Add COL11 net
13:40:05: [INFO] Add COL12 net
13:40:05: [INFO] Add COL13 net
13:40:05: [INFO] Add COL14 net
13:40:05: [INFO] Add COL2 net
13:40:05: [INFO] Add COL3 net
13:40:05: [INFO] Add COL4 net
13:40:05: [INFO] Add COL5 net
13:40:05: [INFO] Add COL6 net
13:40:05: [INFO] Add COL7 net
13:40:05: [INFO] Add COL8 net
13:40:05: [INFO] Add COL9 net
13:40:05: [INFO] Add Net-(D1-A) net
13:40:05: [INFO] Add Net-(D10-A) net
13:40:05: [INFO] Add Net-(D100-A) net
13:40:05: [INFO] Add Net-(D101-A) net
13:40:05: [INFO] Add Net-(D102-A) net
13:40:05: [INFO] Add Net-(D103-A) net
13:40:05: [INFO] Add Net-(D104-A) net
13:40:05: [INFO] Add Net-(D105-A) net
13:40:05: [INFO] Add Net-(D106-A) net
13:40:05: [INFO] Add Net-(D107-A) net
13:40:05: [INFO] Add Net-(D108-A) net
13:40:05: [INFO] Add Net-(D109-A) net
13:40:05: [INFO] Add Net-(D11-A) net
13:40:05: [INFO] Add Net-(D110-A) net
13:40:05: [INFO] Add Net-(D111-A) net
13:40:05: [INFO] Add Net-(D112-A) net
13:40:05: [INFO] Add Net-(D113-A) net
13:40:05: [INFO] Add Net-(D114-A) net
13:40:05: [INFO] Add Net-(D115-A) net
13:40:05: [INFO] Add Net-(D116-A) net
13:40:05: [INFO] Add Net-(D117-A) net
13:40:05: [INFO] Add Net-(D118-A) net
13:40:05: [INFO] Add Net-(D119-A) net
13:40:05: [INFO] Add Net-(D12-A) net
13:40:05: [INFO] Add Net-(D120-A) net
13:40:05: [INFO] Add Net-(D121-A) net
13:40:05: [INFO] Add Net-(D122-A) net
13:40:05: [INFO] Add Net-(D123-A) net
13:40:05: [INFO] Add Net-(D124-A) net
13:40:05: [INFO] Add Net-(D125-A) net
13:40:05: [INFO] Add Net-(D126-A) net
13:40:05: [INFO] Add Net-(D127-A) net
13:40:05: [INFO] Add Net-(D128-A) net
13:40:05: [INFO] Add Net-(D129-A) net
13:40:05: [INFO] Add Net-(D13-A) net
13:40:05: [INFO] Add Net-(D130-A) net
13:40:05: [INFO] Add Net-(D131-A) net
13:40:05: [INFO] Add Net-(D132-A) net
13:40:05: [INFO] Add Net-(D133-A) net
13:40:05: [INFO] Add Net-(D134-A) net
13:40:05: [INFO] Add Net-(D135-A) net
13:40:05: [INFO] Add Net-(D136-A) net
13:40:05: [INFO] Add Net-(D137-A) net
13:40:05: [INFO] Add Net-(D138-A) net
13:40:05: [INFO] Add Net-(D139-A) net
13:40:05: [INFO] Add Net-(D14-A) net
13:40:05: [INFO] Add Net-(D140-A) net
13:40:05: [INFO] Add Net-(D141-A) net
13:40:05: [INFO] Add Net-(D142-A) net
13:40:05: [INFO] Add Net-(D143-A) net
13:40:05: [INFO] Add Net-(D144-A) net
13:40:05: [INFO] Add Net-(D145-A) net
13:40:05: [INFO] Add Net-(D146-A) net
13:40:05: [INFO] Add Net-(D147-A) net
13:40:05: [INFO] Add Net-(D148-A) net
13:40:05: [INFO] Add Net-(D149-A) net
13:40:05: [INFO] Add Net-(D15-A) net
13:40:05: [INFO] Add Net-(D150-A) net
13:40:05: [INFO] Add Net-(D151-A) net
13:40:05: [INFO] Add Net-(D152-A) net
13:40:05: [INFO] Add Net-(D153-A) net
13:40:05: [INFO] Add Net-(D154-A) net
13:40:05: [INFO] Add Net-(D155-A) net
13:40:05: [INFO] Add Net-(D156-A) net
13:40:05: [INFO] Add Net-(D157-A) net
13:40:05: [INFO] Add Net-(D158-A) net
13:40:05: [INFO] Add Net-(D159-A) net
13:40:05: [INFO] Add Net-(D16-A) net
13:40:05: [INFO] Add Net-(D160-A) net
13:40:05: [INFO] Add Net-(D161-A) net
13:40:05: [INFO] Add Net-(D162-A) net
13:40:05: [INFO] Add Net-(D163-A) net
13:40:05: [INFO] Add Net-(D164-A) net
13:40:05: [INFO] Add Net-(D165-A) net
13:40:05: [INFO] Add Net-(D166-A) net
13:40:05: [INFO] Add Net-(D167-A) net
13:40:05: [INFO] Add Net-(D168-A) net
13:40:05: [INFO] Add Net-(D169-A) net
13:40:05: [INFO] Add Net-(D17-A) net
13:40:05: [INFO] Add Net-(D170-A) net
13:40:05: [INFO] Add Net-(D171-A) net
13:40:05: [INFO] Add Net-(D172-A) net
13:40:05: [INFO] Add Net-(D173-A) net
13:40:05: [INFO] Add Net-(D174-A) net
13:40:05: [INFO] Add Net-(D175-A) net
13:40:05: [INFO] Add Net-(D176-A) net
13:40:05: [INFO] Add Net-(D177-A) net
13:40:05: [INFO] Add Net-(D178-A) net
13:40:05: [INFO] Add Net-(D179-A) net
13:40:05: [INFO] Add Net-(D18-A) net
13:40:05: [INFO] Add Net-(D180-A) net
13:40:05: [INFO] Add Net-(D181-A) net
13:40:05: [INFO] Add Net-(D182-A) net
13:40:05: [INFO] Add Net-(D183-A) net
13:40:05: [INFO] Add Net-(D184-A) net
13:40:05: [INFO] Add Net-(D185-A) net
13:40:05: [INFO] Add Net-(D186-A) net
13:40:05: [INFO] Add Net-(D187-A) net
13:40:05: [INFO] Add Net-(D188-A) net
13:40:05: [INFO] Add Net-(D189-A) net
13:40:05: [INFO] Add Net-(D19-A) net
13:40:05: [INFO] Add Net-(D190-A) net
13:40:05: [INFO] Add Net-(D191-A) net
13:40:05: [INFO] Add Net-(D192-A) net
13:40:05: [INFO] Add Net-(D193-A) net
13:40:05: [INFO] Add Net-(D194-A) net
13:40:05: [INFO] Add Net-(D195-A) net
13:40:05: [INFO] Add Net-(D196-A) net
13:40:05: [INFO] Add Net-(D197-A) net
13:40:05: [INFO] Add Net-(D198-A) net
13:40:05: [INFO] Add Net-(D199-A) net
13:40:05: [INFO] Add Net-(D2-A) net
13:40:05: [INFO] Add Net-(D20-A) net
13:40:05: [INFO] Add Net-(D200-A) net
13:40:05: [INFO] Add Net-(D201-A) net
13:40:05: [INFO] Add Net-(D202-A) net
13:40:05: [INFO] Add Net-(D203-A) net
13:40:05: [INFO] Add Net-(D204-A) net
13:40:05: [INFO] Add Net-(D205-A) net
13:40:05: [INFO] Add Net-(D206-A) net
13:40:05: [INFO] Add Net-(D207-A) net
13:40:05: [INFO] Add Net-(D208-A) net
13:40:05: [INFO] Add Net-(D209-A) net
13:40:05: [INFO] Add Net-(D21-A) net
13:40:05: [INFO] Add Net-(D210-A) net
13:40:05: [INFO] Add Net-(D211-A) net
13:40:05: [INFO] Add Net-(D212-A) net
13:40:05: [INFO] Add Net-(D213-A) net
13:40:05: [INFO] Add Net-(D214-A) net
13:40:05: [INFO] Add Net-(D215-A) net
13:40:05: [INFO] Add Net-(D216-A) net
13:40:05: [INFO] Add Net-(D217-A) net
13:40:05: [INFO] Add Net-(D218-A) net
13:40:05: [INFO] Add Net-(D219-A) net
13:40:05: [INFO] Add Net-(D22-A) net
13:40:05: [INFO] Add Net-(D220-A) net
13:40:05: [INFO] Add Net-(D221-A) net
13:40:05: [INFO] Add Net-(D222-A) net
13:40:05: [INFO] Add Net-(D223-A) net
13:40:05: [INFO] Add Net-(D224-A) net
13:40:05: [INFO] Add Net-(D225-A) net
13:40:05: [INFO] Add Net-(D23-A) net
13:40:05: [INFO] Add Net-(D24-A) net
13:40:05: [INFO] Add Net-(D25-A) net
13:40:05: [INFO] Add Net-(D26-A) net
13:40:05: [INFO] Add Net-(D27-A) net
13:40:05: [INFO] Add Net-(D28-A) net
13:40:05: [INFO] Add Net-(D29-A) net
13:40:05: [INFO] Add Net-(D3-A) net
13:40:05: [INFO] Add Net-(D30-A) net
13:40:05: [INFO] Add Net-(D31-A) net
13:40:05: [INFO] Add Net-(D32-A) net
13:40:05: [INFO] Add Net-(D33-A) net
13:40:05: [INFO] Add Net-(D34-A) net
13:40:05: [INFO] Add Net-(D35-A) net
13:40:05: [INFO] Add Net-(D36-A) net
13:40:05: [INFO] Add Net-(D37-A) net
13:40:05: [INFO] Add Net-(D38-A) net
13:40:05: [INFO] Add Net-(D39-A) net
13:40:05: [INFO] Add Net-(D4-A) net
13:40:05: [INFO] Add Net-(D40-A) net
13:40:05: [INFO] Add Net-(D41-A) net
13:40:05: [INFO] Add Net-(D42-A) net
13:40:05: [INFO] Add Net-(D43-A) net
13:40:05: [INFO] Add Net-(D44-A) net
13:40:05: [INFO] Add Net-(D45-A) net
13:40:05: [INFO] Add Net-(D46-A) net
13:40:05: [INFO] Add Net-(D47-A) net
13:40:05: [INFO] Add Net-(D48-A) net
13:40:05: [INFO] Add Net-(D49-A) net
13:40:05: [INFO] Add Net-(D5-A) net
13:40:05: [INFO] Add Net-(D50-A) net
13:40:05: [INFO] Add Net-(D51-A) net
13:40:05: [INFO] Add Net-(D52-A) net
13:40:05: [INFO] Add Net-(D53-A) net
13:40:05: [INFO] Add Net-(D54-A) net
13:40:05: [INFO] Add Net-(D55-A) net
13:40:05: [INFO] Add Net-(D56-A) net
13:40:05: [INFO] Add Net-(D57-A) net
13:40:05: [INFO] Add Net-(D58-A) net
13:40:05: [INFO] Add Net-(D59-A) net
13:40:05: [INFO] Add Net-(D6-A) net
13:40:05: [INFO] Add Net-(D60-A) net
13:40:05: [INFO] Add Net-(D61-A) net
13:40:05: [INFO] Add Net-(D62-A) net
13:40:05: [INFO] Add Net-(D63-A) net
13:40:05: [INFO] Add Net-(D64-A) net
13:40:05: [INFO] Add Net-(D65-A) net
13:40:05: [INFO] Add Net-(D66-A) net
