=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEpBZZjuAIxa1EL0BMTdWAzO-QCxMlYCRAEMx46sywBWHlgBsc5HIAccgJxzahGvVqNdDNsShCkadDQDuQlgDpc2KbW4BdLACgw4AB5Da0nYsNACeQgC0tEE0pMLiEjQAZiJCwPRw+Bk4mTnZeVlwtO4INvBRvDQAFv52vE7gFQEAOgB2re1tnR2tcACmhO5eEGHwuEHSSSnwacXgpYV20vXBOgjBBmtYxpvcNMH8ezLswYqHyodqh5qH2scMG+Dr2xDzUUs3bp7efmWBFQgjODhMYqeqcBj8QbeQHAuwBaw1ZDvBDg1bgcEPcHbdFcdjgg4oo40cGnQnnQmXQnXQm3Yn3ASmMgoCzkua2cZghifIa+fx-UIREExMyIShUTkBcBQ4aCuETBCxJDxMTseb2FjIhoEdgVbEVXYICoErWyGgVUla1kVSla6la2mG+kmNUOeqNbnffy8WoC+Cw0FmiFSr4yv1jeElGoa+oTVYvKOaiYbeNlDk0CbPRnCFms+byRYxhQMn4ZBzyrPkMXQQt2pNopNsaW8sqcH0A2UqYVM5UpQsudhJ41J2SuVxAA
13:40:07: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:40:07: [INFO] Matrix size: 5x15
13:40:07: [WARNING] Requested width 1.4u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:40:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:07: [WARNING] Unexpected stabilizer width 6.5u, no footprint will be set
13:40:07: [INFO] Add COL0 net
13:40:07: [INFO] Add COL1 net
13:40:07: [INFO] Add COL10 net
13:40:07: [INFO] Add COL11 net
13:40:07: [INFO] Add COL12 net
13:40:07: [INFO] Add COL13 net
13:40:07: [INFO] Add COL14 net
13:40:07: [INFO] Add COL15 net
13:40:07: [INFO] Add COL2 net
13:40:07: [INFO] Add COL3 net
13:40:07: [INFO] Add COL4 net
13:40:07: [INFO] Add COL5 net
13:40:07: [INFO] Add COL6 net
13:40:07: [INFO] Add COL7 net
13:40:07: [INFO] Add COL8 net
13:40:07: [INFO] Add COL9 net
13:40:07: [INFO] Add Net-(D1-A) net
13:40:07: [INFO] Add Net-(D10-A) net
13:40:07: [INFO] Add Net-(D11-A) net
13:40:07: [INFO] Add Net-(D12-A) net
13:40:07: [INFO] Add Net-(D13-A) net
13:40:07: [INFO] Add Net-(D14-A) net
13:40:07: [INFO] Add Net-(D15-A) net
13:40:07: [INFO] Add Net-(D16-A) net
13:40:07: [INFO] Add Net-(D17-A) net
13:40:07: [INFO] Add Net-(D18-A) net
13:40:07: [INFO] Add Net-(D19-A) net
13:40:07: [INFO] Add Net-(D2-A) net
13:40:07: [INFO] Add Net-(D20-A) net
13:40:07: [INFO] Add Net-(D21-A) net
13:40:07: [INFO] Add Net-(D22-A) net
13:40:07: [INFO] Add Net-(D23-A) net
