=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:47: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwA4C+AaO4AMaEFYAdAO2OJwXA21wDZSSjzwBdNAKDCljgCYA6AOx4qAT25Y+wzAGNu4AMQBDZSvDpMOLJQ25tEaPAk8p4WfAUDLVtVRw89XeAj44Zc+dM9ebOgCzbqPACcGmC0AQcDOAkTM0wlFWUfagBOMIQtW1wKLIR7DH1xSSo4hS9vdWoEAGZ0-1yg3NCCx2i+YxL3RKTK8jTcpBZ2Tij+IVEivEqENEzMGZy4QsN22Pdyz2SZ-Pm0WqoZ+t3G3ebdiIO0Qcv+3YyAhcXwBZ3n3H27o4hShMSAgHduDxprR6GRZpEisYQQgLndBqwOMteIIplQeBD0boWlEjCZAU5JJUMTtvusNskMR9wBijjS0Cd6Wd6XD6ddMBjbvT7liEE8MXkAgLqQKvuACYgiby6AxiDM5si8Z1zL9VMTcKyBezkc5xm4VVZrFQJc4OpgABZA432Qkmc02xBUSAOgC0eMq1VBsqICyGSNaYzWKu6imSnrm4E9i0Vq2N3F1aMwntJpnJ5TDewCnrpnsZnuZntZnvZkbQXKjEajTyjryjHzJBsNrIl-GhVCjMvo8shKzNqeD3QzsKzuG1rQkev78Q2sg9uF8YJ9ukRnB+IYB8dWlV8aB4i4FDh+M+SO+q++xS3HxX18XX28xmB30avfZbW6oO733oxCqnZQp950jujI7syO6sjuJY7lyT4Rk+TxPq8T5imug5xvAgb3vgi7hj2cDVC46GSkIWGEN6UaHmmFQfl69AUSuyI8EqmBiPAbqosqt6DlhEQMQGHEsdw7FtpgwgRsIz64rGmAmlKom7ouO7iXsikPhAsmJuAwgLt6SmUSqx5ETQlQSVgqm-qhfxEc4mkSV+9B6VQEk6Q5aniputm4GRrlaHxUQICk0ngKxcDsSRTm0AEEmshJCLDMiJghRO+IeSZCm6ReWkqRlz4aWlLkME++nThSRnvvJGSqc+lmqNZ5VZXkVUOLJIkNQVxBFS0LWedhOV+iM3ApYSrXCPZhW7s1m4jdlrkpt1+WqSmR6lTJ3A0PVpmLcVCjrnVPVjR1E1dalEUIO1RCflFXlbX5g11dNB0XZmx3DZ5Z4ZfW7mvQtH3bR4K1fXA63TZVv0tDVSR7WljVgxV52npNtrQ95421Ld8BDZKD2qWK80Re9rm41Nnnw2gKFUZsZUg2ZGXkwOVmrUjp2PTuRPfadpNs1jPUo4d-jo3AmM2WlLMMldBPjSc6knfJpNS3+-3pkRAjQzTrnyxDoZQ8zqny3lHO6ywzBAA
13:27:47: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:27:47: [INFO] Matrix size: 5x19
13:27:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:48: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:27:48: [INFO] Add COL0 net
13:27:48: [INFO] Add COL1 net
13:27:48: [INFO] Add COL10 net
13:27:48: [INFO] Add COL11 net
13:27:48: [INFO] Add COL12 net
13:27:48: [INFO] Add COL13 net
13:27:48: [INFO] Add COL14 net
13:27:48: [INFO] Add COL15 net
13:27:48: [INFO] Add COL16 net
13:27:48: [INFO] Add COL17 net
13:27:48: [INFO] Add COL18 net
13:27:48: [INFO] Add COL19 net
13:27:48: [INFO] Add COL2 net
13:27:48: [INFO] Add COL3 net
13:27:48: [INFO] Add COL4 net
13:27:48: [INFO] Add COL5 net
13:27:48: [INFO] Add COL6 net
13:27:48: [INFO] Add COL7 net
13:27:48: [INFO] Add COL8 net
13:27:48: [INFO] Add COL9 net
13:27:48: [INFO] Add Net-(D1-A) net
13:27:48: [INFO] Add Net-(D10-A) net
13:27:48: [INFO] Add Net-(D100-A) net
13:27:48: [INFO] Add Net-(D11-A) net
13:27:48: [INFO] Add Net-(D12-A) net
13:27:48: [INFO] Add Net-(D13-A) net
13:27:48: [INFO] Add Net-(D14-A) net
13:27:48: [INFO] Add Net-(D15-A) net
13:27:48: [INFO] Add Net-(D16-A) net
13:27:48: [INFO] Add Net-(D17-A) net
13:27:48: [INFO] Add Net-(D18-A) net
13:27:48: [INFO] Add Net-(D19-A) net
13:27:48: [INFO] Add Net-(D2-A) net
13:27:48: [INFO] Add Net-(D20-A) net
13:27:48: [INFO] Add Net-(D21-A) net
13:27:48: [INFO] Add Net-(D22-A) net
13:27:48: [INFO] Add Net-(D23-A) net
13:27:48: [INFO] Add Net-(D24-A) net
13:27:48: [INFO] Add Net-(D25-A) net
13:27:48: [INFO] Add Net-(D26-A) net
13:27:48: [INFO] Add Net-(D27-A) net
13:27:48: [INFO] Add Net-(D28-A) net
13:27:48: [INFO] Add Net-(D29-A) net
13:27:48: [INFO] Add Net-(D3-A) net
13:27:48: [INFO] Add Net-(D30-A) net
13:27:48: [INFO] Add Net-(D31-A) net
13:27:48: [INFO] Add Net-(D32-A) net
13:27:48: [INFO] Add Net-(D33-A) net
13:27:48: [INFO] Add Net-(D34-A) net
13:27:48: [INFO] Add Net-(D35-A) net
13:27:48: [INFO] Add Net-(D36-A) net
