=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14A2VdAVm3AF0UAoMKWOAFjXAE9GBaDAOgA5irLE1xx8jJiXDkR1OuPgAmVh3jceATkKShKRaIVw+U8vrn0CcculVx1fLVKykDDJSZQvzhgIwquvFqKpE4oPq6WPhge4d7sATwIfADsIboYEYw+ih4ZcZYI-mqByKx+OHhucILohBT5EkV2vAJSfiKVljq1KLK0FozKNgla3eB++p2Mxqx1Zv2G1vHF-I5lnpnusxsN8H7DK0Fp6H7hU3vR27ELy82JKUsAxozgAMTJH5-gbSgZ53DZVjPeBvR5g8HfbZ5G4FJrqDSldDKCpiKo1cDJeowxoHO4CVgAO0YABcAE4AVwAplJlB1UV1CSSKdTWJi+vIqkNbvDtDS9JsjFJMfMOZYlrZ7GskRt-jlWTtsXs4YFCME+Wd6VlLuhMdcORLeElUkCXq8AIYWy2Q6V-TV7LnA9CvcEQoW-KiKxDKzSI8CFFGGdF8LGinHclrowp0wxjYPsgZKb2jKSFSZ2wWsYMihNWb0OSMy9Ny9DBrye-bhzSq45+sICqJSYN6+gG+7G9COt6Wq0p93-QEd02fL6N927L24+G+lgBtEmkHOl3PKQaEM5rmtviKFiDhfdi3W8AsNOGYO7p1L5esVfZ3x50h8J6m-dmw8sDW+LDn0FLw+r5sQKSjAIF+4Ckgy6CkrYSyWLw4oJO24Cdua+6iOAAAWWQ8DWLDRkhQ7DskaGYXs2FSCwZYckBaggaw4FaqwlicIo2HeohJEAmR16FhAyEvsRWE1qusiUEAA
13:30:05: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:30:05: [INFO] Matrix size: 9x5
13:30:06: [INFO] Add COL0 net
13:30:06: [INFO] Add COL1 net
13:30:06: [INFO] Add COL2 net
13:30:06: [INFO] Add COL3 net
13:30:06: [INFO] Add COL4 net
13:30:06: [INFO] Add COL5 net
13:30:06: [INFO] Add Net-(D1-A) net
13:30:06: [INFO] Add Net-(D10-A) net
13:30:06: [INFO] Add Net-(D11-A) net
13:30:06: [INFO] Add Net-(D12-A) net
13:30:06: [INFO] Add Net-(D13-A) net
13:30:06: [INFO] Add Net-(D14-A) net
13:30:06: [INFO] Add Net-(D15-A) net
13:30:06: [INFO] Add Net-(D16-A) net
13:30:06: [INFO] Add Net-(D17-A) net
13:30:06: [INFO] Add Net-(D18-A) net
13:30:06: [INFO] Add Net-(D19-A) net
13:30:06: [INFO] Add Net-(D2-A) net
13:30:06: [INFO] Add Net-(D20-A) net
13:30:06: [INFO] Add Net-(D21-A) net
13:30:06: [INFO] Add Net-(D22-A) net
13:30:06: [INFO] Add Net-(D23-A) net
13:30:06: [INFO] Add Net-(D24-A) net
13:30:06: [INFO] Add Net-(D25-A) net
13:30:06: [INFO] Add Net-(D26-A) net
13:30:06: [INFO] Add Net-(D27-A) net
13:30:06: [INFO] Add Net-(D28-A) net
13:30:06: [INFO] Add Net-(D29-A) net
13:30:06: [INFO] Add Net-(D3-A) net
13:30:06: [INFO] Add Net-(D30-A) net
13:30:06: [INFO] Add Net-(D31-A) net
13:30:06: [INFO] Add Net-(D32-A) net
13:30:06: [INFO] Add Net-(D33-A) net
