=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ArDlOUpE85nfgExF5YDMX4+ACz981LqXJVq2bgDYRWZOPBl4ARhozwsgvx1rlqipro7Op3nqzCLY4iskmEOpfaNV20iwA4rATis1QgBdLAAoMHAAT0cvBDVdOgSDJKxzeMtUmwy7DPlU1zgJdSdwZESEcpTKtP5yvjpy7LKsXIhoeCQAQx7e-gB3cnYtcuQAHQA7Scn8QjdHTzoOhERmFhGsX0asAO2gw3INfARl7t6e1hrZaamJ-GqW8duZrANQiIhBkrjwdgr2hirNbQLR-B5-dK-TIIP7NP65KH5IoOb5abwVcDoh7oyHohoIdHNdEI9FI4rGRYIL5wDSU8D9TjfOgkRlwAC0Hh+6MK5M5aM2-HRuwJrxC4Uip0Q5wudGpGmQPx4-3onSBa0u4CVDyVkKV+M11n4SoRSrJKJppT8GKtDytkKt+qtzStbRVKzQ6FlQ0oni0VqU7wlgOlXQG3t9dEEyslwJBkde-CjkKj+qjzSjrqMGh+QQxuYeuchuf1ueauddkpDYfg7EoCq0ueuzwmCTmyKzPtoJ0BHtQGtzwvJteObrO52rFvrSXwTZuyX4uaec4Tgc+h1KtDb4Fo1TXqLotHSANVsYntanCFo2WPKyrWlomfXXdHapYXvgPE7DYS7Bukz+bY3mOfTvhaEbxAk170uu4HgGoCSunKX5JAkZpIbB8GKAc8CcksPa9v2CRbBBOwLskgHmkceGqneKGvH+ExgsoMbAmeyEkb+zZMcEwRAA
13:31:34: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:34: [INFO] Matrix size: 11x10
13:31:34: [WARNING] Requested width 3.25u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:31:34: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:34: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:34: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:34: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:34: [WARNING] Unexpected stabilizer width 3.25u, no footprint will be set
13:31:34: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:35: [INFO] Add COL0 net
13:31:35: [INFO] Add COL1 net
13:31:35: [INFO] Add COL10 net
13:31:35: [INFO] Add COL2 net
13:31:35: [INFO] Add COL3 net
13:31:35: [INFO] Add COL4 net
13:31:35: [INFO] Add COL5 net
13:31:35: [INFO] Add COL6 net
13:31:35: [INFO] Add COL7 net
13:31:35: [INFO] Add COL8 net
13:31:35: [INFO] Add COL9 net
13:31:35: [INFO] Add Net-(D1-A) net
13:31:35: [INFO] Add Net-(D10-A) net
13:31:35: [INFO] Add Net-(D11-A) net
13:31:35: [INFO] Add Net-(D12-A) net
13:31:35: [INFO] Add Net-(D13-A) net
13:31:35: [INFO] Add Net-(D14-A) net
13:31:35: [INFO] Add Net-(D15-A) net
13:31:35: [INFO] Add Net-(D16-A) net
13:31:35: [INFO] Add Net-(D17-A) net
13:31:35: [INFO] Add Net-(D18-A) net
13:31:35: [INFO] Add Net-(D19-A) net
13:31:35: [INFO] Add Net-(D2-A) net
13:31:35: [INFO] Add Net-(D20-A) net
13:31:35: [INFO] Add Net-(D21-A) net
13:31:35: [INFO] Add Net-(D22-A) net
13:31:35: [INFO] Add Net-(D23-A) net
13:31:35: [INFO] Add Net-(D24-A) net
13:31:35: [INFO] Add Net-(D25-A) net
13:31:35: [INFO] Add Net-(D26-A) net
13:31:35: [INFO] Add Net-(D27-A) net
13:31:35: [INFO] Add Net-(D28-A) net
13:31:35: [INFO] Add Net-(D29-A) net
13:31:35: [INFO] Add Net-(D3-A) net
13:31:35: [INFO] Add Net-(D30-A) net
13:31:35: [INFO] Add Net-(D31-A) net
13:31:35: [INFO] Add Net-(D32-A) net
