=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:41: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOAOgFZV0A2bcAXRQCgwpY4AmNcAT1YFoNihAOwVMKNrjj5WARlFYALJOnxKZUdSV4W8GcQwbxdRswJxSnHvH6DC8lKWU64C9Z2qP6TCFbg3hnADGrOAAxEIRkeD2GE7B8GGBScnRnFgyTmYybG5UKBna8ejhkRGpebFepqzU6L7+hEEhockp9pSZrDnk7igdVSqIlnwCPegyNNpmJGPgQjQDzhx1I4IinBMSU7KiE1pSzmqz8-uDegac8xKLZhYr1gKEdhsOnfCux6+L9Y-z6EVhACGwJB5XAE1ihWarSSYImBQOWW6onmCLmKEqJkGtW4qyeuz6b3YuXR-SxzgQwweJI4OG2RBJjRwNy6VL8v1EHC2iJ2nA4p0OjJQAqy+lEjWu5NubIanNe9JcQs85J+ayaCVCINBcshBwBLRhYI4CLOyM4jRN4H1pTK4oxxm8hxlj0a-2hhrlHQVZvQjTJjrMlPu7JJlLpPIZswAnAspazg-51uhKdyzqJKSKaiSY5ndGLODHJQHWHdcdT8ZxKY4FR9RDHlY7VQE3RqtcCwZTdRB9TDgun8kTstmBwX7SzVM7bP2vRHidHCd9Vtl1cU24CwQp7ZxN5bRWxZpvw933a0N8KiWoLuNFHFmmu4Vgj849PvdulJOCsJji-AcjIg2WIbNlaJ5tNuRgKjIAivhsWBFtUeb-qIFhohY3LgBYT7TMQMHjBM4bgpsH4yPCDrMAATl03ScORtzEJQpbkb4CDEEIpZmNBm7BgIDGiJuDYUawCjsbIrFcYBvB6JQfELuSlHWMJNFZBM6BmLwOTAb4AgYHIsGyY68l+Gw1GqXwegIH8EkCAg0l6Z4tBAA
13:31:41: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:41: [INFO] Matrix size: 11x6
13:31:42: [INFO] Add COL0 net
13:31:42: [INFO] Add COL1 net
13:31:42: [INFO] Add COL2 net
13:31:42: [INFO] Add COL3 net
13:31:42: [INFO] Add COL4 net
13:31:42: [INFO] Add COL5 net
13:31:42: [INFO] Add COL6 net
13:31:42: [INFO] Add Net-(D1-A) net
13:31:42: [INFO] Add Net-(D10-A) net
13:31:42: [INFO] Add Net-(D11-A) net
13:31:42: [INFO] Add Net-(D12-A) net
13:31:42: [INFO] Add Net-(D13-A) net
13:31:42: [INFO] Add Net-(D14-A) net
13:31:42: [INFO] Add Net-(D15-A) net
13:31:42: [INFO] Add Net-(D16-A) net
13:31:42: [INFO] Add Net-(D17-A) net
13:31:42: [INFO] Add Net-(D18-A) net
13:31:42: [INFO] Add Net-(D19-A) net
13:31:42: [INFO] Add Net-(D2-A) net
13:31:42: [INFO] Add Net-(D20-A) net
13:31:42: [INFO] Add Net-(D21-A) net
13:31:42: [INFO] Add Net-(D22-A) net
13:31:42: [INFO] Add Net-(D23-A) net
13:31:42: [INFO] Add Net-(D24-A) net
13:31:42: [INFO] Add Net-(D25-A) net
13:31:42: [INFO] Add Net-(D26-A) net
13:31:42: [INFO] Add Net-(D27-A) net
13:31:42: [INFO] Add Net-(D28-A) net
13:31:42: [INFO] Add Net-(D29-A) net
13:31:42: [INFO] Add Net-(D3-A) net
13:31:42: [INFO] Add Net-(D30-A) net
13:31:42: [INFO] Add Net-(D31-A) net
13:31:42: [INFO] Add Net-(D32-A) net
13:31:42: [INFO] Add Net-(D33-A) net
13:31:42: [INFO] Add Net-(D34-A) net
13:31:42: [INFO] Add Net-(D35-A) net
