=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:49: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcCMAZwsJp4BGPVTbc-cAXQwCgwpY4AmVLcATzYFoKADgDs6bu1pFWZJHirgALFLjE2QytwCcKtbPndSpWg2Z64KLtj7xBSUeOwpd4AMZtwAYhE-f4BQBsLiRwilZuHp4AhjGx-twiLu7wXq5p6fHYQiZMLDZwdg7cydjevj6E2ADubKSa2HhJkekZCsYE0iGkYY7gpJIdqhEpZeWV4DWyvaS4BKYsIcjO1gIUCGLFzS3uCriklebk9X2N+-PmnMu8q-ZiCpL7nbVyCsqPQyEavTrvhy+GxjOuXMliu+UKd24zl+w1KsTi3AAFs9ekEYSEekiUQpEjCSqltplwNkgWZrrZhBtsPjovCouNJnA6r1TgdYQSWkTAWyuj02g82TS6fTuIzmW09vRgTJEOFwWsqezPNsdtxcOwebUKNNGhrzjLLtx5bdepINU99K8MOaPupjjobX8DNRjHrpSFQUabg4FM5HTKAsdsm6ycaitTIsKGdjuLrBVtOW1rZqyHzDGb4yMo6KY9R1VKySFA2CbgF2FdkVNAhgECnQuFK0zjola-rFnKboqaSqibhaxamdq2o1W+62IaVhSTfca3W6s6lLOB18FDp+7bLQDZ222J7JwVKb1nOvzMWFNlR6HvV3I3To1XY0uht3CUmTzLusd+k+IEK7zmHzzbcx3gJYvSndZelwRQ5yHQxGhgnd4AnckD2nCQMBggd5ytLCNzgFdtEwud-hdYikLgbVwLQyEGmIwx6Pwz9pkkPC+mggsWAAJzYBBGmwLii3CLj8jCctuC6ORqP4HCoQwFBM1KcoKmrBT9T-eFxkbdhdnkxSvGUkQtPHGcFOkDS4itNSQI4Ui+j0-UeNsPjuEE2pcGwEJ+A81CZKkiMRkMolEjM59b0088HJs7zVz08zIiCrFkLaYxQt-cKEWwbThyiwsBAQfkHLoIA
13:31:49: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:49: [INFO] Matrix size: 13x5
13:31:50: [INFO] Add COL0 net
13:31:50: [INFO] Add COL1 net
13:31:50: [INFO] Add COL2 net
13:31:50: [INFO] Add COL3 net
13:31:50: [INFO] Add COL4 net
13:31:50: [INFO] Add COL5 net
13:31:50: [INFO] Add Net-(D1-A) net
13:31:50: [INFO] Add Net-(D10-A) net
13:31:50: [INFO] Add Net-(D11-A) net
13:31:50: [INFO] Add Net-(D12-A) net
13:31:50: [INFO] Add Net-(D13-A) net
13:31:50: [INFO] Add Net-(D14-A) net
13:31:50: [INFO] Add Net-(D15-A) net
13:31:50: [INFO] Add Net-(D16-A) net
13:31:50: [INFO] Add Net-(D17-A) net
13:31:50: [INFO] Add Net-(D18-A) net
13:31:50: [INFO] Add Net-(D19-A) net
13:31:50: [INFO] Add Net-(D2-A) net
13:31:50: [INFO] Add Net-(D20-A) net
13:31:50: [INFO] Add Net-(D21-A) net
13:31:50: [INFO] Add Net-(D22-A) net
13:31:50: [INFO] Add Net-(D23-A) net
13:31:50: [INFO] Add Net-(D24-A) net
13:31:50: [INFO] Add Net-(D25-A) net
13:31:50: [INFO] Add Net-(D26-A) net
13:31:50: [INFO] Add Net-(D27-A) net
13:31:50: [INFO] Add Net-(D28-A) net
13:31:50: [INFO] Add Net-(D29-A) net
13:31:50: [INFO] Add Net-(D3-A) net
13:31:50: [INFO] Add Net-(D30-A) net
13:31:50: [INFO] Add Net-(D31-A) net
13:31:50: [INFO] Add Net-(D32-A) net
13:31:50: [INFO] Add Net-(D33-A) net
13:31:50: [INFO] Add Net-(D34-A) net
13:31:50: [INFO] Add Net-(D35-A) net
13:31:50: [INFO] Add Net-(D36-A) net
13:31:50: [INFO] Add Net-(D37-A) net
13:31:50: [INFO] Add Net-(D38-A) net
13:31:50: [INFO] Add Net-(D39-A) net
13:31:50: [INFO] Add Net-(D4-A) net
13:31:50: [INFO] Add Net-(D40-A) net
13:31:50: [INFO] Add Net-(D41-A) net
13:31:50: [INFO] Add Net-(D42-A) net
13:31:50: [INFO] Add Net-(D43-A) net
13:31:50: [INFO] Add Net-(D44-A) net
13:31:50: [INFO] Add Net-(D45-A) net
13:31:50: [INFO] Add Net-(D46-A) net
13:31:50: [INFO] Add Net-(D47-A) net
13:31:50: [INFO] Add Net-(D48-A) net
13:31:50: [INFO] Add Net-(D49-A) net
13:31:50: [INFO] Add Net-(D5-A) net
13:31:50: [INFO] Add Net-(D50-A) net
13:31:50: [INFO] Add Net-(D51-A) net
13:31:50: [INFO] Add Net-(D52-A) net
13:31:50: [INFO] Add Net-(D53-A) net
13:31:50: [INFO] Add Net-(D54-A) net
13:31:50: [INFO] Add Net-(D55-A) net
13:31:50: [INFO] Add Net-(D56-A) net
13:31:50: [INFO] Add Net-(D57-A) net
13:31:50: [INFO] Add Net-(D58-A) net
13:31:50: [INFO] Add Net-(D59-A) net
13:31:50: [INFO] Add Net-(D6-A) net
13:31:50: [INFO] Add Net-(D60-A) net
13:31:50: [INFO] Add Net-(D61-A) net
13:31:50: [INFO] Add Net-(D62-A) net
13:31:50: [INFO] Add Net-(D63-A) net
13:31:50: [INFO] Add Net-(D64-A) net
13:31:50: [INFO] Add Net-(D65-A) net
13:31:50: [INFO] Add Net-(D66-A) net
13:31:50: [INFO] Add Net-(D67-A) net
13:31:50: [INFO] Add Net-(D68-A) net
