=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:30: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwMJp5KkF1Md5w8sfeyKAjDTqZqAkeCHiK1BCIa5mrCh3wBDDZv6YhcmWgDMEoUf0AWeVEUs22XF159yOtBf0pjaD-oBslxnACSAS2qlyaWs5UaAQS1AAccWgAnEkCtAC6aABQYFbwAvFRQrGCaIllqWXp4Fm5CvDIofbcjjhRCMIUBl2YndKYPQPgnXqDaGMjhhI9pn2uMwsUnd7jq+A9fvR2nHgRGhIA7rgIxWg+ADoAdtfXnbTbAczNu8QkHTGWYXv72lMV8yq8xqj2synYLTa7WW51uNyu-S+LX2aj+Qku8LuaHEdTyASaFGOBVQUTMvQg3yhf3QD0wZOG6GGZMm6EmZLm4HQHLJbkw6F54DJ63Q6zJWzgFORv0JuCCKCi6AxcOotIacGeKkhbT+PVK4wBGxSSN2KIkAAsTqTsZQ4dceqr8oEbJrXm89eAiU7weALY1CXJibYzQHAhRICGALRKeUUHywzFXMT+MEvfBUqJDG0Joa1HJ4k6oGXEkJROO08AEXrgOPDSvDOOTSuTOMcyscuMCysCuPrSurSWut5HAusUvx5Xkx0aiG7dMUMnuskGslAtVBUcUStK+FJ0GBl3qX5W9K2q453EQT3rmOYeI0U9SY1p7VRZL3hOPvfq50zw8RYeNDYUR3lmcJCA6lIvhQd7DG+wx3pMb6THeHJvhyd4Cm+Ap3usb79jsf5aEWToltB5zJvuv4OFBfKfBQ6AGugq4EVwbrur6iBjieCZkg6Tw-ixPz-gq1qnvSub1I6Ag+MEtgAJ64FGsmvp8F6OgSmAKfASkbpglYEKeNISHeBkJkZm7lIZk6QY4AFwD4wGWWZ1lSsJFnJFZ5Z3h5znlnWoHwuZt6ib5FFwAYhZUa0tljgacbMQE14Hqxbp-DWAXXOJamJSgskUFpcBKSEyVCZEFBvgab5AuAcGZHmaoaR6spARZplwoylhXi1wVtYF2Kdc1ukVk57X9dsNl8MRMlDXe8RWQMA6EQcjk+aNtYhWtxkbX1OL1epkVNcSQ36VZYyXoNN7gCZp0DUdl2VnNzlnYJVJTd1V0jX1z3fKaxFyitN3bF1l0wRlVyshJ+aAbYwNRCdzlzOdgZw591xck+1G2cRBCOY9o2I4Jv2YLDZGrX1BMk8F3H45DDUHZTw29WjSwSodTr3aj4Ms4tmOTcTuA42ReN9byPOlctpNWZ223M9hMtcxYGQZEAA
13:32:30: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:32:30: [INFO] Matrix size: 9x10
13:32:31: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:31: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:31: [INFO] Add COL0 net
13:32:31: [INFO] Add COL1 net
13:32:31: [INFO] Add COL10 net
13:32:31: [INFO] Add COL2 net
13:32:31: [INFO] Add COL3 net
13:32:31: [INFO] Add COL4 net
13:32:31: [INFO] Add COL5 net
13:32:31: [INFO] Add COL6 net
13:32:31: [INFO] Add COL7 net
13:32:31: [INFO] Add COL8 net
13:32:31: [INFO] Add COL9 net
13:32:31: [INFO] Add Net-(D1-A) net
13:32:31: [INFO] Add Net-(D10-A) net
13:32:31: [INFO] Add Net-(D100-A) net
13:32:31: [INFO] Add Net-(D101-A) net
13:32:31: [INFO] Add Net-(D102-A) net
13:32:31: [INFO] Add Net-(D103-A) net
13:32:31: [INFO] Add Net-(D104-A) net
13:32:31: [INFO] Add Net-(D105-A) net
13:32:31: [INFO] Add Net-(D106-A) net
13:32:31: [INFO] Add Net-(D107-A) net
13:32:31: [INFO] Add Net-(D108-A) net
13:32:31: [INFO] Add Net-(D11-A) net
13:32:31: [INFO] Add Net-(D12-A) net
13:32:31: [INFO] Add Net-(D13-A) net
13:32:31: [INFO] Add Net-(D14-A) net
13:32:31: [INFO] Add Net-(D15-A) net
13:32:31: [INFO] Add Net-(D16-A) net
13:32:31: [INFO] Add Net-(D17-A) net
13:32:31: [INFO] Add Net-(D18-A) net
13:32:31: [INFO] Add Net-(D19-A) net
13:32:31: [INFO] Add Net-(D2-A) net
13:32:31: [INFO] Add Net-(D20-A) net
13:32:31: [INFO] Add Net-(D21-A) net
13:32:31: [INFO] Add Net-(D22-A) net
13:32:31: [INFO] Add Net-(D23-A) net
13:32:31: [INFO] Add Net-(D24-A) net
13:32:31: [INFO] Add Net-(D25-A) net
13:32:31: [INFO] Add Net-(D26-A) net
13:32:31: [INFO] Add Net-(D27-A) net
13:32:31: [INFO] Add Net-(D28-A) net
13:32:31: [INFO] Add Net-(D29-A) net
13:32:31: [INFO] Add Net-(D3-A) net
13:32:31: [INFO] Add Net-(D30-A) net
13:32:31: [INFO] Add Net-(D31-A) net
13:32:31: [INFO] Add Net-(D32-A) net
13:32:31: [INFO] Add Net-(D33-A) net
13:32:31: [INFO] Add Net-(D34-A) net
13:32:31: [INFO] Add Net-(D35-A) net
