=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwAYC+AaO4loIwGYAdAO2OOx3Ay1wBZSSjzwBdNAKDCljgHYqBPbkgB0AVioBjbuADEPeQvDpM2JJTgQp8WRN16lVJobQJ11PGew1LaUTYBsNnjYAcNgJw2ca4zgq-TDE1pGQBDcIizAHduBGVqfHoyNB8VXDtWDghoeD5MGPgcMXicFPVg7Rk9fRKTM1KLKlLrJtt6tEdW51a3Vs9W73a-IcDMUvxy8C1MMIjw6O4i0VqcOgZiUtTwcbsgrkKxSRCFRSoCuCKEcUwAC1iz0wPr8BvHi6pIN4BaESv4hFoSSI4xY7E4OV4R0qc3mZ0Wwh4yyoANSFRm1V0BkwANG4ABjWxaBahN2hM6hO6hN6hP6hMGyNw-jpozRshO8gW8AQwj+DNWQM2k2mshhoSxePSkwhImewqqGPF4zW9BBmXB3BoUJmos5Fx5SMweBSQIBTNZ8uq4qNOBNuClQgRspCOrhXP18SNSFtqKmIQxUg9dSoRoJ4CNxLDbWDHTMRspkepkdpkfphsZQudMN1RURgYm0dWsclauy3Dy4HOlwN4E1XvWRE9Gcq-uz7qompt9cbezlLvy8N5mE1hC7ZR7foVrrg9jbQ46QO7Gl90KzU6W8Q7dfoi4gleK7dwCAXY7n+dPEY7GTBpdyAgdVzX+7nW4Y1sme+rHePZuX6Mn-dyDd51HH9e1XAC9U-XAX2IN89g-ICcCPEDQSyfZIUwQR4F+Z490HGtjVHFlfx0f8KwHKDO23IMlzAuZW3w4dj2IuUWynGdGOA6iWMzejH047xmPfCjEKo186hLdDyywuAcMfKCYIbNACXNFtEOPFSSNmPiIPXA8R2ozTWLI84eCA+wNKbbVwPIp5RMsySIWk+9cPhBTj2JG89WwXSnwI5DqM8rS2IgsyDws0cgroyJ5PsyLUPVXJDkwlytVIy0gMUo1SXNPtbMg9TRxy4KTLLczj2K6LYV8yisqjU8xNgtpmGYIA
13:33:40: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:33:40: [INFO] Matrix size: 4x15
13:33:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:41: [INFO] Add COL0 net
13:33:41: [INFO] Add COL1 net
13:33:41: [INFO] Add COL10 net
13:33:41: [INFO] Add COL11 net
13:33:41: [INFO] Add COL12 net
13:33:41: [INFO] Add COL13 net
13:33:41: [INFO] Add COL14 net
13:33:41: [INFO] Add COL15 net
13:33:41: [INFO] Add COL2 net
13:33:41: [INFO] Add COL3 net
13:33:41: [INFO] Add COL4 net
13:33:41: [INFO] Add COL5 net
13:33:41: [INFO] Add COL6 net
13:33:41: [INFO] Add COL7 net
13:33:41: [INFO] Add COL8 net
13:33:41: [INFO] Add COL9 net
13:33:41: [INFO] Add Net-(D1-A) net
13:33:41: [INFO] Add Net-(D10-A) net
13:33:41: [INFO] Add Net-(D11-A) net
13:33:41: [INFO] Add Net-(D12-A) net
13:33:41: [INFO] Add Net-(D13-A) net
13:33:41: [INFO] Add Net-(D14-A) net
13:33:41: [INFO] Add Net-(D15-A) net
13:33:41: [INFO] Add Net-(D16-A) net
13:33:41: [INFO] Add Net-(D17-A) net
13:33:41: [INFO] Add Net-(D18-A) net
13:33:41: [INFO] Add Net-(D19-A) net
13:33:41: [INFO] Add Net-(D2-A) net
13:33:41: [INFO] Add Net-(D20-A) net
13:33:41: [INFO] Add Net-(D21-A) net
13:33:41: [INFO] Add Net-(D22-A) net
13:33:41: [INFO] Add Net-(D23-A) net
13:33:41: [INFO] Add Net-(D24-A) net
13:33:41: [INFO] Add Net-(D25-A) net
13:33:41: [INFO] Add Net-(D26-A) net
13:33:41: [INFO] Add Net-(D27-A) net
13:33:41: [INFO] Add Net-(D28-A) net
13:33:41: [INFO] Add Net-(D29-A) net
13:33:41: [INFO] Add Net-(D3-A) net
13:33:41: [INFO] Add Net-(D30-A) net
13:33:41: [INFO] Add Net-(D31-A) net
13:33:41: [INFO] Add Net-(D32-A) net
13:33:41: [INFO] Add Net-(D33-A) net
13:33:41: [INFO] Add Net-(D34-A) net
13:33:41: [INFO] Add Net-(D35-A) net
13:33:41: [INFO] Add Net-(D36-A) net
13:33:41: [INFO] Add Net-(D37-A) net
13:33:41: [INFO] Add Net-(D38-A) net
13:33:41: [INFO] Add Net-(D39-A) net
13:33:41: [INFO] Add Net-(D4-A) net
13:33:41: [INFO] Add Net-(D40-A) net
13:33:41: [INFO] Add Net-(D41-A) net
13:33:41: [INFO] Add Net-(D42-A) net
13:33:41: [INFO] Add Net-(D43-A) net
13:33:41: [INFO] Add Net-(D44-A) net
13:33:41: [INFO] Add Net-(D45-A) net
13:33:41: [INFO] Add Net-(D46-A) net
13:33:41: [INFO] Add Net-(D47-A) net
13:33:41: [INFO] Add Net-(D48-A) net
13:33:41: [INFO] Add Net-(D49-A) net
13:33:41: [INFO] Add Net-(D5-A) net
13:33:41: [INFO] Add Net-(D50-A) net
13:33:41: [INFO] Add Net-(D51-A) net
13:33:41: [INFO] Add Net-(D52-A) net
13:33:41: [INFO] Add Net-(D53-A) net
13:33:41: [INFO] Add Net-(D54-A) net
13:33:41: [INFO] Add Net-(D55-A) net
13:33:41: [INFO] Add Net-(D56-A) net
13:33:41: [INFO] Add Net-(D57-A) net
13:33:41: [INFO] Add Net-(D58-A) net
13:33:41: [INFO] Add Net-(D59-A) net
13:33:41: [INFO] Add Net-(D6-A) net
13:33:41: [INFO] Add Net-(D60-A) net
13:33:41: [INFO] Add Net-(D61-A) net
