=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0BWANHcBPWcAGFAdi3AGN9wBiAQ3ofAF8yCME0AdAOx57YLgsEAM4BbKgCcA9gBcA+gFNyCBM1bsuvbWwR9t+nosEBdDACgwUfACYSmbHngBaIgE4yleDXK+-Q7HEqdWw2GwCIaHgADhQAFhZQ9jUzS0j8ImIHXHxXFGjsr2xqYlKykPABCIoqaj9-RMr2aqjEIgSNBHDhGu86BnoA8AB3W0bdAGZwVKtW5HsyJzg8mzRGhE1pi1mM9EXczOzR+AR0dYxBHqKfespztR7WtxQ3e+7sDYQpq9qBwbJjogzmRPnEtmlrCdSI4DihVo0bJsZul4ERVvsXIcAfhTlkERdqtc6rcKoiHnAUXBnmsyGTyeAye8IES-rQhoC7PDaewpsiRrY4TTsBMCT8+rc7mQReTKQgsdgWX92Tj7I1pUzIcs7FlPLUJRVpSltrKkBjlvLesUyuU1ewwXylitCr8ldiTsDsHECXy5tlHRaidbShUvV8hqGwWRQ2hwVZJDi7NlJEs0dlWl6YZiUBsFXqSeMMN8kpGkjGNEhY5SJh7wBt3rXC0MNiWGzGffhq3jufXEUWGRgW4i28bNXFBbb6yK+yKWyLhxD07q+qzle6heAvRqifq3XBOeuvUXmS6BiGMBW+fGXF09thWsRbzlr+hneL8xpiEM2NEvxg3L+5UrTViHOT8QQwH9wP-cDAJgo0F3wB8uWwREwJQiChkRaD0MA9t4AfdcRTQ8ARUg4U-yGaVTBHe9BV3bUDwwNDj2XV1sEBU5GNwkwgA
13:34:12: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:34:12: [INFO] Matrix size: 4x15
13:34:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:13: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:34:13: [INFO] Add COL0 net
13:34:13: [INFO] Add COL1 net
13:34:13: [INFO] Add COL10 net
13:34:13: [INFO] Add COL11 net
13:34:13: [INFO] Add COL12 net
13:34:13: [INFO] Add COL13 net
13:34:13: [INFO] Add COL14 net
13:34:13: [INFO] Add COL15 net
13:34:13: [INFO] Add COL2 net
13:34:13: [INFO] Add COL3 net
13:34:13: [INFO] Add COL4 net
13:34:13: [INFO] Add COL5 net
13:34:13: [INFO] Add COL6 net
13:34:13: [INFO] Add COL7 net
13:34:13: [INFO] Add COL8 net
13:34:13: [INFO] Add COL9 net
13:34:13: [INFO] Add Net-(D1-A) net
13:34:13: [INFO] Add Net-(D10-A) net
13:34:13: [INFO] Add Net-(D11-A) net
13:34:13: [INFO] Add Net-(D12-A) net
13:34:13: [INFO] Add Net-(D13-A) net
13:34:13: [INFO] Add Net-(D14-A) net
13:34:13: [INFO] Add Net-(D15-A) net
13:34:13: [INFO] Add Net-(D16-A) net
13:34:13: [INFO] Add Net-(D17-A) net
13:34:13: [INFO] Add Net-(D18-A) net
13:34:13: [INFO] Add Net-(D19-A) net
13:34:13: [INFO] Add Net-(D2-A) net
13:34:13: [INFO] Add Net-(D20-A) net
13:34:13: [INFO] Add Net-(D21-A) net
13:34:13: [INFO] Add Net-(D22-A) net
13:34:13: [INFO] Add Net-(D23-A) net
13:34:13: [INFO] Add Net-(D24-A) net
13:34:13: [INFO] Add Net-(D25-A) net
13:34:13: [INFO] Add Net-(D26-A) net
13:34:13: [INFO] Add Net-(D27-A) net
13:34:13: [INFO] Add Net-(D28-A) net
13:34:13: [INFO] Add Net-(D29-A) net
13:34:13: [INFO] Add Net-(D3-A) net
13:34:13: [INFO] Add Net-(D30-A) net
13:34:13: [INFO] Add Net-(D31-A) net
13:34:13: [INFO] Add Net-(D32-A) net
13:34:13: [INFO] Add Net-(D33-A) net
13:34:13: [INFO] Add Net-(D34-A) net
13:34:13: [INFO] Add Net-(D35-A) net
