=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:14: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4Ces4AYkAmDcAY13AGIBDWu8AXxLzQXAwmngWRScxYJC4ALpoAUGCi4CxTDngBaAgE50mcvCoB2XXsbM0ednE64EAFiQIAbOrIUadWgYGsAzCbPwC7930NLUQkpLkQbJDV+cHdWC2DJb3wkbXsFOGUU+01MSlJ8gtdwYmMSYjYOaW5VAMxy4TKPLwctJ2ci8vixRKrEbSISdMzCWvALOITQmVRB3EzUkgB3c1Ro2NLTFtyCwrXWZrCEAgtR2J4TGNYGzZyqZxclldOm7qnufpPZpVlR9CDXpI-L4ZAgLTDLbhZaLjDYQW55HbkaH7SphFSRUbjI4XLEVG6OPT6R7wQhETFXSZwxz3agXCFwUkjaLoWFbKiIpEkP4HcyyZmsVnwml0lapfnnAG9WxIT7yOag7IEwnaIp-TySoZAjTU+4iyGjGxGSlSlAytLyrIkeHKlXRQ1CC72zwke1dEIQABOhxYmDCin65p8A21rWF0RY1yS6NGgjYkr9-RGwIICEVrQ5HTQkd6AA4MdFynH3eAPeY5CWwnn7B70u4Zr65qb-MDFIy07kw4ZnW54qjpkzDCgLiwbMa-VYc4HkkmQ9tEZnu8U0L26mgh41R-HG0h-HtrpdF7EV5ch1ulKaEMj9+NF+Nj+NT8Xx0gbPz9+hF+hj+hHz1n4bZzuXViUQVYXSzZp4QzEgAAcKAAZQABQAQQAYQAUT1Bk7WXSCdXaHDfykUslCEEga1wOsZ16OscxbUk8BjAUeSUKwBzcFVDBzFjpyYlQx2mWI5SDaioPnAs0E41duMafjGmxM8QSIPZRxIWIpMuGTMFiOTtOYxSCEY5FVMwcYNPGLSxjQfiDJ3fkTPAdANPQSz0Bsp8LXLelSTFcCpKpUNgPBJ4cJskQgA
13:36:14: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:14: [INFO] Matrix size: 6x14
13:36:15: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:15: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:15: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:15: [INFO] Add COL0 net
13:36:15: [INFO] Add COL1 net
13:36:15: [INFO] Add COL10 net
13:36:15: [INFO] Add COL11 net
13:36:15: [INFO] Add COL12 net
13:36:15: [INFO] Add COL13 net
13:36:15: [INFO] Add COL14 net
13:36:15: [INFO] Add COL2 net
13:36:15: [INFO] Add COL3 net
13:36:15: [INFO] Add COL4 net
13:36:15: [INFO] Add COL5 net
13:36:15: [INFO] Add COL6 net
13:36:15: [INFO] Add COL7 net
13:36:15: [INFO] Add COL8 net
13:36:15: [INFO] Add COL9 net
13:36:15: [INFO] Add Net-(D1-A) net
13:36:15: [INFO] Add Net-(D10-A) net
13:36:15: [INFO] Add Net-(D11-A) net
13:36:15: [INFO] Add Net-(D12-A) net
13:36:15: [INFO] Add Net-(D13-A) net
13:36:15: [INFO] Add Net-(D14-A) net
13:36:15: [INFO] Add Net-(D15-A) net
13:36:15: [INFO] Add Net-(D16-A) net
13:36:15: [INFO] Add Net-(D17-A) net
13:36:15: [INFO] Add Net-(D18-A) net
13:36:15: [INFO] Add Net-(D19-A) net
13:36:15: [INFO] Add Net-(D2-A) net
13:36:15: [INFO] Add Net-(D20-A) net
13:36:15: [INFO] Add Net-(D21-A) net
13:36:15: [INFO] Add Net-(D22-A) net
13:36:15: [INFO] Add Net-(D23-A) net
13:36:15: [INFO] Add Net-(D24-A) net
13:36:15: [INFO] Add Net-(D25-A) net
13:36:15: [INFO] Add Net-(D26-A) net
13:36:15: [INFO] Add Net-(D27-A) net
13:36:15: [INFO] Add Net-(D28-A) net
13:36:15: [INFO] Add Net-(D29-A) net
13:36:15: [INFO] Add Net-(D3-A) net
13:36:15: [INFO] Add Net-(D30-A) net
13:36:15: [INFO] Add Net-(D31-A) net
13:36:15: [INFO] Add Net-(D32-A) net
13:36:15: [INFO] Add Net-(D33-A) net
13:36:15: [INFO] Add Net-(D34-A) net
13:36:15: [INFO] Add Net-(D35-A) net
13:36:15: [INFO] Add Net-(D36-A) net
13:36:15: [INFO] Add Net-(D37-A) net
13:36:15: [INFO] Add Net-(D38-A) net
13:36:15: [INFO] Add Net-(D39-A) net
13:36:15: [INFO] Add Net-(D4-A) net
13:36:15: [INFO] Add Net-(D40-A) net
13:36:15: [INFO] Add Net-(D41-A) net
13:36:15: [INFO] Add Net-(D42-A) net
13:36:15: [INFO] Add Net-(D43-A) net
13:36:15: [INFO] Add Net-(D44-A) net
13:36:15: [INFO] Add Net-(D45-A) net
13:36:15: [INFO] Add Net-(D46-A) net
13:36:15: [INFO] Add Net-(D47-A) net
13:36:15: [INFO] Add Net-(D48-A) net
13:36:15: [INFO] Add Net-(D49-A) net
13:36:15: [INFO] Add Net-(D5-A) net
13:36:15: [INFO] Add Net-(D50-A) net
13:36:15: [INFO] Add Net-(D51-A) net
13:36:15: [INFO] Add Net-(D52-A) net
13:36:15: [INFO] Add Net-(D53-A) net
13:36:15: [INFO] Add Net-(D54-A) net
13:36:15: [INFO] Add Net-(D55-A) net
13:36:15: [INFO] Add Net-(D56-A) net
13:36:15: [INFO] Add Net-(D57-A) net
13:36:15: [INFO] Add Net-(D58-A) net
13:36:15: [INFO] Add Net-(D59-A) net
13:36:15: [INFO] Add Net-(D6-A) net
13:36:15: [INFO] Add Net-(D60-A) net
13:36:15: [INFO] Add Net-(D61-A) net
13:36:15: [INFO] Add Net-(D62-A) net
13:36:15: [INFO] Add Net-(D63-A) net
13:36:15: [INFO] Add Net-(D64-A) net
13:36:15: [INFO] Add Net-(D65-A) net
13:36:15: [INFO] Add Net-(D66-A) net
