=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:03: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4DOBbWmAnAewBcB9AUwGMEFwNwB3fZAJnUwAsWl2BfBgE40CADoA7CVMkzpEigAZwAXTQAoMFHyskAdg7gAnvgW8DVfOADEu23fqZcl8AMwK0SjBAvxrVfwEuDAgeDuDudMEiYe6sYSFxDO4AzPFoqUloACxpOZkoaQWZAGwO3pZWAIbVNWHM8Kyu4Wi6cuLunpghumVa8Kb6DD6YVgGBTSHFbRG9w9Y1tU3urbLt0aoaENANegb1iKhNrKFe4HOjYxZNySeYx5GYNw-gx4mPaG8v6WE3GXfZPwBDGORXeoK+pVO5wW1TqPBQ1zQU1WIU64BuPVO2wO5gqdnsDH2bAM3AahLi8GQJIpiAYkBpAFpTPwGFkWm0QnQNppsTpBphoTC4ZTdk02Z1yr4LmMgph0Gi2c90M82Z90J82X9wOgtWy8nKgZg2eD0KDJSN8bZhXAdCyDcjpKjZhUYZVZdqWr1saZcVLLldWUiOet1JpBQtrcSmsUPG17s6-Zd3bpY6t41iTKghi6hYTtGZo6npMcJWcKv73THninnjHPinPjGtSmtTH9eAU+2Y+CU2ay1LXZHRQwY5DMDHMZgUz1uVt8-ymDw7eAABxFmQ3UtEgtCdcSTe9bfLtdiVYHqHlpN5+DFHeYNfJNrnuDm+a5zBHhEMNcoJ+3CCfk0wi-me-59HAPpAUiYRrpO4DCDOoZzpSK67AwbrwCmH5LiSmYLgAJvgJAEAArhQTQqEh4F8gYxjwEyWaYBhcBsthIpfvee7iE8YTCAof4PAB8JNCeAkJiMFbXnAugiekYkXgO76LuxUEgdIPGztRaGYHREFmFJUbflxNxvEJIrLnxf6mcpBzHiIVniX4V5sTad6rh8DmnIBRmPqB1n7DRslZJ5L79iMg4GW5P4hWZtkcfBaBqRuHyUZsWkLrpzJ7MJRn8aBWqWflh45Zxp7qd8CkSc5NnJLJrB-n8sW1UZwVFZVb4RpFdlJfuFWhd5mDAQ1KjKEAA
13:37:03: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:37:03: [INFO] Matrix size: 9x7
13:37:04: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:04: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:04: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:04: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:04: [INFO] Add COL0 net
13:37:04: [INFO] Add COL1 net
13:37:04: [INFO] Add COL2 net
13:37:04: [INFO] Add COL3 net
13:37:04: [INFO] Add COL4 net
13:37:04: [INFO] Add COL5 net
13:37:04: [INFO] Add COL6 net
13:37:04: [INFO] Add COL7 net
13:37:04: [INFO] Add Net-(D1-A) net
13:37:04: [INFO] Add Net-(D10-A) net
13:37:04: [INFO] Add Net-(D11-A) net
13:37:04: [INFO] Add Net-(D12-A) net
13:37:04: [INFO] Add Net-(D13-A) net
13:37:04: [INFO] Add Net-(D14-A) net
13:37:04: [INFO] Add Net-(D15-A) net
13:37:04: [INFO] Add Net-(D16-A) net
13:37:04: [INFO] Add Net-(D17-A) net
13:37:04: [INFO] Add Net-(D18-A) net
13:37:04: [INFO] Add Net-(D19-A) net
13:37:04: [INFO] Add Net-(D2-A) net
13:37:04: [INFO] Add Net-(D20-A) net
13:37:04: [INFO] Add Net-(D21-A) net
13:37:04: [INFO] Add Net-(D22-A) net
13:37:04: [INFO] Add Net-(D23-A) net
13:37:04: [INFO] Add Net-(D24-A) net
13:37:04: [INFO] Add Net-(D25-A) net
13:37:04: [INFO] Add Net-(D26-A) net
13:37:04: [INFO] Add Net-(D27-A) net
13:37:04: [INFO] Add Net-(D28-A) net
13:37:04: [INFO] Add Net-(D29-A) net
13:37:04: [INFO] Add Net-(D3-A) net
13:37:04: [INFO] Add Net-(D30-A) net
13:37:04: [INFO] Add Net-(D31-A) net
13:37:04: [INFO] Add Net-(D32-A) net
13:37:04: [INFO] Add Net-(D33-A) net
13:37:04: [INFO] Add Net-(D34-A) net
13:37:04: [INFO] Add Net-(D35-A) net
13:37:04: [INFO] Add Net-(D36-A) net
13:37:04: [INFO] Add Net-(D37-A) net
13:37:04: [INFO] Add Net-(D38-A) net
13:37:04: [INFO] Add Net-(D39-A) net
13:37:04: [INFO] Add Net-(D4-A) net
13:37:04: [INFO] Add Net-(D40-A) net
13:37:04: [INFO] Add Net-(D41-A) net
13:37:04: [INFO] Add Net-(D42-A) net
13:37:04: [INFO] Add Net-(D43-A) net
13:37:04: [INFO] Add Net-(D44-A) net
13:37:04: [INFO] Add Net-(D45-A) net
13:37:04: [INFO] Add Net-(D46-A) net
13:37:04: [INFO] Add Net-(D47-A) net
13:37:04: [INFO] Add Net-(D48-A) net
13:37:04: [INFO] Add Net-(D49-A) net
13:37:04: [INFO] Add Net-(D5-A) net
13:37:04: [INFO] Add Net-(D50-A) net
13:37:04: [INFO] Add Net-(D51-A) net
13:37:04: [INFO] Add Net-(D52-A) net
13:37:04: [INFO] Add Net-(D53-A) net
13:37:04: [INFO] Add Net-(D54-A) net
13:37:04: [INFO] Add Net-(D55-A) net
13:37:04: [INFO] Add Net-(D56-A) net
13:37:04: [INFO] Add Net-(D57-A) net
13:37:04: [INFO] Add Net-(D58-A) net
13:37:04: [INFO] Add Net-(D59-A) net
13:37:04: [INFO] Add Net-(D6-A) net
13:37:04: [INFO] Add Net-(D60-A) net
13:37:04: [INFO] Add Net-(D61-A) net
13:37:04: [INFO] Add Net-(D62-A) net
13:37:04: [INFO] Add Net-(D63-A) net
13:37:04: [INFO] Add Net-(D64-A) net
13:37:04: [INFO] Add Net-(D65-A) net
13:37:04: [INFO] Add Net-(D66-A) net
13:37:04: [INFO] Add Net-(D67-A) net
13:37:04: [INFO] Add Net-(D68-A) net
13:37:04: [INFO] Add Net-(D69-A) net
13:37:04: [INFO] Add Net-(D7-A) net
13:37:04: [INFO] Add Net-(D70-A) net
13:37:04: [INFO] Add Net-(D71-A) net
13:37:04: [INFO] Add Net-(D72-A) net
13:37:04: [INFO] Add Net-(D73-A) net
13:37:04: [INFO] Add Net-(D74-A) net
13:37:04: [INFO] Add Net-(D8-A) net
13:37:04: [INFO] Add Net-(D9-A) net
13:37:04: [INFO] Add ROW0 net
13:37:04: [INFO] Add ROW1 net
13:37:04: [INFO] Add ROW2 net
13:37:04: [INFO] Add ROW3 net
13:37:04: [INFO] Add ROW4 net
13:37:04: [INFO] Add ROW5 net
13:37:04: [INFO] Add ROW6 net
13:37:04: [INFO] Add ROW7 net
13:37:04: [INFO] Add ROW8 net
13:37:04: [INFO] Add ROW9 net
13:37:04: [INFO] Add SW1 footprint
13:37:04: [INFO] Add D1 footprint
13:37:04: [INFO] Add SW2 footprint
13:37:04: [INFO] Add D2 footprint
13:37:04: [INFO] Add SW3 footprint
13:37:04: [INFO] Add D3 footprint
13:37:04: [INFO] Add SW4 footprint
13:37:04: [INFO] Add D4 footprint
13:37:04: [INFO] Add SW5 footprint
13:37:04: [INFO] Add D5 footprint
13:37:04: [INFO] Add SW6 footprint
13:37:04: [INFO] Add D6 footprint
13:37:04: [INFO] Add SW7 footprint
13:37:04: [INFO] Add D7 footprint
13:37:04: [INFO] Add SW8 footprint
13:37:04: [INFO] Add D8 footprint
13:37:04: [INFO] Add ST8 footprint
13:37:04: [INFO] Add SW8a footprint
13:37:04: [INFO] Add SW9 footprint
13:37:05: [INFO] Add D9 footprint
13:37:05: [INFO] Add SW10 footprint
13:37:05: [INFO] Add D10 footprint
13:37:05: [INFO] Add SW11 footprint
13:37:05: [INFO] Add D11 footprint
13:37:05: [INFO] Add SW12 footprint
13:37:05: [INFO] Add D12 footprint
13:37:05: [INFO] Add SW13 footprint
13:37:05: [INFO] Add D13 footprint
13:37:05: [INFO] Add SW14 footprint
13:37:05: [INFO] Add D14 footprint
13:37:05: [INFO] Add SW15 footprint
13:37:05: [INFO] Add D15 footprint
13:37:05: [INFO] Add SW16 footprint
13:37:05: [INFO] Add D16 footprint
13:37:05: [INFO] Add SW17 footprint
13:37:05: [INFO] Add D17 footprint
13:37:05: [INFO] Add SW18 footprint
13:37:05: [INFO] Add D18 footprint
13:37:05: [INFO] Add SW19 footprint
13:37:05: [INFO] Add D19 footprint
13:37:05: [INFO] Add SW20 footprint
13:37:05: [INFO] Add D20 footprint
13:37:05: [INFO] Add SW21 footprint
13:37:05: [INFO] Add D21 footprint
13:37:05: [INFO] Add SW22 footprint
13:37:05: [INFO] Add D22 footprint
13:37:05: [INFO] Add SW23 footprint
