=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:09: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsAaO4Ces4EYBfDcABjQXAwmnjxNSMzIA5wBdNAKDClwCZUxHPAC09ZgHYUjUmj6U41XHiQkZZACwKl8Zg2JkJ23rVXq0ATnZceNOCkGZhcMUknSDaFMbsA2fUxovtbcOnD06E64ru7EAMa44ADEEqlp4OYkxgnwyXH5BRmeeD7KGgGydNmJSQCG9Q1FgXglHKEmiI7Y0fQIUvE1BYUyeOSltBEjaKxttvxdzjFSU-JUHSpqxKNaa3Z6HpijRrvKZluWIXPwDpHdouLL594n8P4H4KPBs2ERQj1u-UwOUwdQa9SaHzQWTWwLyQwSUxKL3w5VusNBYIhoyqMJqaXSiNaNjCyFui16gPA6PhCOIfDGyLoXXRYPBMnpM2JHQEZP+sSBg3hEPpq0U6zOmHpOzFewq9OOMtOZAFuQxjXZF2+HRuf3uALRgqGwq84zgbw1Xy5dl+UT1-KpNVZtWN0LF1KFGqRitoqIGqqdxpxkrQLUuJIW-z67wQDO9+EmxBjnPadh5upcD2jclNeB5MhjVi1djwyGY6dcj0wMaMRdwvttGf1+bQWlr1wjesp7qNzeecf8fCzXzYQA
13:40:09: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:40:09: [INFO] Matrix size: 3x11
13:40:10: [INFO] Add COL0 net
13:40:10: [INFO] Add COL1 net
13:40:10: [INFO] Add COL10 net
13:40:10: [INFO] Add COL11 net
13:40:10: [INFO] Add COL2 net
13:40:10: [INFO] Add COL3 net
13:40:10: [INFO] Add COL4 net
13:40:10: [INFO] Add COL5 net
13:40:10: [INFO] Add COL6 net
13:40:10: [INFO] Add COL7 net
13:40:10: [INFO] Add COL8 net
13:40:10: [INFO] Add COL9 net
13:40:10: [INFO] Add Net-(D1-A) net
13:40:10: [INFO] Add Net-(D10-A) net
13:40:10: [INFO] Add Net-(D11-A) net
13:40:10: [INFO] Add Net-(D12-A) net
13:40:10: [INFO] Add Net-(D13-A) net
13:40:10: [INFO] Add Net-(D14-A) net
13:40:10: [INFO] Add Net-(D15-A) net
13:40:10: [INFO] Add Net-(D16-A) net
13:40:10: [INFO] Add Net-(D17-A) net
13:40:10: [INFO] Add Net-(D18-A) net
13:40:10: [INFO] Add Net-(D19-A) net
13:40:10: [INFO] Add Net-(D2-A) net
13:40:10: [INFO] Add Net-(D20-A) net
13:40:10: [INFO] Add Net-(D21-A) net
13:40:10: [INFO] Add Net-(D22-A) net
13:40:10: [INFO] Add Net-(D23-A) net
13:40:10: [INFO] Add Net-(D24-A) net
13:40:10: [INFO] Add Net-(D25-A) net
13:40:10: [INFO] Add Net-(D26-A) net
13:40:10: [INFO] Add Net-(D27-A) net
13:40:10: [INFO] Add Net-(D28-A) net
13:40:10: [INFO] Add Net-(D29-A) net
13:40:10: [INFO] Add Net-(D3-A) net
13:40:10: [INFO] Add Net-(D30-A) net
13:40:10: [INFO] Add Net-(D31-A) net
13:40:10: [INFO] Add Net-(D32-A) net
13:40:10: [INFO] Add Net-(D33-A) net
13:40:10: [INFO] Add Net-(D34-A) net
13:40:10: [INFO] Add Net-(D35-A) net
13:40:10: [INFO] Add Net-(D36-A) net
13:40:10: [INFO] Add Net-(D37-A) net
13:40:10: [INFO] Add Net-(D38-A) net
13:40:10: [INFO] Add Net-(D39-A) net
13:40:10: [INFO] Add Net-(D4-A) net
13:40:10: [INFO] Add Net-(D40-A) net
13:40:10: [INFO] Add Net-(D41-A) net
13:40:10: [INFO] Add Net-(D42-A) net
13:40:10: [INFO] Add Net-(D43-A) net
13:40:10: [INFO] Add Net-(D44-A) net
13:40:10: [INFO] Add Net-(D5-A) net
13:40:10: [INFO] Add Net-(D6-A) net
13:40:10: [INFO] Add Net-(D7-A) net
13:40:10: [INFO] Add Net-(D8-A) net
13:40:10: [INFO] Add Net-(D9-A) net
13:40:10: [INFO] Add ROW0 net
13:40:10: [INFO] Add ROW1 net
13:40:10: [INFO] Add ROW2 net
13:40:10: [INFO] Add ROW3 net
13:40:10: [INFO] Add SW1 footprint
13:40:10: [INFO] Add D1 footprint
13:40:10: [INFO] Add SW2 footprint
13:40:10: [INFO] Add D2 footprint
13:40:10: [INFO] Add SW3 footprint
13:40:10: [INFO] Add D3 footprint
13:40:10: [INFO] Add SW4 footprint
13:40:10: [INFO] Add D4 footprint
13:40:10: [INFO] Add SW5 footprint
13:40:10: [INFO] Add D5 footprint
13:40:10: [INFO] Add SW6 footprint
13:40:10: [INFO] Add D6 footprint
13:40:10: [INFO] Add SW7 footprint
13:40:10: [INFO] Add D7 footprint
13:40:10: [INFO] Add SW8 footprint
13:40:10: [INFO] Add D8 footprint
13:40:10: [INFO] Add SW9 footprint
13:40:10: [INFO] Add D9 footprint
13:40:10: [INFO] Add SW10 footprint
13:40:10: [INFO] Add D10 footprint
13:40:10: [INFO] Add SW11 footprint
13:40:10: [INFO] Add D11 footprint
13:40:10: [INFO] Add SW12 footprint
13:40:11: [INFO] Add D12 footprint
13:40:11: [INFO] Add SW13 footprint
13:40:11: [INFO] Add D13 footprint
13:40:11: [INFO] Add SW14 footprint
13:40:11: [INFO] Add D14 footprint
13:40:11: [INFO] Add SW15 footprint
13:40:11: [INFO] Add D15 footprint
13:40:11: [INFO] Add SW16 footprint
13:40:11: [INFO] Add D16 footprint
13:40:11: [INFO] Add SW17 footprint
13:40:11: [INFO] Add D17 footprint
13:40:11: [INFO] Add SW18 footprint
13:40:11: [INFO] Add D18 footprint
13:40:11: [INFO] Add SW19 footprint
13:40:11: [INFO] Add D19 footprint
13:40:11: [INFO] Add SW20 footprint
13:40:11: [INFO] Add D20 footprint
13:40:11: [INFO] Add SW21 footprint
13:40:11: [INFO] Add D21 footprint
13:40:11: [INFO] Add SW22 footprint
13:40:11: [INFO] Add D22 footprint
13:40:11: [INFO] Add SW23 footprint
13:40:11: [INFO] Add D23 footprint
13:40:11: [INFO] Add SW24 footprint
13:40:11: [INFO] Add D24 footprint
13:40:11: [INFO] Add SW25 footprint
13:40:11: [INFO] Add D25 footprint
13:40:11: [INFO] Add SW26 footprint
13:40:11: [INFO] Add D26 footprint
13:40:11: [INFO] Add SW27 footprint
13:40:11: [INFO] Add D27 footprint
13:40:11: [INFO] Add SW28 footprint
13:40:11: [INFO] Add D28 footprint
13:40:12: [INFO] Add SW29 footprint
13:40:12: [INFO] Add D29 footprint
13:40:12: [INFO] Add SW30 footprint
13:40:12: [INFO] Add D30 footprint
13:40:12: [INFO] Add SW31 footprint
13:40:12: [INFO] Add D31 footprint
13:40:12: [INFO] Add SW32 footprint
13:40:12: [INFO] Add D32 footprint
13:40:12: [INFO] Add SW33 footprint
13:40:12: [INFO] Add D33 footprint
13:40:12: [INFO] Add SW34 footprint
13:40:12: [INFO] Add D34 footprint
13:40:12: [INFO] Add SW35 footprint
13:40:12: [INFO] Add D35 footprint
13:40:12: [INFO] Add SW36 footprint
13:40:12: [INFO] Add D36 footprint
13:40:12: [INFO] Add SW37 footprint
13:40:12: [INFO] Add D37 footprint
13:40:12: [INFO] Add SW38 footprint
13:40:12: [INFO] Add D38 footprint
13:40:12: [INFO] Add SW39 footprint
13:40:12: [INFO] Add D39 footprint
13:40:12: [INFO] Add SW40 footprint
13:40:12: [INFO] Add D40 footprint
13:40:12: [INFO] Add SW41 footprint
13:40:12: [INFO] Add D41 footprint
13:40:12: [INFO] Add SW42 footprint
13:40:12: [INFO] Add D42 footprint
13:40:12: [INFO] Add SW43 footprint
13:40:12: [INFO] Add D43 footprint
13:40:12: [INFO] Add SW44 footprint
13:40:12: [INFO] Add D44 footprint
13:40:12: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:12: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:12: [INFO] Layout offset: (38100000, 28575000)
13:40:12: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:12: [INFO] Placing additional elements for SW44
13:40:12: [INFO] Placing additional elements for SW43
13:40:12: [INFO] Placing additional elements for SW42
13:40:12: [INFO] Placing additional elements for SW41
13:40:12: [INFO] Placing additional elements for SW40
13:40:12: [INFO] Placing additional elements for SW39
13:40:12: [INFO] Placing additional elements for SW38
13:40:12: [INFO] Placing additional elements for SW37
13:40:12: [INFO] Placing additional elements for SW36
13:40:12: [INFO] Placing additional elements for SW35
13:40:12: [INFO] Placing additional elements for SW34
13:40:12: [INFO] Placing additional elements for SW33
13:40:12: [INFO] Placing additional elements for SW32
13:40:12: [INFO] Placing additional elements for SW31
13:40:12: [INFO] Placing additional elements for SW30
13:40:12: [INFO] Placing additional elements for SW29
13:40:12: [INFO] Placing additional elements for SW28
13:40:12: [INFO] Placing additional elements for SW27
13:40:12: [INFO] Placing additional elements for SW26
13:40:12: [INFO] Placing additional elements for SW25
13:40:12: [INFO] Placing additional elements for SW24
13:40:12: [INFO] Placing additional elements for SW23
13:40:12: [INFO] Placing additional elements for SW22
13:40:12: [INFO] Placing additional elements for SW21
13:40:13: [INFO] Placing additional elements for SW20
13:40:13: [INFO] Placing additional elements for SW19
13:40:13: [INFO] Placing additional elements for SW18
13:40:13: [INFO] Placing additional elements for SW17
13:40:13: [INFO] Placing additional elements for SW16
13:40:13: [INFO] Placing additional elements for SW15
13:40:13: [INFO] Placing additional elements for SW14
13:40:13: [INFO] Placing additional elements for SW13
13:40:13: [INFO] Placing additional elements for SW12
13:40:13: [INFO] Placing additional elements for SW11
13:40:13: [INFO] Placing additional elements for SW10
13:40:13: [INFO] Placing additional elements for SW9
13:40:13: [INFO] Placing additional elements for SW8
13:40:13: [INFO] Placing additional elements for SW7
13:40:13: [INFO] Placing additional elements for SW6
13:40:13: [INFO] Placing additional elements for SW5
13:40:13: [INFO] Placing additional elements for SW4
13:40:13: [INFO] Placing additional elements for SW3
13:40:13: [INFO] Placing additional elements for SW2
13:40:13: [INFO] Placing additional elements for SW1
13:40:13: [INFO] Routing SW44 with D44
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW44:2' at (354965000, 111601250) with pad 'D44:2' at (357505000, 119281250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(354965000, 111601250), (354965000, 116741250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(354965000, 116741250), (357505000, 119281250)]
13:40:13: [INFO] Routing SW43 with D43
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW43:2' at (335915000, 109220000) with pad 'D43:2' at (338455000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(335915000, 109220000), (335915000, 114360000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(335915000, 114360000), (338455000, 116900000)]
13:40:13: [INFO] Routing SW42 with D42
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW42:2' at (313055000, 116363750) with pad 'D42:2' at (315595000, 124043750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(313055000, 116363750), (313055000, 121503750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(313055000, 121503750), (315595000, 124043750)]
13:40:13: [INFO] Routing SW41 with D41
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW41:2' at (293052500, 123507500) with pad 'D41:2' at (295592500, 131187500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(293052500, 123507500), (293052500, 128647500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(293052500, 128647500), (295592500, 131187500)]
13:40:13: [INFO] Routing SW40 with D40
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW40:2' at (154940000, 123507500) with pad 'D40:2' at (157480000, 131187500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(154940000, 123507500), (154940000, 128647500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(154940000, 128647500), (157480000, 131187500)]
13:40:13: [INFO] Routing SW39 with D39
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW39:2' at (135890000, 118745000) with pad 'D39:2' at (138430000, 126425000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(135890000, 118745000), (135890000, 123885000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(135890000, 123885000), (138430000, 126425000)]
13:40:13: [INFO] Routing SW38 with D38
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW38:2' at (116840000, 109220000) with pad 'D38:2' at (119380000, 116900000) using coordinate system rotated by 0 degree(s)
