=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIHdwLgAgIwDoCsBfANHcAGDPwtcMFDs8AmM4gZmrwBZ6MVmA2MiAD1jgdUzY2+asNJFhVCRjrSm01lgjR4ydNI4BdDACgwUXmsHgEIoqfHZTUqzOqn5txbY5LwPeP3XYA7Gd8k1H424H6yAY6hLJwGqgJEflq6+iqI8dgU-uCZltkYIZnheZGZznmucNy8XsYAHFn1ufUh9UX1kfXOyobp4PVJet1x3uA0WWO5YyFjRWORY13uvGy9AJyBROsh60XrkeuLqUabGAP6HnA4vQxZN7k3ITfhVapXIwh4RR8Ykd9l32cIAAnXg0PDYIEXFYoIhAgCe1SQFBh2AuyHB4AR8AAtFdkUQABY9EY3VjaQaY3i41CE4nGG5Mcn6EHwHwopbwCg07BYuDYrkjGFlGF0JkvOAC4wwyIwqhi8Asvls2FosaoqleIi87HIZHGBCmL4WcDyi7YmrmBz2awm5LAqlgohmzI8qno2nDfV4Uimt1aqlvD1pd6UE2aIA
13:40:20: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:40:20: [INFO] Matrix size: 11x6
13:40:21: [INFO] Add COL0 net
13:40:21: [INFO] Add COL1 net
13:40:21: [INFO] Add COL2 net
13:40:21: [INFO] Add COL3 net
13:40:21: [INFO] Add COL4 net
13:40:21: [INFO] Add COL5 net
13:40:21: [INFO] Add COL6 net
13:40:21: [INFO] Add Net-(D1-A) net
13:40:21: [INFO] Add Net-(D10-A) net
13:40:21: [INFO] Add Net-(D11-A) net
13:40:21: [INFO] Add Net-(D12-A) net
13:40:21: [INFO] Add Net-(D13-A) net
13:40:21: [INFO] Add Net-(D14-A) net
13:40:21: [INFO] Add Net-(D15-A) net
13:40:21: [INFO] Add Net-(D16-A) net
13:40:21: [INFO] Add Net-(D17-A) net
13:40:21: [INFO] Add Net-(D18-A) net
13:40:21: [INFO] Add Net-(D19-A) net
13:40:21: [INFO] Add Net-(D2-A) net
13:40:21: [INFO] Add Net-(D20-A) net
13:40:21: [INFO] Add Net-(D21-A) net
13:40:21: [INFO] Add Net-(D22-A) net
13:40:21: [INFO] Add Net-(D23-A) net
13:40:21: [INFO] Add Net-(D24-A) net
13:40:21: [INFO] Add Net-(D25-A) net
13:40:21: [INFO] Add Net-(D26-A) net
13:40:21: [INFO] Add Net-(D27-A) net
13:40:21: [INFO] Add Net-(D28-A) net
13:40:21: [INFO] Add Net-(D29-A) net
