=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:43:23: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIywVATKxBmLUAsekArEQGxEDsWSk18otFDtpLkh7u7m8A3qAAeoAFxxwAOnTEAvuxTsYAXUgAoYAIDuouEimyG6aFiMKER3ucjcrnK2yvMr9BNjpY3T0G4feOqLR09SgNXawChHUlpOTCzP2U1DVBtMWDQ0HxjBiz4rMtM8Jz-Yt8sryyXUGJ3BhqvGodAsXR9WOqOAB0AOx6eqBh+SLFojJqzAWE0-QZU3Ta6rt7lqHia7D6V5Aip8QWEGvxN-shLZvmYxY3lk8wVdXO9S4QyaGPu2kG4R-3QV6R3p8InMnhlXuhAdlvikdK1nn9rJCvj94a9iEjgbCJCF2q9KBiGJRIGR3kYvqAieibt0yVgiUdqbShrtRu0iQUifEiYkHqAAJ5RGYIEG-V7gSETGHTVHICWY6Vg05yoZzVo4hiva6bWiSkUyqna7YqrEy-HUnXy+YZIkkxlG6Ei61LTamUD3ZICkZCqUXRXi82nS2g3GygNnH3BjVKsOWsiikiQu5JASevYy-2GmwIgEBrPgyE2c6UEMG5a0XDulOC6SzIISP2Quw-RUQgNNn3FqOlnq0QhKJRAA
13:43:23: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:43:23: [INFO] Matrix size: 7x7
13:43:24: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:43:24: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:43:24: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:43:24: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:43:24: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:43:24: [INFO] Add COL0 net
13:43:24: [INFO] Add COL1 net
13:43:24: [INFO] Add COL2 net
13:43:24: [INFO] Add COL3 net
13:43:24: [INFO] Add COL4 net
13:43:24: [INFO] Add COL5 net
13:43:24: [INFO] Add COL6 net
13:43:24: [INFO] Add COL7 net
13:43:24: [INFO] Add Net-(D1-A) net
13:43:24: [INFO] Add Net-(D10-A) net
13:43:24: [INFO] Add Net-(D11-A) net
13:43:24: [INFO] Add Net-(D12-A) net
13:43:24: [INFO] Add Net-(D13-A) net
13:43:24: [INFO] Add Net-(D14-A) net
13:43:24: [INFO] Add Net-(D15-A) net
13:43:24: [INFO] Add Net-(D16-A) net
13:43:24: [INFO] Add Net-(D17-A) net
13:43:24: [INFO] Add Net-(D18-A) net
13:43:24: [INFO] Add Net-(D19-A) net
13:43:24: [INFO] Add Net-(D2-A) net
13:43:24: [INFO] Add Net-(D20-A) net
13:43:24: [INFO] Add Net-(D21-A) net
13:43:24: [INFO] Add Net-(D22-A) net
13:43:24: [INFO] Add Net-(D23-A) net
13:43:24: [INFO] Add Net-(D24-A) net
13:43:24: [INFO] Add Net-(D25-A) net
13:43:24: [INFO] Add Net-(D26-A) net
13:43:24: [INFO] Add Net-(D27-A) net
13:43:24: [INFO] Add Net-(D28-A) net
13:43:24: [INFO] Add Net-(D29-A) net
13:43:24: [INFO] Add Net-(D3-A) net
13:43:24: [INFO] Add Net-(D30-A) net
13:43:24: [INFO] Add Net-(D31-A) net
13:43:24: [INFO] Add Net-(D32-A) net
13:43:24: [INFO] Add Net-(D33-A) net
13:43:24: [INFO] Add Net-(D34-A) net
13:43:24: [INFO] Add Net-(D35-A) net
13:43:24: [INFO] Add Net-(D36-A) net
13:43:24: [INFO] Add Net-(D37-A) net
13:43:24: [INFO] Add Net-(D38-A) net
13:43:24: [INFO] Add Net-(D39-A) net
13:43:24: [INFO] Add Net-(D4-A) net
13:43:24: [INFO] Add Net-(D40-A) net
13:43:24: [INFO] Add Net-(D41-A) net
13:43:24: [INFO] Add Net-(D42-A) net
13:43:24: [INFO] Add Net-(D43-A) net
13:43:24: [INFO] Add Net-(D44-A) net
13:43:24: [INFO] Add Net-(D45-A) net
13:43:24: [INFO] Add Net-(D46-A) net
13:43:24: [INFO] Add Net-(D47-A) net
13:43:24: [INFO] Add Net-(D48-A) net
13:43:24: [INFO] Add Net-(D49-A) net
13:43:24: [INFO] Add Net-(D5-A) net
