=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBjW2BiFYk8AXy3EwAZwsI95wCdW3zLMBGO7TBXlQwBmQZgAsYjGikA2KSikAOQVy4YVlNRkVb1MvRkn1c+ZgENLVjtm2jD8wwMM9DtSrJHgAuhgBQYFD4yOiUjIRs7BTY4hjuMRiuCc4J9gnGCQYJjgm6CZq21BqqRXngXEVZ5UUZDGYEVtaUAO7B0dUYsgA6AHa9vUXxdUxEJMQ2HSnDhI2WExWJJXGCnrVB8NSomNjhzJGs80XC-X09RUnTFrOHnScDi74BENDwIdvgrfBcSGjtwssmXYsfYTf5JcD-FIQryUf4ZaFVf45aFlf4FcAATmKlCxZSxVSxa0+cG+v0oSiMgixyKxUKxF1MI1m5kEAAs2uS4nceup4piuadeuoeI9Ai9EFswvUxuMWvhvuh2ggAXBLsDIhNleDlVDlWlwMr4cqqsrkcqysr0RSrTpBBSsmqZWVicgEGTsFi0mr9nh2hTkRSoRSGeLvkUdvVmRMKdRucKfP4xfhNm65V8kG72rzuWDeN6QVnEjnFiZxSn3kCo2mJZmtAKTv8hoyIgW61D1Pr1PD9KpOr2yup0Shsdhh2Vhw7m1dGoJiQr3eBh+JuTQ81PRmMJsPjoKeqvAfUfVu+5Rh1DhwygU62RzsJ5Y7vlU3Q5KI0zru1hw+TlqE091hKoTYHOGYLoM3L3muIG1tg5wQSqEDQWBGAIPBTZAke1ayKB7RFN0u6QQe74zrhGhoYIpTkZQlRUaq67XqRy4ESq4BHLR4CePhJyxOhh6tneKHcjxKwlnR4pvFKIwMR49anL+orPMEr7gAAnsmPySTM1zVt8MGsbJvSeAySGkVw8HGfKOHUYJzGXnxGpYVZsG3LZa6VtpwGWchSjmVBXmkWgvlEYQ0nOUxJxGRRIhBWJ6kVpGHkfEpiqnkYK4PImimvMpJnWd+pyeFMSXpnpcHMUVuXOah5VufZ7COaVLkRShtXEU0nkld58EVZZjUoN1fmdYxA0mJV+k7s1RVlhpb4tg5HWIO0hVCRl-7icp7kzjpPykflhkwnRIHIWZzFeuumELSgpFcQVB1qlWC2kqRPmnYNJI7dZgWvcFzChfp4W3fqbGvQpAESbN07tcV73IXtPSrG9T3WSdzVrBhILVld1k3ftaMJVtj1OfpL2o4jROUcxRK9chAO42TjUTbdkig+tQHQ0jzlw54k5HaZ8GTuj83Q1jzk4-D0itVpJHWSTt1VBTzXy9I-OS79MoTDUKvWYz+0yCzyXxW1czbbD8HImVzU5Ih-nWdVluq+q9WXddZsOw97Mfc5-XMebaU+2TyE6+L8j69lbO83l8FlBbt15Nb6bIXbscOxdwsu8xcfrlGpHe810fKxnDt-Zrhfa1Hf5JmHhtS1DEec-B6Ix-tBTxzDpFJ83KcYwtsjp81LdZ4ldfEw3AcBaPP0bqQw3MY30WzxXWWAdXkPG4TpvMRiUUo7dW+jTbVXwXvdGC070O99jR9ux+MtX9Zue71FX3NcfjrqzPL9RUHnhb6Hy+aavFkJtdrmT5E3cWFQx621AV3IWxIL6ixgZPd2Y0iiy32pA-eQ175IMOtTD+t1MF4Owc5b+iRaDeG8EAA
13:28:18: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:28:18: [INFO] Matrix size: 11x8
13:28:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:19: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:19: [INFO] Add COL0 net
13:28:19: [INFO] Add COL1 net
13:28:19: [INFO] Add COL2 net
13:28:19: [INFO] Add COL3 net
13:28:19: [INFO] Add COL4 net
13:28:19: [INFO] Add COL5 net
13:28:19: [INFO] Add COL6 net
13:28:19: [INFO] Add COL7 net
13:28:19: [INFO] Add COL8 net
13:28:19: [INFO] Add Net-(D1-A) net
13:28:19: [INFO] Add Net-(D10-A) net
13:28:19: [INFO] Add Net-(D100-A) net
13:28:19: [INFO] Add Net-(D101-A) net
13:28:19: [INFO] Add Net-(D102-A) net
13:28:19: [INFO] Add Net-(D103-A) net
13:28:19: [INFO] Add Net-(D104-A) net
13:28:19: [INFO] Add Net-(D11-A) net
13:28:19: [INFO] Add Net-(D12-A) net
13:28:19: [INFO] Add Net-(D13-A) net
13:28:19: [INFO] Add Net-(D14-A) net
13:28:19: [INFO] Add Net-(D15-A) net
13:28:19: [INFO] Add Net-(D16-A) net
13:28:19: [INFO] Add Net-(D17-A) net
13:28:19: [INFO] Add Net-(D18-A) net
13:28:19: [INFO] Add Net-(D19-A) net
13:28:19: [INFO] Add Net-(D2-A) net
13:28:19: [INFO] Add Net-(D20-A) net
13:28:19: [INFO] Add Net-(D21-A) net
13:28:19: [INFO] Add Net-(D22-A) net
13:28:19: [INFO] Add Net-(D23-A) net
13:28:19: [INFO] Add Net-(D24-A) net
13:28:19: [INFO] Add Net-(D25-A) net
13:28:19: [INFO] Add Net-(D26-A) net
13:28:19: [INFO] Add Net-(D27-A) net
13:28:19: [INFO] Add Net-(D28-A) net
13:28:19: [INFO] Add Net-(D29-A) net
13:28:19: [INFO] Add Net-(D3-A) net
13:28:19: [INFO] Add Net-(D30-A) net
13:28:19: [INFO] Add Net-(D31-A) net
13:28:19: [INFO] Add Net-(D32-A) net
13:28:19: [INFO] Add Net-(D33-A) net
13:28:19: [INFO] Add Net-(D34-A) net
13:28:19: [INFO] Add Net-(D35-A) net
13:28:19: [INFO] Add Net-(D36-A) net
13:28:19: [INFO] Add Net-(D37-A) net
13:28:19: [INFO] Add Net-(D38-A) net
13:28:19: [INFO] Add Net-(D39-A) net
13:28:19: [INFO] Add Net-(D4-A) net
13:28:19: [INFO] Add Net-(D40-A) net
13:28:19: [INFO] Add Net-(D41-A) net
13:28:19: [INFO] Add Net-(D42-A) net
13:28:19: [INFO] Add Net-(D43-A) net
13:28:19: [INFO] Add Net-(D44-A) net
13:28:19: [INFO] Add Net-(D45-A) net
13:28:19: [INFO] Add Net-(D46-A) net
13:28:19: [INFO] Add Net-(D47-A) net
13:28:19: [INFO] Add Net-(D48-A) net
13:28:19: [INFO] Add Net-(D49-A) net
13:28:19: [INFO] Add Net-(D5-A) net
13:28:19: [INFO] Add Net-(D50-A) net
13:28:19: [INFO] Add Net-(D51-A) net
13:28:19: [INFO] Add Net-(D52-A) net
