=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:01: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SC+AaO4DsmAGAHQDtTSDMFxs8ryyTLqBdTAKDCljgCY1aATx4EUvJLQDGPcAGJcCxeCw5KBGnAjR4o8VJmzJR48trMN4SrwuUAzDcwAWDVpFiJOafDkBDP-9McADZCCxDqWhDrSMx7bFcdd31vQ2MjQMtMJAcgh1wHAA4XbkTxFTpozRK4UQ9wLxxZfwDyygBOBwR1MyoI1SprNk4EvgEcYUS6hrk09PKEUNoFvvAFytXYiwXnGJ3grLDMXJj8pYOz45wF06vMIvj6g2a-CwB3Hl5y-AQGCkWq7Q1NDzTAdM5dLa9SEIQYcLiA-h1d7wBDA2i8f4QaapNIZDErDHrDFxHAYvbgEL3fZg-YQmIIAnnUlHCwYm7gDFUiDIxBonD4Wy-EgLboAtwYdGg1lUUUcqEPbHPHwWAAWH3K+N4QtsmOquglzJh2qo4CG8I+Y3APNRuAN4B1oqxBlm0nKOpWOvWOpJ9qchxhFnw2Vo+EudHZOuDOB1YZ1NydKUUSloPP4ZVoOoKQpFxUBtWSjRdGR1NN9dOj8rFKKSniez2LA2NrDh3J4qPTOEchCF+OK2KL5S7P0YpF7DzzNceKSVbwtHfAXeII5IGMdU8LswyXfWXZ9XfJ+CpdFL31l3xWXajC5ZtC78fXvnrKbbKFtg7uuZfU2dm-fpaHspDn0CaNEmCiquqt6Nsui6fqUdpDlqMEmmaIwIEEr51BMcAALSiLaBaPs0GT4M4qHVIiQg8Hhk7Wu45QSEuDCMRYEjDsxup0fOEhIRxa79puz7wBh3GgkKLEKnWxEMVk4n-OAEhBHJa5cXaEi4MpcFwLYloCbiMnlgplZoZO2JgfkBm8YwQ6mi21TIJhVHwDRBG1tO9YyUeEg+hIZF2QilqqTJTGMGxrH0MuYUPEFtA8XJwEPjiJhCXAQQyW08V9lJAQpe2amyZFJqxUcmXRS+okaYVzbDBRgVfsFcmVK21b5VZpA8VlKRFiluDpY1nWNDOuV8kZSD9WVLUyZVHGwjVgLoZO2Eud+iZgbO1Z6DgarwBiOCvNYLW0CqB2ILQkAnTR86ZtmKH+W2qCbYlA4hrEN2sCwQA
13:32:01: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:32:01: [INFO] Matrix size: 7x12
13:32:02: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:02: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:02: [INFO] Add COL0 net
13:32:02: [INFO] Add COL1 net
13:32:02: [INFO] Add COL10 net
13:32:02: [INFO] Add COL11 net
13:32:02: [INFO] Add COL12 net
13:32:02: [INFO] Add COL2 net
13:32:02: [INFO] Add COL3 net
13:32:02: [INFO] Add COL4 net
13:32:02: [INFO] Add COL5 net
13:32:02: [INFO] Add COL6 net
13:32:02: [INFO] Add COL7 net
13:32:02: [INFO] Add COL8 net
13:32:02: [INFO] Add COL9 net
13:32:02: [INFO] Add Net-(D1-A) net
13:32:02: [INFO] Add Net-(D10-A) net
13:32:02: [INFO] Add Net-(D100-A) net
13:32:02: [INFO] Add Net-(D101-A) net
13:32:02: [INFO] Add Net-(D102-A) net
13:32:02: [INFO] Add Net-(D103-A) net
13:32:02: [INFO] Add Net-(D11-A) net
13:32:02: [INFO] Add Net-(D12-A) net
13:32:02: [INFO] Add Net-(D13-A) net
13:32:02: [INFO] Add Net-(D14-A) net
13:32:02: [INFO] Add Net-(D15-A) net
13:32:02: [INFO] Add Net-(D16-A) net
13:32:02: [INFO] Add Net-(D17-A) net
13:32:02: [INFO] Add Net-(D18-A) net
13:32:02: [INFO] Add Net-(D19-A) net
13:32:02: [INFO] Add Net-(D2-A) net
13:32:02: [INFO] Add Net-(D20-A) net
13:32:02: [INFO] Add Net-(D21-A) net
13:32:02: [INFO] Add Net-(D22-A) net
13:32:02: [INFO] Add Net-(D23-A) net
13:32:02: [INFO] Add Net-(D24-A) net
13:32:02: [INFO] Add Net-(D25-A) net
13:32:02: [INFO] Add Net-(D26-A) net
13:32:02: [INFO] Add Net-(D27-A) net
13:32:02: [INFO] Add Net-(D28-A) net
13:32:02: [INFO] Add Net-(D29-A) net
13:32:02: [INFO] Add Net-(D3-A) net
13:32:02: [INFO] Add Net-(D30-A) net
13:32:02: [INFO] Add Net-(D31-A) net
13:32:02: [INFO] Add Net-(D32-A) net
13:32:02: [INFO] Add Net-(D33-A) net
13:32:02: [INFO] Add Net-(D34-A) net
13:32:02: [INFO] Add Net-(D35-A) net
13:32:02: [INFO] Add Net-(D36-A) net
13:32:02: [INFO] Add Net-(D37-A) net
13:32:02: [INFO] Add Net-(D38-A) net
13:32:02: [INFO] Add Net-(D39-A) net
13:32:02: [INFO] Add Net-(D4-A) net
13:32:02: [INFO] Add Net-(D40-A) net
13:32:02: [INFO] Add Net-(D41-A) net
13:32:02: [INFO] Add Net-(D42-A) net
13:32:02: [INFO] Add Net-(D43-A) net
13:32:02: [INFO] Add Net-(D44-A) net
13:32:02: [INFO] Add Net-(D45-A) net
13:32:02: [INFO] Add Net-(D46-A) net
13:32:02: [INFO] Add Net-(D47-A) net
13:32:02: [INFO] Add Net-(D48-A) net
13:32:02: [INFO] Add Net-(D49-A) net
13:32:02: [INFO] Add Net-(D5-A) net
13:32:02: [INFO] Add Net-(D50-A) net
13:32:02: [INFO] Add Net-(D51-A) net
13:32:02: [INFO] Add Net-(D52-A) net
13:32:02: [INFO] Add Net-(D53-A) net
13:32:02: [INFO] Add Net-(D54-A) net
13:32:02: [INFO] Add Net-(D55-A) net
13:32:02: [INFO] Add Net-(D56-A) net
13:32:02: [INFO] Add Net-(D57-A) net
13:32:02: [INFO] Add Net-(D58-A) net
13:32:02: [INFO] Add Net-(D59-A) net
13:32:02: [INFO] Add Net-(D6-A) net
13:32:02: [INFO] Add Net-(D60-A) net
13:32:02: [INFO] Add Net-(D61-A) net
13:32:02: [INFO] Add Net-(D62-A) net
13:32:02: [INFO] Add Net-(D63-A) net
13:32:02: [INFO] Add Net-(D64-A) net
13:32:02: [INFO] Add Net-(D65-A) net
13:32:02: [INFO] Add Net-(D66-A) net
13:32:02: [INFO] Add Net-(D67-A) net
13:32:02: [INFO] Add Net-(D68-A) net
13:32:02: [INFO] Add Net-(D69-A) net
13:32:02: [INFO] Add Net-(D7-A) net
13:32:02: [INFO] Add Net-(D70-A) net
13:32:02: [INFO] Add Net-(D71-A) net
13:32:02: [INFO] Add Net-(D72-A) net
13:32:02: [INFO] Add Net-(D73-A) net
13:32:02: [INFO] Add Net-(D74-A) net
13:32:02: [INFO] Add Net-(D75-A) net
13:32:02: [INFO] Add Net-(D76-A) net
13:32:02: [INFO] Add Net-(D77-A) net
13:32:02: [INFO] Add Net-(D78-A) net
13:32:02: [INFO] Add Net-(D79-A) net
13:32:02: [INFO] Add Net-(D8-A) net
13:32:02: [INFO] Add Net-(D80-A) net
13:32:02: [INFO] Add Net-(D81-A) net
13:32:02: [INFO] Add Net-(D82-A) net
13:32:02: [INFO] Add Net-(D83-A) net
13:32:02: [INFO] Add Net-(D84-A) net
13:32:02: [INFO] Add Net-(D85-A) net
13:32:02: [INFO] Add Net-(D86-A) net
13:32:02: [INFO] Add Net-(D87-A) net
13:32:02: [INFO] Add Net-(D88-A) net
13:32:02: [INFO] Add Net-(D89-A) net
13:32:02: [INFO] Add Net-(D9-A) net
13:32:02: [INFO] Add Net-(D90-A) net
13:32:02: [INFO] Add Net-(D91-A) net
13:32:02: [INFO] Add Net-(D92-A) net
13:32:02: [INFO] Add Net-(D93-A) net
13:32:02: [INFO] Add Net-(D94-A) net
13:32:02: [INFO] Add Net-(D95-A) net
13:32:02: [INFO] Add Net-(D96-A) net
13:32:02: [INFO] Add Net-(D97-A) net
13:32:02: [INFO] Add Net-(D98-A) net
13:32:02: [INFO] Add Net-(D99-A) net
13:32:02: [INFO] Add ROW0 net
13:32:02: [INFO] Add ROW1 net
13:32:02: [INFO] Add ROW2 net
13:32:02: [INFO] Add ROW3 net
