=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEpBZZjuPgIxFwmwIpqrV5YBMjtWAZj74ALMKwBWcQDZxycQA5GEAB4sJ2BNIJ9tDGtt4HBurGONTjs4-ONKAulgBQwcHR3EoLcpQqc3WPoI7kbBJjTu5mGWYdZhtmFKnmrwGjTIHggZQeAZobnhWWZ8GTEFcQUJzGRs7P4ZDs6u3JnVrACGnV3+LTktoW0+vj2F4C1RY5J8LRUtCZNJTOApcGkICpngGzkb+RtCNBsTG2UbFRvzG40ug7XomuACrV41Xd0PTzlPAy+svn4fUZPCZPMpPCpPeZPRaqdQPACcm0ROUR+URBwQiImiLKiLit3YHARWHmiOurhEm0pQVub06-kpP1If3+DNGlImlLKlIqlPmlJhyzhEXwhBFgT4dHw+Slo1lE1lMVpdP8svxvyQhPkD1lVQ1iH+0B1+HJBMJ-gkm0tNP1hotPGU+rp7XtGPAlomlqVttZD0tFUteuZmvNfqwgpWazc7jFS2DBt9EXcOToIUd8edqvcbtTxSTU088a1WawFVz81zDnsQA
13:33:48: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:33:48: [INFO] Matrix size: 11x8
13:33:50: [INFO] Add COL0 net
13:33:50: [INFO] Add COL1 net
13:33:50: [INFO] Add COL2 net
13:33:50: [INFO] Add COL3 net
13:33:50: [INFO] Add COL4 net
13:33:50: [INFO] Add COL5 net
13:33:50: [INFO] Add COL6 net
13:33:50: [INFO] Add COL7 net
13:33:50: [INFO] Add COL8 net
13:33:50: [INFO] Add Net-(D1-A) net
13:33:50: [INFO] Add Net-(D10-A) net
13:33:50: [INFO] Add Net-(D100-A) net
13:33:50: [INFO] Add Net-(D101-A) net
13:33:50: [INFO] Add Net-(D102-A) net
13:33:50: [INFO] Add Net-(D103-A) net
13:33:50: [INFO] Add Net-(D104-A) net
13:33:50: [INFO] Add Net-(D105-A) net
13:33:50: [INFO] Add Net-(D106-A) net
13:33:50: [INFO] Add Net-(D107-A) net
13:33:50: [INFO] Add Net-(D108-A) net
13:33:50: [INFO] Add Net-(D11-A) net
13:33:50: [INFO] Add Net-(D12-A) net
13:33:50: [INFO] Add Net-(D13-A) net
13:33:50: [INFO] Add Net-(D14-A) net
