=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:26: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBpwHQO3vATNUkAEFIEY2aknlgMxFQAsZkArHgN6gAeoAXOuAHQDs1AvhqGqoBQ3CMiFxpcZQwMAxq0wBiAIbqNofpiHVECOMVQBdSACgw2YegVLQy+Y6daBVsZiuSPkad9nfaOSYlTh5tUAA2a0icIiivGN8Y-1s2ew1NcKjaUwtUlS5CopdMFHB6UEU0hydHEtAUdwaJIhQklH9mwJtgtlC+AS5ooaahhKGkoc6hnPNgfPSM1XqjcqCqlVq68KMmowSjJKNOo26GZj7uAcwADmi7pruEu6S7lMq7ZSLi8LvZvI+1SWy3C5GiYKaYISYKSYPI+ngUDWPQ29i2ilBNARcCRFQu7Cu4QAnNBsVZkQs1Et6iTsGTrJTvoUaS0BCSkiTOiT-vNeugwZhUTVakQAO5KJCY+EGRGxIL4-oCcVsSVsnD03C5XkAZwAtnYAE4AewALgB9ACm8mwuHCSOxjWx2ItFL52EVgs+wPqumxuydMrgFs1xiAA
13:35:26: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:35:26: [INFO] Matrix size: 9x5
13:35:27: [INFO] Add COL0 net
13:35:27: [INFO] Add COL1 net
13:35:27: [INFO] Add COL2 net
13:35:27: [INFO] Add COL3 net
13:35:27: [INFO] Add COL4 net
13:35:27: [INFO] Add COL5 net
13:35:27: [INFO] Add Net-(D1-A) net
13:35:27: [INFO] Add Net-(D10-A) net
13:35:27: [INFO] Add Net-(D11-A) net
13:35:27: [INFO] Add Net-(D12-A) net
13:35:27: [INFO] Add Net-(D13-A) net
13:35:27: [INFO] Add Net-(D14-A) net
13:35:27: [INFO] Add Net-(D15-A) net
13:35:27: [INFO] Add Net-(D16-A) net
13:35:27: [INFO] Add Net-(D17-A) net
13:35:27: [INFO] Add Net-(D18-A) net
13:35:27: [INFO] Add Net-(D19-A) net
13:35:27: [INFO] Add Net-(D2-A) net
13:35:27: [INFO] Add Net-(D20-A) net
13:35:27: [INFO] Add Net-(D21-A) net
13:35:27: [INFO] Add Net-(D22-A) net
13:35:27: [INFO] Add Net-(D23-A) net
13:35:27: [INFO] Add Net-(D24-A) net
13:35:27: [INFO] Add Net-(D25-A) net
13:35:27: [INFO] Add Net-(D26-A) net
13:35:27: [INFO] Add Net-(D27-A) net
13:35:27: [INFO] Add Net-(D28-A) net
13:35:27: [INFO] Add Net-(D29-A) net
13:35:27: [INFO] Add Net-(D3-A) net
13:35:27: [INFO] Add Net-(D30-A) net
13:35:27: [INFO] Add Net-(D31-A) net
13:35:27: [INFO] Add Net-(D32-A) net
13:35:27: [INFO] Add Net-(D33-A) net
13:35:27: [INFO] Add Net-(D34-A) net
13:35:27: [INFO] Add Net-(D35-A) net
13:35:27: [INFO] Add Net-(D36-A) net
13:35:27: [INFO] Add Net-(D37-A) net
13:35:27: [INFO] Add Net-(D38-A) net
13:35:27: [INFO] Add Net-(D39-A) net
13:35:27: [INFO] Add Net-(D4-A) net
13:35:27: [INFO] Add Net-(D40-A) net
13:35:27: [INFO] Add Net-(D41-A) net
13:35:27: [INFO] Add Net-(D42-A) net
13:35:27: [INFO] Add Net-(D43-A) net
13:35:27: [INFO] Add Net-(D44-A) net
13:35:27: [INFO] Add Net-(D45-A) net
13:35:27: [INFO] Add Net-(D46-A) net
13:35:27: [INFO] Add Net-(D47-A) net
13:35:27: [INFO] Add Net-(D48-A) net
13:35:27: [INFO] Add Net-(D49-A) net
13:35:27: [INFO] Add Net-(D5-A) net
13:35:27: [INFO] Add Net-(D50-A) net
13:35:27: [INFO] Add Net-(D51-A) net
13:35:27: [INFO] Add Net-(D52-A) net
13:35:27: [INFO] Add Net-(D53-A) net
13:35:27: [INFO] Add Net-(D54-A) net
13:35:27: [INFO] Add Net-(D55-A) net
13:35:27: [INFO] Add Net-(D56-A) net
13:35:27: [INFO] Add Net-(D57-A) net
13:35:27: [INFO] Add Net-(D58-A) net
13:35:27: [INFO] Add Net-(D59-A) net
13:35:27: [INFO] Add Net-(D6-A) net
13:35:27: [INFO] Add Net-(D60-A) net
13:35:27: [INFO] Add Net-(D7-A) net
13:35:27: [INFO] Add Net-(D8-A) net
13:35:27: [INFO] Add Net-(D9-A) net
13:35:27: [INFO] Add ROW0 net
13:35:27: [INFO] Add ROW1 net
13:35:27: [INFO] Add ROW2 net
13:35:27: [INFO] Add ROW3 net
13:35:27: [INFO] Add ROW4 net
13:35:27: [INFO] Add ROW5 net
13:35:27: [INFO] Add ROW6 net
13:35:27: [INFO] Add ROW7 net
13:35:27: [INFO] Add ROW8 net
13:35:27: [INFO] Add ROW9 net
13:35:27: [INFO] Add SW1 footprint
13:35:27: [INFO] Add D1 footprint
13:35:27: [INFO] Add SW1a footprint
13:35:27: [INFO] Add SW2 footprint
13:35:27: [INFO] Add D2 footprint
13:35:27: [INFO] Add SW3 footprint
13:35:27: [INFO] Add D3 footprint
13:35:27: [INFO] Add SW4 footprint
13:35:27: [INFO] Add D4 footprint
13:35:27: [INFO] Add SW5 footprint
13:35:27: [INFO] Add D5 footprint
13:35:27: [INFO] Add SW6 footprint
13:35:27: [INFO] Add D6 footprint
13:35:27: [INFO] Add SW7 footprint
13:35:27: [INFO] Add D7 footprint
13:35:27: [INFO] Add SW8 footprint
13:35:27: [INFO] Add D8 footprint
13:35:27: [INFO] Add SW9 footprint
13:35:27: [INFO] Add D9 footprint
13:35:27: [INFO] Add SW10 footprint
13:35:27: [INFO] Add D10 footprint
13:35:27: [INFO] Add SW11 footprint
13:35:27: [INFO] Add D11 footprint
13:35:28: [INFO] Add SW12 footprint
13:35:28: [INFO] Add D12 footprint
13:35:28: [INFO] Add SW13 footprint
13:35:28: [INFO] Add D13 footprint
13:35:28: [INFO] Add SW14 footprint
13:35:28: [INFO] Add D14 footprint
13:35:28: [INFO] Add SW15 footprint
13:35:28: [INFO] Add D15 footprint
