=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7gDoB2JJALFgIzg7j5VmnGU04QAescuAdAEwBWOtHhJIEybQQATbgBcATgFcAptjwEmFAtIhz4StRvrVtLXe3Bd4fYQlEJEAdldvMdfPz1Ru4yRIemgDM0qbkYfiCkVgAbDHOMQAcPjZwVLy4JsK4YcJsCMLedMKhJVgR5dFWjkho6HQA7tz82VjO5vi5NX6IAYF0BnBG6uVJ5sGWcJzcfM72vmIo9chB4MKxndR57VsFM-D8mW3jzCSTNAC6WABQwOBUWmcWBQ9mz6ypswILtX39YSGIxMjyIHym+gUKlGCEejHB3Wm1m+v16K1WTW4GUEIKwxSRf360FxZVhFTCj2qZPidEeiSsaQyWTosSm4FZr1Z+PZWFJPMqCFZVJ5NKRzXg2JMrI6z1BPiB0KlWFOTEmiIOcCO+AcvTc7kxEp+dAAFi0mt5DQtjRb0nQODaALR8IQmZy7WXbBlY3iopbotaslXMC7ga53cD8J5MT50SPw6OepFpZ2+pxEwFQ4yxqPMSjq8AKrMIOPmPNfWw+kRolZhcXpXjzEyR-EQQkApu8sKRgURrDCyOi3v0pPe5kIN2I8Bu15u7luvluntuqmt3V64fgOtHF10N0yphynpLdODTMwqfKiYQ5GGscXzYe-Y3zUN1N1Guuy-PENh+5q0uJuAFwAU+yZGjqx4AqehiKnQ-4IvKZ4mMBCFehWb7LPUtYtD8yF4uYkb5m2ARrJMPaTMKkyDpMG6TCkaH1neSRssxrzMdyzF8sx5DmDkPh-P6Bovo2dDMQ+TB8UeaZQbISGiV+qrXmBIkINxvGJqufo1kJGQqeAYnqWx7oSRpz4piYzFBuc2y-uAeYgWErAOQxKZVpBJHQcMsEIPZqFIoW55OX5Gp2G5TiCQgdYZDuPl4j4UW4XQlCkhACUxXZ5JWGlOJJX25jMfmW6JbF+7MAV5aMUJRx6QAnO8TCsoV3rpXV-DmBO8XNTlCB1cE7XXtlJh1eJzAdVlXVDcZo3XsRUiecCdB1VZxBqhVcwLAlelqc8RT8dWWEWXE6kcVNJC7S5xXgEtV5XLcYDPuQr46Zdkxtc8cZhJMfXvaZjKVpFOHpZQgj5aZg25aVJCsRVTLPS1OYkBynWWpN8bMEji34c805hL1-WvHVPHY4Bw347jp3EDjv4akk-2bhNuUg887GOUdzNxeNhpAxTLOXJcQA
13:35:38: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:35:38: [INFO] Matrix size: 9x8
13:35:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:39: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:39: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:39: [INFO] Add COL0 net
13:35:39: [INFO] Add COL1 net
13:35:39: [INFO] Add COL2 net
13:35:39: [INFO] Add COL3 net
13:35:39: [INFO] Add COL4 net
13:35:39: [INFO] Add COL5 net
13:35:39: [INFO] Add COL6 net
13:35:39: [INFO] Add COL7 net
13:35:39: [INFO] Add COL8 net
13:35:39: [INFO] Add Net-(D1-A) net
13:35:39: [INFO] Add Net-(D10-A) net
13:35:39: [INFO] Add Net-(D11-A) net
13:35:39: [INFO] Add Net-(D12-A) net
13:35:39: [INFO] Add Net-(D13-A) net
13:35:39: [INFO] Add Net-(D14-A) net
13:35:39: [INFO] Add Net-(D15-A) net
13:35:39: [INFO] Add Net-(D16-A) net
13:35:39: [INFO] Add Net-(D17-A) net
13:35:39: [INFO] Add Net-(D18-A) net
13:35:39: [INFO] Add Net-(D19-A) net
13:35:39: [INFO] Add Net-(D2-A) net
13:35:39: [INFO] Add Net-(D20-A) net
13:35:39: [INFO] Add Net-(D21-A) net
13:35:39: [INFO] Add Net-(D22-A) net
13:35:39: [INFO] Add Net-(D23-A) net
13:35:39: [INFO] Add Net-(D24-A) net
13:35:39: [INFO] Add Net-(D25-A) net
13:35:39: [INFO] Add Net-(D26-A) net
13:35:39: [INFO] Add Net-(D27-A) net
13:35:39: [INFO] Add Net-(D28-A) net
13:35:39: [INFO] Add Net-(D29-A) net
13:35:39: [INFO] Add Net-(D3-A) net
13:35:39: [INFO] Add Net-(D30-A) net
13:35:39: [INFO] Add Net-(D31-A) net
13:35:39: [INFO] Add Net-(D32-A) net
13:35:39: [INFO] Add Net-(D33-A) net
13:35:39: [INFO] Add Net-(D34-A) net
13:35:39: [INFO] Add Net-(D35-A) net
13:35:39: [INFO] Add Net-(D36-A) net
13:35:39: [INFO] Add Net-(D37-A) net
13:35:39: [INFO] Add Net-(D38-A) net
13:35:39: [INFO] Add Net-(D39-A) net
13:35:39: [INFO] Add Net-(D4-A) net
13:35:39: [INFO] Add Net-(D40-A) net
13:35:39: [INFO] Add Net-(D41-A) net
13:35:39: [INFO] Add Net-(D42-A) net
13:35:39: [INFO] Add Net-(D43-A) net
13:35:39: [INFO] Add Net-(D44-A) net
13:35:39: [INFO] Add Net-(D45-A) net
13:35:39: [INFO] Add Net-(D46-A) net
13:35:39: [INFO] Add Net-(D47-A) net
13:35:39: [INFO] Add Net-(D48-A) net
13:35:39: [INFO] Add Net-(D49-A) net
13:35:39: [INFO] Add Net-(D5-A) net
