=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuADFngDoB2ppBATODhNPMutrgQIzlklU1wQAesOHgB0lAKw5wAY0HgAxAEMlynuADOAW1lIA9ggD6aKa1bhm+QhwpZ2nK5zR4eETbLOS29ts-AD4I8XMCYjsuQlVPUOCfPyFhCVwZeHkAdjT09xYsalppWTkpQqLMiwBmCKwAFgqxCoA2CpSKgA4YwVZhPHMJJ0kJUz7s1QlywerB2tyk3EVlJVUAd0FKbqwU+1Lwweb7Hrb-YRSxVbqNm2G1s4HeX2XOyVdk3QMjExKJHdD++3s0a-5BAEEnlkgUioVVI9cKp6IhUJhtrshgBdLAAKDAUEEjARuFYliiQ1ysJx5nxtg43FysSBkmm8jm8zJBMp50k5K8bJuNNEx3ZLM40X5FMFW25gPikiW8A6fLxRJu9LB4JK+NG8vG8sm8oa-Ka1PanXMdTF4BN1zNCst6stmst2stupu0rgsuNl1ClTFECVjIUJRNnw4ewN8Eo90S+XSGSlhvEkgAFsspdQZZLcAnU67JHwswBaIHmFIejhe-63NPA32MgNYIOcfr7OLxyOg8EQyQk+Hu+ukCTUVEYujY7uSSgC6w5G5dphjmycqcAg4tkEzP0lcchVkW8ci6zlnmBOdb0W9XC7zlnpdxYEujpHczjxer+TtmSPrA28d28cO8dO8Bx31cU0y6SRizPcBiwtYspygz9VGLO1i21H0o2jYDwBdcMj1wYt1k9b0X1mOYSmLXsSBDEDXQjYi3zIrBTkIg87iOOl8nXIs6yRFjlyrfJ6M7EdZzw7ivhRdFMRnXFwE2E9Jx8aTzE2PcwmfQ9+NBTjJDkzkLRUvSm0LHSJzCSCDMJK8KxvWMw15ZTsnsfErKVeiHLtTYHU2ADNkwzZWlDGiwNwZpTVCi1Qrg0KbVCyp7BNFyOJrWyaIfSRQqYjgEtUUKCKysKxODIieTY1sZjc9Kqnirk0K05LcGww45XADLqt45tmtCijG0C2kytfdsYWEmSuqRAdJOHBhR1wL15LUxThvMMsFyM3l2Lq0iltM7xJGWwl2uMmbttNPbWSsnlbzjZqvWfO97N2hDcju3DwC9TUIGe66sDEexNx8RqXq9PLOD+wKOgIBrWOagBOedQlCyDYcoewINUWHShR01Ybi0JUckWHMs4PHcFh4HSGJ8BYe64qJVKujBpS+9Oqq0ITWfatNsqwnSDZnKS04XnevuknCobGrrL6+mVSEqaRMp0W+wkodrOLfqSJURnhdkxzQnJVRNgx3XxdiWUUpwr6ftCXd-qurayZIa2wdoz7zFhubwptytXbhjgPae238Z1jhoM9miXvRzGDvib3uZIEPA-tkPB0xE2RDpl2Hstjgn1UL1Y5z-200B-nSAL6jSiazXw6DomFQ+gORcN4O66whv5dj2DQ46avE5RZEgA
13:35:40: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:35:40: [INFO] Matrix size: 9x8
13:35:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:41: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:41: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:41: [INFO] Add COL0 net
13:35:41: [INFO] Add COL1 net
13:35:41: [INFO] Add COL2 net
13:35:41: [INFO] Add COL3 net
13:35:41: [INFO] Add COL4 net
13:35:41: [INFO] Add COL5 net
13:35:41: [INFO] Add COL6 net
13:35:41: [INFO] Add COL7 net
13:35:41: [INFO] Add COL8 net
13:35:41: [INFO] Add Net-(D1-A) net
13:35:41: [INFO] Add Net-(D10-A) net
13:35:41: [INFO] Add Net-(D11-A) net
13:35:41: [INFO] Add Net-(D12-A) net
13:35:41: [INFO] Add Net-(D13-A) net
13:35:41: [INFO] Add Net-(D14-A) net
13:35:41: [INFO] Add Net-(D15-A) net
13:35:41: [INFO] Add Net-(D16-A) net
13:35:41: [INFO] Add Net-(D17-A) net
13:35:41: [INFO] Add Net-(D18-A) net
13:35:41: [INFO] Add Net-(D19-A) net
13:35:41: [INFO] Add Net-(D2-A) net
13:35:41: [INFO] Add Net-(D20-A) net
13:35:41: [INFO] Add Net-(D21-A) net
13:35:41: [INFO] Add Net-(D22-A) net
13:35:41: [INFO] Add Net-(D23-A) net
13:35:41: [INFO] Add Net-(D24-A) net
13:35:41: [INFO] Add Net-(D25-A) net
13:35:41: [INFO] Add Net-(D26-A) net
13:35:41: [INFO] Add Net-(D27-A) net
13:35:41: [INFO] Add Net-(D28-A) net
13:35:41: [INFO] Add Net-(D29-A) net
13:35:41: [INFO] Add Net-(D3-A) net
13:35:41: [INFO] Add Net-(D30-A) net
13:35:41: [INFO] Add Net-(D31-A) net
13:35:41: [INFO] Add Net-(D32-A) net
13:35:41: [INFO] Add Net-(D33-A) net
13:35:41: [INFO] Add Net-(D34-A) net
13:35:41: [INFO] Add Net-(D35-A) net
13:35:41: [INFO] Add Net-(D36-A) net
13:35:41: [INFO] Add Net-(D37-A) net
13:35:41: [INFO] Add Net-(D38-A) net
13:35:41: [INFO] Add Net-(D39-A) net
13:35:41: [INFO] Add Net-(D4-A) net
13:35:41: [INFO] Add Net-(D40-A) net
13:35:41: [INFO] Add Net-(D41-A) net
13:35:41: [INFO] Add Net-(D42-A) net
13:35:41: [INFO] Add Net-(D43-A) net
13:35:41: [INFO] Add Net-(D44-A) net
13:35:41: [INFO] Add Net-(D45-A) net
