=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuADFngDoB2ppAjFgEzg4TTzLra4EXlklW33gAesOHgB01AKw5wAYyHgAxAENlKurgDOAWzlIA9ggD6aaRQrhW+Qp0pYOXa1zR41ELXPNT2Dqmb6D4ohIWBMT23IRqlnacVM5+QqKSuLLwCgDsGZkebDQuMnLy0kXF2ZYAzJEEACyVWOK1AGy1abUAHHn+cBQieBaScbiSvoO5UpIVY1g1k-V8KbhKKsqRAO5C1H1YaQ4hkZKtDtQR8QEiSfmphcVFpZINO7Z7Ww-DEPMKS8tSbql6hsamW5YA5hI7RMKcNBmAC6WAAUGALgtrjdvtpUpFGIhUJgpLFvKM4AwhMxcbgfATeESBAkxOd3oslqV8WEfJEKazHidhHSLCyYsdybYCQMIJ1ElI1vBuuI+YS3gUUbI5RMhdMhbMhU08VsOkJur0pA1BeBjcNTYSLaqLeqLZqLdrqVKumcLMaWnMCp9FKVje1YQiFZclZiSTiLEdQgKqcSmOGpGDKXrThIpAzvaVIwTzYnOa8aSnZQmrJyBuBcwLRQWeednd00kXcEcY0iFCGI1hrUdbUd7UdHeXddyDRY0iax+ax1TwGPrWPbWPNUGFpkspL1rypGOPdT059SmP-fDEQyQ1IsaSLGUS9G8hf47hr+CbC3xXS01791eb1w2VIn9myY8kE-4-jYZYAaWQESrgzrUJuj7yq2VzXKU162te9rXgO147uA17tMOPQWK0JqkeapHTqR1qkeqy4fPu67SiIDYkVgA6kXhpFHoGyFnrg94sFIVRgeELaCWS4Aic+YnQe+ySfkyFgiVGv5crg0mAdygSNlJomxJEmlQdpZxMS6IEaUhdYIXpqoQNZFl6XR4AObpIlLi5G6OSJO5ivqPRmfBrFSAAnOp9n+Y5YUtq5FhhXZ1aJHF7GRGFeFhf60JAA
13:35:57: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:35:57: [INFO] Matrix size: 9x8
13:35:58: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:58: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:58: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:58: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:58: [INFO] Add COL0 net
13:35:58: [INFO] Add COL1 net
13:35:58: [INFO] Add COL2 net
13:35:58: [INFO] Add COL3 net
13:35:58: [INFO] Add COL4 net
13:35:58: [INFO] Add COL5 net
13:35:58: [INFO] Add COL6 net
13:35:58: [INFO] Add COL7 net
13:35:58: [INFO] Add COL8 net
13:35:58: [INFO] Add Net-(D1-A) net
13:35:58: [INFO] Add Net-(D10-A) net
13:35:58: [INFO] Add Net-(D11-A) net
13:35:58: [INFO] Add Net-(D12-A) net
13:35:58: [INFO] Add Net-(D13-A) net
13:35:58: [INFO] Add Net-(D14-A) net
13:35:58: [INFO] Add Net-(D15-A) net
13:35:58: [INFO] Add Net-(D16-A) net
13:35:58: [INFO] Add Net-(D17-A) net
13:35:58: [INFO] Add Net-(D18-A) net
13:35:58: [INFO] Add Net-(D19-A) net
13:35:58: [INFO] Add Net-(D2-A) net
13:35:58: [INFO] Add Net-(D20-A) net
13:35:58: [INFO] Add Net-(D21-A) net
13:35:58: [INFO] Add Net-(D22-A) net
13:35:58: [INFO] Add Net-(D23-A) net
13:35:58: [INFO] Add Net-(D24-A) net
13:35:58: [INFO] Add Net-(D25-A) net
13:35:58: [INFO] Add Net-(D26-A) net
13:35:58: [INFO] Add Net-(D27-A) net
13:35:58: [INFO] Add Net-(D28-A) net
13:35:58: [INFO] Add Net-(D29-A) net
13:35:58: [INFO] Add Net-(D3-A) net
13:35:58: [INFO] Add Net-(D30-A) net
