=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:16: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQViwAwA6AdqaQCxYCM4OEAHrHNQHQBM+C08Sk-AuggAmzAC4AnAK4BTbHkLkyJKgSGNmbLlGZIA7AcOYc4fO3Xgm8Ah208EiAYPmmsAZiGuKn-Lh9YANgsrOBtOE3skNHQXfD1-AA5gzVYCF2pqGk8MrHN6S2Ywu11HJ2h0zI8THO9qzL86wOTrWwqsePzReElZNoSlUjdCZrhcVL6BkiHaAF0sACgwcABPQtsIkujUYwQCRWVKLJM96kmqWnyQoo3eUqdPLrgeuWP9pVULR+eXE7Phy7WxVuW2QO3AezycAgkTuzleVV2WFqiIaiKCrw6iKSAPgbDSJgC-wQhIuxNynkJCPAhOR1KwqOhmy2ngA7sx2C5CXpJns1PkYWVoCYvtIXmT+gcpkSNC09ECHCCwYSAjyjmTuZKTiN2K0CVgJUppuA5otwJliJLztkaH9STLQutuCVBQ9xKL0m9lB9Om7etUbZbpQUWvKosyTGzcaxcB7IYzbi6PVTMrT6tb0QhMpj7XiXHoieB86TC+STPmqfnafnUSWMxBIyxo3n2pNzZ9fWKSwblEM+VDg3AdXsnbdDEYIylwggABbsiPmKPaacLlgmBgrgC0RRcCRbksydoHbDlNwVzOb3cGWRNwHA7E9h2L99OgcPV0dOgTZVd3XdJnvFrvEGIp+ggz5-H29o2KGKDhggDbHjG-6lv2Arfi495UvetL3jW94Zne7QjLmJi7n24C7sWu6QhR7ieLutK7gyn4OGOBisuyuoILuGpKG2-LOt+wodju+qTL2xHjKRgStmq9puKkp5htEYK7peUqzAst69ranjTLpOIOlOLF8EJIgiSYOmBpB4AgZ2+nWSM0FKbBKkTvAOqcC4QzsJMAEWGh9zeUien0qFBFDJi4BDNi-YhCRCAAJwFslxbJTRyVUslFCTPgNkwoq7mDqwcouMlKqSnlAWCfcwm-qB4DJepEmGTYpUmNluVySZrnoEViFlTJlVqo1e5KPgb6AoNzXXlp4CqAZCDnItUEfoFgh1U8f5LQ+KjARZO0vkBNnvjBhXwZOSE7XG4AIVx810fkd1eSYVDIvWl0uFQuCTGR1VfrVF0efdVC8cof2GXiRU6u1ma-JKhL5UyblA42L1w7kkz5jZz1XWaexuFjQa4+kewVUo2MWCT1R7GDpCUwJAMbeZ9WdtQewzSdawniOZ4o7dKSw6NOXDRlQ3jSho10yQZhOU2NNiZKRo3vaFAldo1MID5fkjUMhOSs+kka5x6MPT9kqUVTn2vWN4PdfFimo2wpvs7tJJW4upMBko7sK75kpFtkBNE8WrsixTI2u+TyiBwr0uByrA4JNG-Ug-Sv2S1Q0ekNRHto3joMZ+YMwzEAA
13:36:16: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:16: [INFO] Matrix size: 11x8
13:36:16: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:16: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:16: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:16: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:16: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:16: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:17: [INFO] Add COL0 net
13:36:17: [INFO] Add COL1 net
13:36:17: [INFO] Add COL2 net
13:36:17: [INFO] Add COL3 net
13:36:17: [INFO] Add COL4 net
13:36:17: [INFO] Add COL5 net
13:36:17: [INFO] Add COL6 net
13:36:17: [INFO] Add COL7 net
13:36:17: [INFO] Add COL8 net
13:36:17: [INFO] Add Net-(D1-A) net
13:36:17: [INFO] Add Net-(D10-A) net
13:36:17: [INFO] Add Net-(D100-A) net
13:36:17: [INFO] Add Net-(D101-A) net
13:36:17: [INFO] Add Net-(D11-A) net
13:36:17: [INFO] Add Net-(D12-A) net
13:36:17: [INFO] Add Net-(D13-A) net
13:36:17: [INFO] Add Net-(D14-A) net
13:36:17: [INFO] Add Net-(D15-A) net
13:36:17: [INFO] Add Net-(D16-A) net
13:36:17: [INFO] Add Net-(D17-A) net
13:36:17: [INFO] Add Net-(D18-A) net
13:36:17: [INFO] Add Net-(D19-A) net
13:36:17: [INFO] Add Net-(D2-A) net
13:36:17: [INFO] Add Net-(D20-A) net
13:36:17: [INFO] Add Net-(D21-A) net
13:36:17: [INFO] Add Net-(D22-A) net
13:36:17: [INFO] Add Net-(D23-A) net
13:36:17: [INFO] Add Net-(D24-A) net
13:36:17: [INFO] Add Net-(D25-A) net
13:36:17: [INFO] Add Net-(D26-A) net
13:36:17: [INFO] Add Net-(D27-A) net
13:36:17: [INFO] Add Net-(D28-A) net
13:36:17: [INFO] Add Net-(D29-A) net
13:36:17: [INFO] Add Net-(D3-A) net
13:36:17: [INFO] Add Net-(D30-A) net
13:36:17: [INFO] Add Net-(D31-A) net
13:36:17: [INFO] Add Net-(D32-A) net
13:36:17: [INFO] Add Net-(D33-A) net
13:36:17: [INFO] Add Net-(D34-A) net
13:36:17: [INFO] Add Net-(D35-A) net
13:36:17: [INFO] Add Net-(D36-A) net
13:36:17: [INFO] Add Net-(D37-A) net
13:36:17: [INFO] Add Net-(D38-A) net
13:36:17: [INFO] Add Net-(D39-A) net
13:36:17: [INFO] Add Net-(D4-A) net
13:36:17: [INFO] Add Net-(D40-A) net
13:36:17: [INFO] Add Net-(D41-A) net
