=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:28: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICdwLgAgIwAYA0coA9aLeL8EA6AdgFZcBPbAWiUIQF9dUAmcAXRQCgw9s6ylGnQBspJulQJwaCPkSEkE8KgDMHbr3m1CLcuirwdZZaiQaec7KpL7whuDoCcplABYLW7EUEHhJZQQUNk5LPngBOwcdMUCUaVlwhSVcIPVQryM6PSEs2zjzDKt4G197fxdU909ihTLogWUWYJqkyNzHUXFcZoS4WqIU9Gb0zVq3Ww6dAA5u4ZRSVu1sqIqmlEKxpNLVvMr5jyKkn13OklwAY2xwAGIAQwfH8GVVFqP5dr882NxXvoHFC8UKMwvIJvV-LMgYt3v4cl8zvtwK9NqDrJMEc4gYcttAjMhcJB5MRCQ46E4xLh5CxdKcdM10Fd4LcLqy2c9mCgnEtvLSpl1XNMZP1joDOcgefAJvDynkTOLpLCInzMeTXMRJXAaTKGgEqtylQodf4fuggkLEvJBnEJYbpXTIjbFVsPirZYi4hrDdqHXr5gaXbzjd85uBmhaRVaxfNbYG5b6oT0UCJNfb+YQkb1nWjlcGPUmvXGtW7dSTGdd7o8Hhz0K8Azmjb7TciUBGAUMW7GG8YE6HXim7SW1r94tnMnAVumka8vewgA
13:37:28: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:37:28: [INFO] Matrix size: 3x11
13:37:29: [INFO] Add COL0 net
13:37:29: [INFO] Add COL1 net
13:37:29: [INFO] Add COL10 net
13:37:29: [INFO] Add COL11 net
13:37:29: [INFO] Add COL2 net
13:37:29: [INFO] Add COL3 net
13:37:29: [INFO] Add COL4 net
13:37:29: [INFO] Add COL5 net
13:37:29: [INFO] Add COL6 net
13:37:29: [INFO] Add COL7 net
13:37:29: [INFO] Add COL8 net
13:37:29: [INFO] Add COL9 net
13:37:29: [INFO] Add Net-(D1-A) net
13:37:29: [INFO] Add Net-(D10-A) net
13:37:29: [INFO] Add Net-(D11-A) net
13:37:29: [INFO] Add Net-(D12-A) net
13:37:29: [INFO] Add Net-(D13-A) net
13:37:29: [INFO] Add Net-(D14-A) net
13:37:29: [INFO] Add Net-(D15-A) net
13:37:29: [INFO] Add Net-(D16-A) net
13:37:29: [INFO] Add Net-(D17-A) net
13:37:29: [INFO] Add Net-(D18-A) net
13:37:29: [INFO] Add Net-(D19-A) net
13:37:29: [INFO] Add Net-(D2-A) net
13:37:29: [INFO] Add Net-(D20-A) net
13:37:29: [INFO] Add Net-(D21-A) net
13:37:29: [INFO] Add Net-(D22-A) net
13:37:29: [INFO] Add Net-(D23-A) net
13:37:29: [INFO] Add Net-(D24-A) net
13:37:29: [INFO] Add Net-(D25-A) net
13:37:29: [INFO] Add Net-(D26-A) net
13:37:29: [INFO] Add Net-(D27-A) net
13:37:29: [INFO] Add Net-(D28-A) net
13:37:29: [INFO] Add Net-(D29-A) net
13:37:29: [INFO] Add Net-(D3-A) net
13:37:29: [INFO] Add Net-(D30-A) net
