=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:39: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDMA2ANHcBPWjUAOLcAY33AGIB2Wu8AXxIQwXCwnPitN78eYYAjOAC6GAFBgo+IUKQAWEnngBaZAE4NTbCyFsOZCpQCGZ8wN3CRgoQCYxk6dHjI7dkgHdZSOwFYdcCFWdjhOYz5+QOCRcSkIFzg5JGoNZXx1JC1o4QMwo24aOlpQ8G94eWoAkhiHOOd8ZARqEi5sU3MzUvKklOrsDzzwwsjeS3APWKcE2XkFFHS1TW0SSbyJ61Dh9s6urx9-QMm66ZlXJCEW7B75Q5IFobKD-vAFqfizpLskBDQ07BUcEyWn2FV8LzeNnyN3BgTeJw+ACd8MRsIlvn5FkCFIoPNg2jxRuMWA5BChSiwFBSMH5HB90X0cqTsMFyTUMFT2bT6jN4ChYasMMyNmyBhzSh5uadEkp8cZdiZus84RgUAAdAB2ms1LEeBMoo3IoLgdhVfm1Wo1urpDXgstwjXBxtN91VFp1wi2BR2uyVYLu2AW5stHve0mRalRn2oFyxqn5KAWcpGRMCLDQ1Oo1MI1I0Nt5cBjKBewQz7Kz7Jz7LzPM+aCQhBeHjLYorYqrYpr0vw9cbzoFgYwaHdGuCevlvuNtwhGEII7H+brDcxAMd-inA9eQ-nnsM+sNfpNm4Wc5Do89olEQA
13:28:39: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:28:39: [INFO] Matrix size: 3x12
13:28:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:40: [INFO] Add COL0 net
13:28:40: [INFO] Add COL1 net
13:28:40: [INFO] Add COL10 net
13:28:40: [INFO] Add COL11 net
13:28:40: [INFO] Add COL12 net
13:28:40: [INFO] Add COL2 net
13:28:40: [INFO] Add COL3 net
13:28:40: [INFO] Add COL4 net
13:28:40: [INFO] Add COL5 net
13:28:40: [INFO] Add COL6 net
13:28:40: [INFO] Add COL7 net
13:28:40: [INFO] Add COL8 net
13:28:40: [INFO] Add COL9 net
13:28:40: [INFO] Add Net-(D1-A) net
13:28:40: [INFO] Add Net-(D10-A) net
13:28:40: [INFO] Add Net-(D11-A) net
13:28:40: [INFO] Add Net-(D12-A) net
13:28:40: [INFO] Add Net-(D13-A) net
13:28:40: [INFO] Add Net-(D14-A) net
13:28:40: [INFO] Add Net-(D15-A) net
13:28:40: [INFO] Add Net-(D16-A) net
13:28:40: [INFO] Add Net-(D17-A) net
13:28:40: [INFO] Add Net-(D18-A) net
13:28:40: [INFO] Add Net-(D19-A) net
13:28:40: [INFO] Add Net-(D2-A) net
13:28:40: [INFO] Add Net-(D20-A) net
