=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ArDlOUgOzMuZ34CMRcp5VATLQTR4SNOmx4s-buHwBmWfgAsSrNW694A6pLlYAbGsZqAHGoCcm8GW2VBezoXZYOXFxxkfFxG33u6HsoAOgB2YWH4zjx+doFSHNQR4aFR1rYUNHQiCIiQ+QWyAO7k-HQAJuQALgBOAK4ApnrJka7gALpYAFBg4ACe-kL0oijiyGwIHATpg3pT7jE5SAWFc9KyUz6TWKp0Uxp7hhtYJofmh1aHHNHg8wu3rl7bHFsQS6PixaVrHLsxGVR4g9Eh1usBwGVolpMkMSvAODQ9GUFm8GHkVtAkes6GUthCdrIygcEGUjDiToSsOcSVhLjTrpS3IynviXtZ3mNxnQ4XAEUDkSEUmEplDYjCsSDfBk+dzyAjBHQABalbkyeFZBCKtW8ugkbUAWh0enkrkFyXmoJ64BNooBGvAPIRjCBJpRw1yGMxdBNLJNeJNf2t6lkJrJCBNp3DVJDtJjDO9rnurqeqJGLFYsvg-ACxtNLVCIpmcWyaM5EyDkv+swTL3zFs6VuU0ylg0zcGzDjoTY4+ch7LRnvLTZZTbxTcDTeJ4CbYenFK70YXdLn8YQ3bdHLGX3Vzr03deYr5e9cGgbvWl1EozroA3ghqvQ3e6eYQ9Nlt6t7g94VwlLW70tC2q2CCOjmdC0G6oGdggtApg6cpgTBWAHjyBiIeAtAGPmNrWKBQIQbg+ZNqKeEAYmRHTGe0K-A+N7kPe16-mmz7lhBeIQYGEGnmC1H2p+36Pn+nxtvKQLdr2bQLp4ElutK9o8h2+E7NhkkxFBSlYUKoSurhpQPmRpgqfcBEUcZ5Fad2sgQfwpnvtCl4-vB8BodBGHqCpMhUWKDmwnprm0GaKR+rp6r+e5WnBb4Cn6eBVIqYo7TtEAA
13:28:57: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:28:57: [INFO] Matrix size: 5x15
13:28:57: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:57: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:57: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:57: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:58: [INFO] Add COL0 net
13:28:58: [INFO] Add COL1 net
13:28:58: [INFO] Add COL10 net
13:28:58: [INFO] Add COL11 net
13:28:58: [INFO] Add COL12 net
13:28:58: [INFO] Add COL13 net
13:28:58: [INFO] Add COL14 net
13:28:58: [INFO] Add COL15 net
13:28:58: [INFO] Add COL2 net
13:28:58: [INFO] Add COL3 net
13:28:58: [INFO] Add COL4 net
13:28:58: [INFO] Add COL5 net
13:28:58: [INFO] Add COL6 net
13:28:58: [INFO] Add COL7 net
13:28:58: [INFO] Add COL8 net
13:28:58: [INFO] Add COL9 net
13:28:58: [INFO] Add Net-(D1-A) net
13:28:58: [INFO] Add Net-(D10-A) net
13:28:58: [INFO] Add Net-(D11-A) net
13:28:58: [INFO] Add Net-(D12-A) net
13:28:58: [INFO] Add Net-(D13-A) net
13:28:58: [INFO] Add Net-(D14-A) net
13:28:58: [INFO] Add Net-(D15-A) net
13:28:58: [INFO] Add Net-(D16-A) net
13:28:58: [INFO] Add Net-(D17-A) net
13:28:58: [INFO] Add Net-(D18-A) net
13:28:58: [INFO] Add Net-(D19-A) net
13:28:58: [INFO] Add Net-(D2-A) net
13:28:58: [INFO] Add Net-(D20-A) net
13:28:58: [INFO] Add Net-(D21-A) net
13:28:58: [INFO] Add Net-(D22-A) net
13:28:58: [INFO] Add Net-(D23-A) net
13:28:58: [INFO] Add Net-(D24-A) net
13:28:58: [INFO] Add Net-(D25-A) net
13:28:58: [INFO] Add Net-(D26-A) net
