=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoBMBWANHcB3WcAGJAdk2wBN8AXAJwFcBTAXy3AB0A7TzgjBcVrwTcuHIQOy8UInnwnheAZhli5gjABYV4rBADG+cAGIAhmfPy88ImXCV4tRi0kY02tS4Bs7-uuI-5XgAOAPUATlC4CGhrJFsDeGM9ZJTwZwU+AkiMhGFRWV8XBGl81UL9QyNiapr5AGcAW0MaAHsqAH0GPVy09QRlUoQ+FRUGAnAAXQwAKDBwRsNel3HdKHwidFYE7CMU1PShdxWXEpFeY4yBs4wL3i1S84lo9dR4yvMLA9cjwIxvB5uv38ANuGBCIKea1im2w2ySewMXwiEL6WRRRTy11BxR+qxihFeW0qNVqX36KiGx2e0LeiVMHxMSxyGl+CDQrM8kxmcwAni8Ybh8Mg0OlKZC4bsEUyhoVwEMUPIhopFZoVezWENORqMMQVUEVWEVQgLjLZTKFasJQzGawrIg4qK+Mq8fyRdqECz3ersDLOVNZhA7cL0ihAZbKgjEaxQ7LQxbsKHnQnVdHXOL3gz5AALIUO1P-EShqngHPwYOp4GFsNRcASyNM0P61OG1PG+Qx2N8eMVOnWyy5t3J-qQ-EbQfgGOeofeid8LU10evEN-FQx9s61dyf1zIN57CKas9nb19IH2UH+PgA9JiAcaj0ZisA9Tq9pl3wFBIAinsGQu8OB8fxbfdMnkM9zy7dNe0zW0Bx-Yd3zgRQ91fAtRDXJ8N1KNdt2pOBPDiVg+XgABaGxWFLe1xw0FdsMPEs4NYGjK3QwFcPAYi4DIwjsF3aj6LrKV0ho2UaMvGik3AGiXxo708M-b8mN-JTgKk0ClJ6DTu1rDMPn7MsUJEm8oXtAUJRJaomREuSTOQMzdM+JS0M4DDsGYzd+HYvj0kwC5MFlTBTlEA8-IwK5gvo-FuNsO1yIoe8nFYFQaNC+4RBS+RMDcUoMvDOl61gj8fNo9KBIcswmUwcFStC5EasyzIVF8kd8BI5BeF4l5bHsOBHEfbBksirrityJrq3AfztO81h-OMxd7LpCzdRGl9-Jnfy-W5eSeI410iWgvTCqo4qgs4M9IVinaer64rwrOjw8IIjrBVibqEv6ibGtKfyLsY7B-MxUQfvY-EaNhCMpSOxRirS0QRIa5yOHh1Y7WhmaMDquGty2kywZeuBiGKxGxK5ANcf2nY+yOuK7He9JBuMwS9n0pDiuy0rjNR4rqqxxnyptTrXtYa7AKSnKwtJuZQepq66bF0qpyPeFmaOzwicGxWdIOiwZbegDEoG8WWRB-A8cuvXetFw3SpspnUiOlAYcGmy7Ud9HibfGtXeKzHOFkqDKZgwWCQtm75ax9kTfgM2uuFuXrax+dPthv2-gD5X7eDt3-u+cX50DfBs8+nnU-zrXA70p289+oX4v1j7Br9CYgA
13:31:19: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:19: [INFO] Matrix size: 5x16
13:31:20: [INFO] Add COL0 net
13:31:20: [INFO] Add COL1 net
13:31:20: [INFO] Add COL10 net
13:31:20: [INFO] Add COL11 net
13:31:20: [INFO] Add COL12 net
13:31:20: [INFO] Add COL13 net
13:31:20: [INFO] Add COL14 net
13:31:20: [INFO] Add COL15 net
13:31:20: [INFO] Add COL16 net
13:31:20: [INFO] Add COL2 net
13:31:20: [INFO] Add COL3 net
13:31:20: [INFO] Add COL4 net
13:31:20: [INFO] Add COL5 net
13:31:20: [INFO] Add COL6 net
13:31:20: [INFO] Add COL7 net
13:31:20: [INFO] Add COL8 net
13:31:20: [INFO] Add COL9 net
13:31:20: [INFO] Add Net-(D1-A) net
13:31:20: [INFO] Add Net-(D10-A) net
13:31:20: [INFO] Add Net-(D11-A) net
13:31:20: [INFO] Add Net-(D12-A) net
13:31:20: [INFO] Add Net-(D13-A) net
13:31:20: [INFO] Add Net-(D14-A) net
13:31:20: [INFO] Add Net-(D15-A) net
13:31:20: [INFO] Add Net-(D16-A) net
13:31:20: [INFO] Add Net-(D17-A) net
13:31:20: [INFO] Add Net-(D18-A) net
13:31:20: [INFO] Add Net-(D19-A) net
13:31:20: [INFO] Add Net-(D2-A) net
13:31:20: [INFO] Add Net-(D20-A) net
13:31:20: [INFO] Add Net-(D21-A) net
13:31:20: [INFO] Add Net-(D22-A) net
13:31:20: [INFO] Add Net-(D23-A) net
13:31:20: [INFO] Add Net-(D24-A) net
13:31:20: [INFO] Add Net-(D25-A) net
13:31:20: [INFO] Add Net-(D26-A) net
13:31:20: [INFO] Add Net-(D27-A) net
13:31:20: [INFO] Add Net-(D28-A) net
13:31:20: [INFO] Add Net-(D29-A) net
13:31:20: [INFO] Add Net-(D3-A) net
13:31:20: [INFO] Add Net-(D30-A) net
13:31:20: [INFO] Add Net-(D31-A) net
13:31:20: [INFO] Add Net-(D32-A) net
13:31:20: [INFO] Add Net-(D33-A) net
13:31:20: [INFO] Add Net-(D34-A) net
13:31:20: [INFO] Add Net-(D35-A) net
13:31:20: [INFO] Add Net-(D36-A) net
13:31:20: [INFO] Add Net-(D37-A) net
13:31:20: [INFO] Add Net-(D38-A) net
13:31:20: [INFO] Add Net-(D39-A) net
13:31:20: [INFO] Add Net-(D4-A) net
13:31:20: [INFO] Add Net-(D40-A) net
13:31:20: [INFO] Add Net-(D41-A) net
13:31:20: [INFO] Add Net-(D42-A) net
13:31:20: [INFO] Add Net-(D43-A) net
13:31:20: [INFO] Add Net-(D44-A) net
13:31:20: [INFO] Add Net-(D45-A) net
13:31:20: [INFO] Add Net-(D46-A) net
13:31:20: [INFO] Add Net-(D47-A) net
13:31:20: [INFO] Add Net-(D48-A) net
13:31:20: [INFO] Add Net-(D49-A) net
13:31:20: [INFO] Add Net-(D5-A) net
13:31:20: [INFO] Add Net-(D50-A) net
13:31:20: [INFO] Add Net-(D51-A) net
13:31:20: [INFO] Add Net-(D52-A) net
13:31:20: [INFO] Add Net-(D53-A) net
13:31:20: [INFO] Add Net-(D54-A) net
13:31:20: [INFO] Add Net-(D55-A) net
13:31:20: [INFO] Add Net-(D56-A) net
13:31:20: [INFO] Add Net-(D57-A) net
13:31:20: [INFO] Add Net-(D58-A) net
13:31:20: [INFO] Add Net-(D59-A) net
13:31:20: [INFO] Add Net-(D6-A) net
13:31:20: [INFO] Add Net-(D60-A) net
13:31:20: [INFO] Add Net-(D61-A) net
13:31:20: [INFO] Add Net-(D62-A) net
13:31:20: [INFO] Add Net-(D63-A) net
13:31:20: [INFO] Add Net-(D64-A) net
13:31:20: [INFO] Add Net-(D65-A) net
13:31:20: [INFO] Add Net-(D66-A) net
13:31:20: [INFO] Add Net-(D67-A) net
13:31:20: [INFO] Add Net-(D68-A) net
13:31:20: [INFO] Add Net-(D69-A) net
13:31:20: [INFO] Add Net-(D7-A) net
13:31:20: [INFO] Add Net-(D70-A) net
13:31:20: [INFO] Add Net-(D71-A) net
13:31:20: [INFO] Add Net-(D72-A) net
13:31:20: [INFO] Add Net-(D73-A) net
13:31:20: [INFO] Add Net-(D74-A) net
13:31:20: [INFO] Add Net-(D75-A) net
13:31:20: [INFO] Add Net-(D76-A) net
13:31:20: [INFO] Add Net-(D77-A) net
13:31:20: [INFO] Add Net-(D78-A) net
13:31:20: [INFO] Add Net-(D79-A) net
13:31:20: [INFO] Add Net-(D8-A) net
13:31:20: [INFO] Add Net-(D80-A) net
13:31:20: [INFO] Add Net-(D81-A) net
13:31:20: [INFO] Add Net-(D82-A) net
13:31:20: [INFO] Add Net-(D83-A) net
13:31:20: [INFO] Add Net-(D84-A) net
13:31:20: [INFO] Add Net-(D85-A) net
13:31:20: [INFO] Add Net-(D86-A) net
13:31:20: [INFO] Add Net-(D87-A) net
13:31:20: [INFO] Add Net-(D88-A) net
13:31:20: [INFO] Add Net-(D89-A) net
13:31:20: [INFO] Add Net-(D9-A) net
13:31:20: [INFO] Add Net-(D90-A) net
13:31:20: [INFO] Add Net-(D91-A) net
13:31:20: [INFO] Add Net-(D92-A) net
13:31:20: [INFO] Add Net-(D93-A) net
13:31:20: [INFO] Add Net-(D94-A) net
13:31:20: [INFO] Add Net-(D95-A) net
13:31:20: [INFO] Add Net-(D96-A) net
13:31:20: [INFO] Add ROW0 net
13:31:20: [INFO] Add ROW1 net
13:31:20: [INFO] Add ROW2 net
13:31:20: [INFO] Add ROW3 net
