=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOBGAOgFYBfLcABg0szgmniUhdfHIWvzqowCYe1AMyCMAFlHFRANlEB2UQA5RATlH5aFLty0Z8ArAzxI06CrnhEyu-CIC6GAFBhwFgiQ7h8NOkaaJWNk9vHQRvAzCMEQpvCRiMKUMoYxRTZB4ACzwrYIxpAB0AOyKi6k16cCzLD3i5EuLCst9k-0CWdnjleLV4jR4Q0K89CL8EVNMeNxze6IrGMbboXIKG0r1+jDrVxvWHZ1GTNMnsmoQ+HyT55jaOs-WKc4jwc9nn8R5zxIqADzw+QkonnOXTuPTufQeekG530zSu4zMOBO1nBswOARuQLy9TW0M2OJ23D2Ll+8GkJAoAE88ABaSgUhDwtLpChVdwo8BCbHbJpJNnTBBcrb1JrEiDU+B0hmuZGeLnldGLW6c+6C-g8LmvLlxNVfCCkuD-QEULkglVglUQtX4QZc2GXFLM47VDl2tEtBaYk3ckWqlXChpccBij2HCbmWUUMQXBDRwbRvgE7zlcDRoRJmOKm4R+BCTzR4gZhUy3P5jCKItwx1HMsaStRqH12PDZpTU6pvT2Jwkv7thMZ+NRAdV1rZpFkssreohEdjJ21yjDhs24chg3-Dn97bhHhpjNPaNifez66BZ2GsuF7fqpJuPhlivXkahhGoZXRlTH5eLp+7xu-tde03fgM1ePdrzA8RQL-K9pyiE8MTPHMLwbKcGm8d0mRrBtHzgyDPwgv860I5d8GgwD4A3ZCBQ7RNrx1LMkPHOA5EnDMGJfJ1qL7f84IkOw7CAA
13:31:27: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:27: [INFO] Matrix size: 4x13
13:31:28: [INFO] Add COL0 net
13:31:28: [INFO] Add COL1 net
13:31:28: [INFO] Add COL10 net
13:31:28: [INFO] Add COL11 net
13:31:28: [INFO] Add COL12 net
13:31:28: [INFO] Add COL13 net
13:31:28: [INFO] Add COL2 net
13:31:28: [INFO] Add COL3 net
13:31:28: [INFO] Add COL4 net
13:31:28: [INFO] Add COL5 net
13:31:28: [INFO] Add COL6 net
13:31:28: [INFO] Add COL7 net
13:31:28: [INFO] Add COL8 net
13:31:28: [INFO] Add COL9 net
13:31:28: [INFO] Add Net-(D1-A) net
13:31:28: [INFO] Add Net-(D10-A) net
13:31:28: [INFO] Add Net-(D11-A) net
13:31:28: [INFO] Add Net-(D12-A) net
13:31:28: [INFO] Add Net-(D13-A) net
13:31:28: [INFO] Add Net-(D14-A) net
13:31:28: [INFO] Add Net-(D15-A) net
13:31:28: [INFO] Add Net-(D16-A) net
13:31:28: [INFO] Add Net-(D17-A) net
13:31:28: [INFO] Add Net-(D18-A) net
13:31:28: [INFO] Add Net-(D19-A) net
13:31:28: [INFO] Add Net-(D2-A) net
13:31:28: [INFO] Add Net-(D20-A) net
13:31:28: [INFO] Add Net-(D21-A) net
13:31:28: [INFO] Add Net-(D22-A) net
13:31:28: [INFO] Add Net-(D23-A) net
13:31:28: [INFO] Add Net-(D24-A) net
13:31:28: [INFO] Add Net-(D25-A) net
13:31:28: [INFO] Add Net-(D26-A) net
13:31:28: [INFO] Add Net-(D27-A) net
13:31:28: [INFO] Add Net-(D28-A) net
13:31:28: [INFO] Add Net-(D29-A) net
13:31:28: [INFO] Add Net-(D3-A) net
13:31:28: [INFO] Add Net-(D30-A) net
13:31:28: [INFO] Add Net-(D31-A) net
13:31:28: [INFO] Add Net-(D32-A) net
13:31:28: [INFO] Add Net-(D33-A) net
13:31:28: [INFO] Add Net-(D34-A) net
13:31:28: [INFO] Add Net-(D35-A) net
13:31:28: [INFO] Add Net-(D36-A) net
13:31:28: [INFO] Add Net-(D37-A) net
13:31:28: [INFO] Add Net-(D38-A) net
13:31:28: [INFO] Add Net-(D39-A) net
13:31:28: [INFO] Add Net-(D4-A) net
13:31:28: [INFO] Add Net-(D40-A) net
13:31:28: [INFO] Add Net-(D41-A) net
13:31:28: [INFO] Add Net-(D42-A) net
13:31:28: [INFO] Add Net-(D43-A) net
13:31:28: [INFO] Add Net-(D44-A) net
13:31:28: [INFO] Add Net-(D45-A) net
13:31:28: [INFO] Add Net-(D46-A) net
13:31:28: [INFO] Add Net-(D47-A) net
13:31:28: [INFO] Add Net-(D48-A) net
13:31:28: [INFO] Add Net-(D49-A) net
13:31:28: [INFO] Add Net-(D5-A) net
13:31:28: [INFO] Add Net-(D50-A) net
13:31:28: [INFO] Add Net-(D51-A) net
13:31:28: [INFO] Add Net-(D52-A) net
13:31:28: [INFO] Add Net-(D53-A) net
13:31:28: [INFO] Add Net-(D54-A) net
13:31:28: [INFO] Add Net-(D55-A) net
13:31:28: [INFO] Add Net-(D56-A) net
13:31:28: [INFO] Add Net-(D57-A) net
13:31:28: [INFO] Add Net-(D58-A) net
