=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsKA0dwE9aKQJybgDGe4AxAOw23gC+xC6C4AuugFBhR4DMSKsVzwAtMgIYsZeJRLyFDYgEZ0y8JgjR4ADiQAWFIyyqAbOy49tcZYOF5xhIypYaszdZt7xlyQ8fBmKjcIGSwKAEMo6LdwAHc8ACYA1SoAHQA7TMzmVi9rWz5nE3R0rPKPWIwy7IzKjm4tPGQi+zFkZQDE1warPGU+NrhHSWIwuQV5JSxu816mn1QhkalSckjoqNiExeLwQby4UPXJqa61EO8bZAQAwfNibuCvcY3N7f7UO9KLRquO1YiYYdAL6HqWBY2JCDLBAkbEHZQqh7DCHY6yCinMigi75PAEaF7MEPLAYEno8K0OgIpJIRJEn7zK62BCrV6bLY0+CJOl7IRotYYrHTcCmXFHK56HQBMUk8BCcmC8IciIfRbImWlWqZVSHeVa8o61x4+DIVaInka4himrlVTqJkFJCsrlQvY6Y0SgoCNCu2zuxkQ8AAJ363Sw1hQzsBDlMzrGJ1OIuYiViqlTTHQfDTWd+fXg+iQpnOGawg1L4G62eIg2zjrwhZ0DIrGArYOrpNz9fgUb4morQgrYo7+rrQescbFWAtAQ9iW1GW6AvZHLVUPps6zC6XechUZdsIcEnNnwDDvHeEnQxabMTkzXPI3xDn2-FFMoKpFHr4r-Pf1DYjKOGkoGDGYg8h60h3ooKToPosTMCgOZIZmcwXro0bnPBNZwbE3QoWW6BId2cB6MkxBgthnZUeAYIEeAGDEehcBUIIexijRQg0WK9FCExfzWKxyKupaAbwSRvioGBwJOAmGKfn6XzPkR7BsEAA
13:33:07: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:33:07: [INFO] Matrix size: 8x7
13:33:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:07: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:33:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:07: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:33:07: [INFO] Add COL0 net
13:33:07: [INFO] Add COL1 net
13:33:07: [INFO] Add COL2 net
13:33:07: [INFO] Add COL3 net
13:33:07: [INFO] Add COL4 net
13:33:07: [INFO] Add COL5 net
13:33:07: [INFO] Add COL6 net
13:33:07: [INFO] Add COL7 net
13:33:07: [INFO] Add Net-(D1-A) net
13:33:07: [INFO] Add Net-(D10-A) net
13:33:07: [INFO] Add Net-(D11-A) net
13:33:07: [INFO] Add Net-(D12-A) net
13:33:07: [INFO] Add Net-(D13-A) net
13:33:07: [INFO] Add Net-(D14-A) net
13:33:07: [INFO] Add Net-(D15-A) net
13:33:07: [INFO] Add Net-(D16-A) net
13:33:07: [INFO] Add Net-(D17-A) net
13:33:07: [INFO] Add Net-(D18-A) net
13:33:07: [INFO] Add Net-(D19-A) net
13:33:07: [INFO] Add Net-(D2-A) net
13:33:07: [INFO] Add Net-(D20-A) net
13:33:07: [INFO] Add Net-(D21-A) net
13:33:07: [INFO] Add Net-(D22-A) net
13:33:07: [INFO] Add Net-(D23-A) net
13:33:07: [INFO] Add Net-(D24-A) net
13:33:07: [INFO] Add Net-(D25-A) net
13:33:07: [INFO] Add Net-(D26-A) net
13:33:07: [INFO] Add Net-(D27-A) net
13:33:07: [INFO] Add Net-(D28-A) net
13:33:07: [INFO] Add Net-(D29-A) net
13:33:07: [INFO] Add Net-(D3-A) net
13:33:07: [INFO] Add Net-(D30-A) net
13:33:07: [INFO] Add Net-(D31-A) net
13:33:07: [INFO] Add Net-(D32-A) net
13:33:07: [INFO] Add Net-(D33-A) net
13:33:07: [INFO] Add Net-(D34-A) net
13:33:07: [INFO] Add Net-(D35-A) net
13:33:07: [INFO] Add Net-(D36-A) net
13:33:07: [INFO] Add Net-(D37-A) net
13:33:07: [INFO] Add Net-(D38-A) net
13:33:07: [INFO] Add Net-(D39-A) net
13:33:07: [INFO] Add Net-(D4-A) net
13:33:07: [INFO] Add Net-(D40-A) net
13:33:07: [INFO] Add Net-(D41-A) net
13:33:07: [INFO] Add Net-(D42-A) net
13:33:07: [INFO] Add Net-(D43-A) net
13:33:07: [INFO] Add Net-(D44-A) net
13:33:07: [INFO] Add Net-(D45-A) net
13:33:07: [INFO] Add Net-(D46-A) net
13:33:07: [INFO] Add Net-(D47-A) net
13:33:07: [INFO] Add Net-(D48-A) net
13:33:07: [INFO] Add Net-(D49-A) net
13:33:07: [INFO] Add Net-(D5-A) net
13:33:07: [INFO] Add Net-(D50-A) net
13:33:07: [INFO] Add Net-(D51-A) net
13:33:07: [INFO] Add Net-(D52-A) net
13:33:07: [INFO] Add Net-(D53-A) net
13:33:07: [INFO] Add Net-(D54-A) net
13:33:07: [INFO] Add Net-(D55-A) net
13:33:07: [INFO] Add Net-(D56-A) net
13:33:07: [INFO] Add Net-(D57-A) net
13:33:07: [INFO] Add Net-(D58-A) net
13:33:07: [INFO] Add Net-(D59-A) net
13:33:07: [INFO] Add Net-(D6-A) net
13:33:07: [INFO] Add Net-(D60-A) net
13:33:07: [INFO] Add Net-(D61-A) net
13:33:07: [INFO] Add Net-(D62-A) net
13:33:07: [INFO] Add Net-(D63-A) net
13:33:07: [INFO] Add Net-(D64-A) net
13:33:07: [INFO] Add Net-(D65-A) net
13:33:07: [INFO] Add Net-(D66-A) net
13:33:07: [INFO] Add Net-(D7-A) net
13:33:07: [INFO] Add Net-(D8-A) net
13:33:07: [INFO] Add Net-(D9-A) net
13:33:07: [INFO] Add ROW0 net
13:33:07: [INFO] Add ROW1 net
13:33:07: [INFO] Add ROW2 net
13:33:07: [INFO] Add ROW3 net
13:33:07: [INFO] Add ROW4 net
13:33:07: [INFO] Add ROW5 net
13:33:07: [INFO] Add ROW6 net
13:33:07: [INFO] Add ROW7 net
13:33:07: [INFO] Add ROW8 net
13:33:07: [INFO] Add SW1 footprint
13:33:07: [INFO] Add D1 footprint
13:33:07: [INFO] Add SW2 footprint
13:33:07: [INFO] Add D2 footprint
13:33:07: [INFO] Add SW3 footprint
13:33:07: [INFO] Add D3 footprint
13:33:07: [INFO] Add SW4 footprint
13:33:07: [INFO] Add D4 footprint
13:33:08: [INFO] Add SW5 footprint
13:33:08: [INFO] Add D5 footprint
13:33:08: [INFO] Add SW6 footprint
13:33:08: [INFO] Add D6 footprint
13:33:08: [INFO] Add SW7 footprint
13:33:08: [INFO] Add D7 footprint
13:33:08: [INFO] Add SW8 footprint
13:33:08: [INFO] Add D8 footprint
13:33:08: [INFO] Add SW9 footprint
13:33:08: [INFO] Add D9 footprint
13:33:08: [INFO] Add SW10 footprint
13:33:08: [INFO] Add D10 footprint
13:33:08: [INFO] Add SW11 footprint
13:33:08: [INFO] Add D11 footprint
13:33:08: [INFO] Add SW12 footprint
13:33:08: [INFO] Add D12 footprint
13:33:08: [INFO] Add SW13 footprint
13:33:08: [INFO] Add D13 footprint
13:33:08: [INFO] Add SW14 footprint
13:33:08: [INFO] Add D14 footprint
13:33:08: [INFO] Add SW15 footprint
13:33:08: [INFO] Add D15 footprint
13:33:08: [INFO] Add ST15 footprint
