=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:09: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsKA0dwE9aKQOybgDGe4AxAdTeAL7ECM6C4mE08jAbEgsWXiUAhqLH1i-RgBZwAXXQAoMFDwBmQsVzwAtMgCcGLIKwUS5ixKz8ATGzgc8ADiTcG19I0bylKznEZNLG04PSRDd3B+VklPe0cuZDdYxjt2UnIKMXFiAHc8G0ipNQAdADty8uj41XgNAiLPUoqWqXtwaU9GSta4hWUE-DUjHDwwxkibFhr-HiRpSc9Zfr88RjUtMYMRk0oLS0jmLx8B2oDUTd1tgUzs0Xb8rlRDuPTds32yF7SHM8ZkBAvVLtI5qGrvO7CB5rZ5MJYnVbwZCMEYhcaRDasFaDQIbYJbcJ5GEEFCLbxvTKfL7EKY-Qb6JDDMnkrBTYEUoRUGjUaHwGxIGykmlNBE4vg7W53XlwfmCjGvX7vKlWcAbOlnFxOeXHYgbdmKyXZaWBEnasHYv4EJDMfFXQgSzncnna5a+MUIVEEwU3TmQ42wrCdbwW2a8G2jO0kn2mJ0EFVBn4dEXEIOu04AJzW-Cw-mkhNtoV4Huje0+Kv4YNisliKHa-G4orOeYWcMrWGY1fb6FrcIbIbwee4QtZ6Db4CmnfH3faUz7brOKGt8rHG0nGx7WA2c9O-l4wyJfIFw6TG4gEKlkU628RcDzTk9dsMB-Ox865vnmd0-2I-k1l1C-LFsYlJlo0caxE4dboPoUH-I2v6Mi84FdpBcIwXCcH9vALhoIsyFTqhI7oSOmHzghEy6ug+EbIRqrQe0epYmRzjWs+-Kmim6CQVhATIE43D-mET7Ab6UrPoEr6eFichAA
13:33:09: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:33:09: [INFO] Matrix size: 4x14
13:33:10: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:10: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:10: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:10: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:33:10: [INFO] Add COL0 net
13:33:10: [INFO] Add COL1 net
13:33:10: [INFO] Add COL10 net
13:33:10: [INFO] Add COL11 net
13:33:10: [INFO] Add COL12 net
13:33:10: [INFO] Add COL13 net
13:33:10: [INFO] Add COL14 net
13:33:10: [INFO] Add COL2 net
13:33:10: [INFO] Add COL3 net
13:33:10: [INFO] Add COL4 net
13:33:10: [INFO] Add COL5 net
13:33:10: [INFO] Add COL6 net
13:33:10: [INFO] Add COL7 net
13:33:10: [INFO] Add COL8 net
13:33:10: [INFO] Add COL9 net
13:33:10: [INFO] Add Net-(D1-A) net
13:33:10: [INFO] Add Net-(D10-A) net
13:33:10: [INFO] Add Net-(D11-A) net
13:33:10: [INFO] Add Net-(D12-A) net
13:33:10: [INFO] Add Net-(D13-A) net
13:33:10: [INFO] Add Net-(D14-A) net
13:33:10: [INFO] Add Net-(D15-A) net
13:33:10: [INFO] Add Net-(D16-A) net
13:33:10: [INFO] Add Net-(D17-A) net
13:33:10: [INFO] Add Net-(D18-A) net
13:33:10: [INFO] Add Net-(D19-A) net
13:33:10: [INFO] Add Net-(D2-A) net
13:33:10: [INFO] Add Net-(D20-A) net
13:33:10: [INFO] Add Net-(D21-A) net
13:33:10: [INFO] Add Net-(D22-A) net
13:33:10: [INFO] Add Net-(D23-A) net
13:33:10: [INFO] Add Net-(D24-A) net
13:33:10: [INFO] Add Net-(D25-A) net
13:33:10: [INFO] Add Net-(D26-A) net
13:33:10: [INFO] Add Net-(D27-A) net
13:33:10: [INFO] Add Net-(D28-A) net
13:33:10: [INFO] Add Net-(D29-A) net
13:33:10: [INFO] Add Net-(D3-A) net
13:33:10: [INFO] Add Net-(D30-A) net
13:33:10: [INFO] Add Net-(D31-A) net
13:33:10: [INFO] Add Net-(D32-A) net
13:33:10: [INFO] Add Net-(D33-A) net
13:33:10: [INFO] Add Net-(D34-A) net
13:33:10: [INFO] Add Net-(D35-A) net
13:33:10: [INFO] Add Net-(D36-A) net
13:33:10: [INFO] Add Net-(D37-A) net
13:33:10: [INFO] Add Net-(D38-A) net
13:33:10: [INFO] Add Net-(D39-A) net
13:33:10: [INFO] Add Net-(D4-A) net
13:33:10: [INFO] Add Net-(D40-A) net
13:33:10: [INFO] Add Net-(D41-A) net
13:33:10: [INFO] Add Net-(D42-A) net
13:33:10: [INFO] Add Net-(D43-A) net
13:33:10: [INFO] Add Net-(D44-A) net
13:33:10: [INFO] Add Net-(D45-A) net
13:33:10: [INFO] Add Net-(D46-A) net
13:33:10: [INFO] Add Net-(D47-A) net
13:33:10: [INFO] Add Net-(D48-A) net
13:33:10: [INFO] Add Net-(D49-A) net
13:33:10: [INFO] Add Net-(D5-A) net
13:33:10: [INFO] Add Net-(D50-A) net
13:33:10: [INFO] Add Net-(D51-A) net
13:33:10: [INFO] Add Net-(D52-A) net
13:33:10: [INFO] Add Net-(D53-A) net
13:33:10: [INFO] Add Net-(D54-A) net
13:33:10: [INFO] Add Net-(D55-A) net
13:33:10: [INFO] Add Net-(D56-A) net
13:33:10: [INFO] Add Net-(D57-A) net
13:33:10: [INFO] Add Net-(D58-A) net
13:33:10: [INFO] Add Net-(D59-A) net
13:33:10: [INFO] Add Net-(D6-A) net
13:33:10: [INFO] Add Net-(D60-A) net
13:33:10: [INFO] Add Net-(D61-A) net
13:33:10: [INFO] Add Net-(D62-A) net
13:33:10: [INFO] Add Net-(D63-A) net
13:33:10: [INFO] Add Net-(D64-A) net
13:33:10: [INFO] Add Net-(D65-A) net
13:33:10: [INFO] Add Net-(D66-A) net
13:33:10: [INFO] Add Net-(D67-A) net
13:33:10: [INFO] Add Net-(D68-A) net
13:33:10: [INFO] Add Net-(D69-A) net
13:33:10: [INFO] Add Net-(D7-A) net
13:33:10: [INFO] Add Net-(D70-A) net
13:33:10: [INFO] Add Net-(D8-A) net
13:33:10: [INFO] Add Net-(D9-A) net
13:33:10: [INFO] Add ROW0 net
13:33:10: [INFO] Add ROW1 net
13:33:10: [INFO] Add ROW2 net
13:33:10: [INFO] Add ROW3 net
13:33:10: [INFO] Add ROW4 net
13:33:10: [INFO] Add SW1 footprint
13:33:10: [INFO] Add D1 footprint
13:33:10: [INFO] Add SW2 footprint
13:33:10: [INFO] Add D2 footprint
13:33:10: [INFO] Add SW3 footprint
