=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIBDI48AXw3AAY1LwLqBGOzahZiHecPLXvs+mgDM7KLkpIE6TJ3wB2BYoEs0AFlHR4EqRVnc+-cipTMqaAGynqcq2gAcG8ZOnZc3YiSNmAnLYa1BBiZAtgwITThtFz0eAxwvRhFA9UCTQMswsS1nBLQGG0yIqN03Qg8CZTMGB0DfQQRaAF00ACgwLMRUCgBPJx0ZUrj4igYaU1HgzFHQqeFHbKkvUZTZtNmM2YLZmtm62f9xvMnwCZmTvKT9lfOGNZuNjlLyiooAd1wEJby5AB0AO3+-2oATg4T6KC+1UODD25wa8zgDCQlEhvwB6MYpgQ30BGLy4GabQgAAsPl4hDRcf8JgjigMuLEDJVsUIqX9sZMwQsIRRsZQ2aMQeAOVi0DNHgznqZSfBPhQKaz0f8+bTnCUGUNTO94EieZhsddsXdsRthWgtmadmbYRyhRzjhyzhzLmaGIa8sa8g9wNrEahyV62RSQVzImr6fgpV4OVaOTaxSGOki5NFSoolG9cEj+uAZYg3mwdV1MMTC4iKJAywBaKIB-JB-GE9oRbOpjVxSoKtkiwrggP8pV-QWmCnHCnipPhn1ZpApgPXCl3CmmikWilWimw0dC0djvJnUcu0cLj2iGLphRaj45eU4wfBhGqZHq-CauvmBtMJsSyPlK9FxYKFUNQ2XMfEgLQFBQPA0EOjpVx2yZLxgIHXEUNMYCGDZdCIIQNl0ETc8L2lMkKHQRVcQI1UcxiKVM1lG9MGA1RoMIwYO2QiwMPNbirWA2FMKFTDjkws5MJdTDrkwtYf3cP96M6OcIPrQc5DGXsALbeRiM4mEEVbF85I8f8-SUpi71xNSRMDVTG1aZtrxcX05UwAjsPU2CYjfMixXwjzQwMiMjJIBTWy8dAWMHOx-OnTTwsgtlosTX0wp8j8opi31zEY8B0H8RLMpnQDXLySLcSS0QUpyvKoIy5Kir1XKbPKwq4p8lSWsTIopyI9NKjyq08thdB4W-DpkBcXpuUMspjIoPMXKa1D0Uws92KQ5T3OsvDBzy7iKPRPaNLDGinnkzAqsaiKCuOdBapazlYr9K6LBuyrcDkeL8oyx7Lq++70Wi27msBmCID+9q0Qegl7NDIRiwQ18OPara1slc6nsW8i-K-WHxoRqaTq0-RkfM5b-mAsS8ncqmdsosV9r8tgxoiCb4vJv5KdMPKae53zdoZnyDv+EaCUaIA
13:36:48: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:48: [INFO] Matrix size: 5x20
13:36:49: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:49: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:49: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:49: [INFO] Add COL0 net
13:36:49: [INFO] Add COL1 net
13:36:49: [INFO] Add COL10 net
13:36:49: [INFO] Add COL11 net
13:36:49: [INFO] Add COL12 net
13:36:49: [INFO] Add COL13 net
13:36:49: [INFO] Add COL14 net
13:36:49: [INFO] Add COL15 net
13:36:49: [INFO] Add COL16 net
13:36:49: [INFO] Add COL17 net
13:36:49: [INFO] Add COL18 net
13:36:49: [INFO] Add COL19 net
13:36:49: [INFO] Add COL2 net
13:36:49: [INFO] Add COL20 net
13:36:49: [INFO] Add COL3 net
13:36:49: [INFO] Add COL4 net
13:36:49: [INFO] Add COL5 net
13:36:49: [INFO] Add COL6 net
13:36:49: [INFO] Add COL7 net
13:36:49: [INFO] Add COL8 net
13:36:49: [INFO] Add COL9 net
13:36:49: [INFO] Add Net-(D1-A) net
13:36:49: [INFO] Add Net-(D10-A) net
13:36:49: [INFO] Add Net-(D100-A) net
13:36:49: [INFO] Add Net-(D101-A) net
13:36:49: [INFO] Add Net-(D102-A) net
13:36:49: [INFO] Add Net-(D103-A) net
13:36:49: [INFO] Add Net-(D104-A) net
13:36:49: [INFO] Add Net-(D105-A) net
13:36:49: [INFO] Add Net-(D106-A) net
13:36:49: [INFO] Add Net-(D107-A) net
13:36:49: [INFO] Add Net-(D108-A) net
13:36:49: [INFO] Add Net-(D109-A) net
13:36:49: [INFO] Add Net-(D11-A) net
13:36:49: [INFO] Add Net-(D110-A) net
13:36:49: [INFO] Add Net-(D111-A) net
13:36:49: [INFO] Add Net-(D112-A) net
13:36:49: [INFO] Add Net-(D113-A) net
13:36:49: [INFO] Add Net-(D114-A) net
13:36:49: [INFO] Add Net-(D115-A) net
13:36:49: [INFO] Add Net-(D12-A) net
13:36:49: [INFO] Add Net-(D13-A) net
13:36:49: [INFO] Add Net-(D14-A) net
13:36:49: [INFO] Add Net-(D15-A) net
13:36:49: [INFO] Add Net-(D16-A) net
13:36:49: [INFO] Add Net-(D17-A) net
13:36:49: [INFO] Add Net-(D18-A) net
13:36:49: [INFO] Add Net-(D19-A) net
13:36:49: [INFO] Add Net-(D2-A) net
