=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIE9wLgAgIwDoAMBWANHcBjW2BiAdhNPC3AHd8AmAXwpQwQB0A7d9gZmfLggAe+ZDXqMMKThzY8UfCHnjgCOVWvANsTVtO4T54IfARdUPbIsIBDG7b5Vam8ADZmU9gn1ZB+FEiKYFvjKaupOrjpSnggGlsq2duES7mzR4AC6GABQYIa0SACcRBTUxkhoTp5y3rjBKqF4lbw1Rog05VxOxTE1cQQJNvaliOVd+pk5PvDtABzF2MPIAU40Xvy1SvWhGhSrPeutCO00nRQzzet9pGQlwv4VZ+PZuX0DVkN3NA-YsinasXUGo0KDxItJ-i1fEgACzzDbWAYfaZIL5OX66NhMaqXQENHY-DA0AyHZBoU7YAqEgGba4kfHgSlg9irbEKOpvJEjVEUSmSDEs4lQr63ZHcinJfm8Ca5VrtIpOaFrcCK-bKqmQ4yk8zw5S0oj0hBMIkUQ0XcCmuTSiDQeAAWj8BUC4AAzgBbYIAJwA9gAXAD6AFMcAgYk5MDQUiqUikA6y8vACkgEE63cF6eHI2splzvubPBGMZg460ZkgZin3Upvf6gyGDfmUpgmRj2LGMs9s4mZqsgpsORRU0p01n4yMCghKlV25NwB7hExsB7ZfcKB6bXBTAEKMvhdh17bTLudVswuJjVoMFx7ExodeMGh7JgH1bR+1lib1dhPFeP7ePw+KEwW8X1aUwUBWT9wFWH9sFWP9YPvR9L2nGV8FMXMeBg8AeHg7DEMAqUO1HTcnVeRERRzBVkJfOd4C3RdDj8J013wNAV2wQ5UAofc2KPPogU5UlKhvFDs2QBcHDKXNTWfIjaLgW16NnVoJJY+AnRUpNuPwIhygooSKEVYCiM0zwFjuXNFVkmd5NtU0GOEHtZ3XaEUQ0iztLtY5pM8ADsFcPyXAwXDXCw1wiRA4RJ2C+xikC4pcOKLDigikyoXfL9v3sc5AvOXDziw85UpnTixTzM1KUCylcMpK9IvgEiKDIhJBLc4TqPSIA
13:39:40: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:39:40: [INFO] Matrix size: 11x5
13:39:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:41: [INFO] Add COL0 net
13:39:41: [INFO] Add COL1 net
13:39:41: [INFO] Add COL2 net
13:39:41: [INFO] Add COL3 net
13:39:41: [INFO] Add COL4 net
13:39:41: [INFO] Add COL5 net
13:39:41: [INFO] Add Net-(D1-A) net
13:39:41: [INFO] Add Net-(D10-A) net
13:39:41: [INFO] Add Net-(D11-A) net
13:39:41: [INFO] Add Net-(D12-A) net
13:39:41: [INFO] Add Net-(D13-A) net
13:39:41: [INFO] Add Net-(D14-A) net
13:39:41: [INFO] Add Net-(D15-A) net
13:39:41: [INFO] Add Net-(D16-A) net
13:39:41: [INFO] Add Net-(D17-A) net
13:39:41: [INFO] Add Net-(D18-A) net
13:39:41: [INFO] Add Net-(D19-A) net
13:39:41: [INFO] Add Net-(D2-A) net
13:39:41: [INFO] Add Net-(D20-A) net
13:39:41: [INFO] Add Net-(D21-A) net
13:39:41: [INFO] Add Net-(D22-A) net
13:39:41: [INFO] Add Net-(D23-A) net
13:39:41: [INFO] Add Net-(D24-A) net
13:39:41: [INFO] Add Net-(D25-A) net
13:39:41: [INFO] Add Net-(D26-A) net
13:39:41: [INFO] Add Net-(D27-A) net
13:39:41: [INFO] Add Net-(D28-A) net
13:39:41: [INFO] Add Net-(D29-A) net
13:39:41: [INFO] Add Net-(D3-A) net
13:39:41: [INFO] Add Net-(D30-A) net
13:39:41: [INFO] Add Net-(D31-A) net
13:39:41: [INFO] Add Net-(D32-A) net
13:39:41: [INFO] Add Net-(D33-A) net
13:39:41: [INFO] Add Net-(D34-A) net
13:39:41: [INFO] Add Net-(D35-A) net
13:39:41: [INFO] Add Net-(D36-A) net
13:39:41: [INFO] Add Net-(D37-A) net
13:39:41: [INFO] Add Net-(D38-A) net
