=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:54: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgJwDoDsBWANHcBjW2BiFYk8AXy3AA4MAGcAXQwCgwp9l0LsaBGRlm2jxOabtQwAmAawjC4VJJMzYAnvl6U88cARz6D4SgGcAtvnAAnAPYAXAPoBTHL37iaaADoA7Hz8kYvH6+IcGO-FgQACb4tpYAro7uGF6h3gG0wVkhjtJMsrgWRCTERthmFuSUAMx02bSBZRAVOjYOzq5V2LWZaQ292WH0kezwvNVKYpQoKdmaA2lh0iMt2F3gM6nBmvz5Qvgok5Tq8LRH2NqEBobitQAsZRt1aT2PM7uCcviKyibmrXYnC43NNnsFakFFmlHNUZGxLBoGth5BMVOATnAALSKXgBcr-NbiBqwvZfeCSJBojGYs5UKhEqRNUZwXhIWgMh6UBpoOFkuBnKn4GmoNGXXQlUoM4ZwCBivTXPAMj4FFGU45Cs7VFDiTQkz7MimC+DCuk6xkjeSs9mUTSc7CaHmk5kC9XGs7oLRFACGPt963mTLlCsVNsaTtVRqxmu1lACepV+ENrqjSFNsfNMuZVvEATt4ACjv18hdag1Is9OgIvr9ObogaKwfWAWV+3gADZzuj8CXCpXqz7HgALDSU24YeOtuB3TvU91o4djUc1RojBcspfdRlOhHG3hIqyW6do+SYo-Js-YNesqbYGZ5ItC1HJ4Uey8jm9PWGr9-iGYPbeWmg5bIo+bLJpqNAXA2CrrHcW4PsaQH7rOqb0pQcHSuAcERJmlpsuIcETnymJWs+c4ERgdqyt6-awSkvLMpiEzIWWWoVlcMHiJg94JohYGlm6qFcXWlCYDhfLZqJ44MSepECSmXBSVRvaEBKKDrJgha8VizFkUgbFQZWjbiG28HaZiSF6Wm2CmZhpniVm+GUKZRGMXJXaCYpNmUfWfa0SZ9EMAwQA
13:39:54: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:39:54: [INFO] Matrix size: 8x5
13:39:54: [INFO] Add COL0 net
13:39:54: [INFO] Add COL1 net
13:39:54: [INFO] Add COL2 net
13:39:54: [INFO] Add COL3 net
13:39:54: [INFO] Add COL4 net
13:39:54: [INFO] Add COL5 net
13:39:54: [INFO] Add Net-(D1-A) net
13:39:54: [INFO] Add Net-(D10-A) net
13:39:54: [INFO] Add Net-(D11-A) net
13:39:54: [INFO] Add Net-(D12-A) net
13:39:54: [INFO] Add Net-(D13-A) net
13:39:54: [INFO] Add Net-(D14-A) net
13:39:54: [INFO] Add Net-(D15-A) net
13:39:54: [INFO] Add Net-(D16-A) net
13:39:54: [INFO] Add Net-(D17-A) net
13:39:54: [INFO] Add Net-(D18-A) net
13:39:54: [INFO] Add Net-(D19-A) net
13:39:54: [INFO] Add Net-(D2-A) net
13:39:54: [INFO] Add Net-(D20-A) net
13:39:54: [INFO] Add Net-(D21-A) net
13:39:54: [INFO] Add Net-(D22-A) net
13:39:54: [INFO] Add Net-(D23-A) net
13:39:54: [INFO] Add Net-(D24-A) net
13:39:54: [INFO] Add Net-(D25-A) net
13:39:54: [INFO] Add Net-(D26-A) net
13:39:54: [INFO] Add Net-(D27-A) net
13:39:54: [INFO] Add Net-(D28-A) net
13:39:54: [INFO] Add Net-(D29-A) net
13:39:54: [INFO] Add Net-(D3-A) net
13:39:54: [INFO] Add Net-(D30-A) net
13:39:54: [INFO] Add Net-(D31-A) net
13:39:54: [INFO] Add Net-(D32-A) net
13:39:54: [INFO] Add Net-(D33-A) net
13:39:54: [INFO] Add Net-(D34-A) net
13:39:54: [INFO] Add Net-(D35-A) net
13:39:54: [INFO] Add Net-(D36-A) net
13:39:54: [INFO] Add Net-(D37-A) net
13:39:54: [INFO] Add Net-(D38-A) net
13:39:54: [INFO] Add Net-(D39-A) net
13:39:54: [INFO] Add Net-(D4-A) net
13:39:54: [INFO] Add Net-(D40-A) net
13:39:54: [INFO] Add Net-(D41-A) net
13:39:54: [INFO] Add Net-(D42-A) net
13:39:54: [INFO] Add Net-(D43-A) net
13:39:54: [INFO] Add Net-(D44-A) net
13:39:54: [INFO] Add Net-(D45-A) net
13:39:54: [INFO] Add Net-(D46-A) net
13:39:54: [INFO] Add Net-(D47-A) net
13:39:54: [INFO] Add Net-(D48-A) net
13:39:54: [INFO] Add Net-(D49-A) net
13:39:54: [INFO] Add Net-(D5-A) net
13:39:54: [INFO] Add Net-(D50-A) net
13:39:54: [INFO] Add Net-(D51-A) net
13:39:54: [INFO] Add Net-(D6-A) net
13:39:54: [INFO] Add Net-(D7-A) net
13:39:54: [INFO] Add Net-(D8-A) net
13:39:54: [INFO] Add Net-(D9-A) net
13:39:54: [INFO] Add ROW0 net
13:39:54: [INFO] Add ROW1 net
13:39:54: [INFO] Add ROW2 net
13:39:54: [INFO] Add ROW3 net
13:39:54: [INFO] Add ROW4 net
13:39:54: [INFO] Add ROW5 net
13:39:54: [INFO] Add ROW6 net
13:39:54: [INFO] Add ROW7 net
13:39:54: [INFO] Add ROW8 net
