=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:24:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsBWANHcBPWikBGTbAY33AGIB2Wu8AXy3AQwXCwmnkIDYkATCXDl4VAIaSpjZq2LgAuhgBQYKPkJJqwvPAC0yABzDR2SqQuWO2AGYam2OdZYYB1rvgCcSXmgcvCN1kMQgBmdxEKSilpZgB3fAF-ORRFFTVuAlDmXTgDImE7eFD-QjYIzL4kND9mMvklVQ8eapz8fONmIrgy7ASW2ux6iNMqSytS1wqvAsnCQmd6oKGQ8M5IsWiY8Wdu7L6NarnUxoz8ZGI2-QvB8AFy9cr+Y397hvTmntQrvKNCjXih20rxCIyi4wsMmw92Wn28KBB82cb1hGzMdHogPgAkEtze4VOn00QmYoy2MWc-TgOKE-myC3WZIh5DpU0e+EMWlu9IZ2HpqLJ2x2WK+wOY9LWcAgZIxtCh4HpJw+6haJLIUSFlMOtOYKAeUvAVOJtz1vKJmlYtnw+0N2pNIQFUVl1F29l1q2cptS7veTXAACcvMx-ZkUK1sP7cjjPMxMnoLT89DjeKTwRD5axJS5vY4MGhnKxeAWMC7CSrfj5JlmyjnwGV83UMEWy3HkDroRgs-da-cGx3m8rMm3uZ3nNla9k+wqm2k-UPw2iJNstQN-HrHZtmSvqbi16Oy4H9DGI5VhJHrQu42hcYnQqhbqxDMXPMXCOxgkiW+1r75Ji7G0+jYvo2b6zmc+jXugIL-h2gEdsBHagV+EFIC84olmOGBwdOCHTkhg7fqhwhUjiYrYKa74GoKy4ipo9qfgoQA
14:24:12: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
14:24:12: [INFO] Matrix size: 4x15
14:24:12: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:24:12: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:24:12: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:24:12: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
14:24:13: [INFO] Add COL0 net
14:24:13: [INFO] Add COL1 net
14:24:13: [INFO] Add COL10 net
14:24:13: [INFO] Add COL11 net
14:24:13: [INFO] Add COL12 net
14:24:13: [INFO] Add COL13 net
14:24:13: [INFO] Add COL14 net
14:24:13: [INFO] Add COL15 net
14:24:13: [INFO] Add COL2 net
14:24:13: [INFO] Add COL3 net
14:24:13: [INFO] Add COL4 net
14:24:13: [INFO] Add COL5 net
14:24:13: [INFO] Add COL6 net
14:24:13: [INFO] Add COL7 net
14:24:13: [INFO] Add COL8 net
14:24:13: [INFO] Add COL9 net
14:24:13: [INFO] Add Net-(D1-A) net
14:24:13: [INFO] Add Net-(D10-A) net
14:24:13: [INFO] Add Net-(D11-A) net
14:24:13: [INFO] Add Net-(D12-A) net
14:24:13: [INFO] Add Net-(D13-A) net
14:24:13: [INFO] Add Net-(D14-A) net
14:24:13: [INFO] Add Net-(D15-A) net
14:24:13: [INFO] Add Net-(D16-A) net
14:24:13: [INFO] Add Net-(D17-A) net
14:24:13: [INFO] Add Net-(D18-A) net
14:24:13: [INFO] Add Net-(D19-A) net
14:24:13: [INFO] Add Net-(D2-A) net
