=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ATAKw5TlKQuuYP4CMReW1P4fAGYB+ACw9S5KnWy9aorADZFyRQA5J4MvBm05grAE5FnQhyyduFzv2LbpNegmjwkAQ09f2vTiIC6WABQYOAAno50DADu5JyU+gycBFquCIisbAbJ1gjJdnlYIklYEiUKJSolaiWaJSYlZgI5ueA5BRBpHl6eArHw8YmFfuCBIRD9cPHIQ+DUKfZdGZnQBvOt8wVzRQLzZQjzFQfKu1g1x3XHDcdNDOu5nUwoaKh95NROa5YBwaFLPb0Yu9PgwhAs4I83MtMj5wGDWmCtmDiggwfs4VgjhiqqizgIwZcMdcMbcIYwoQD3G8BpQZgZ4UjvqNflIaUpZAwxJYtJNBgYuR0HPAlLTnOBeQl+ZZzAgubZmeMhXAxJQhDMGBF4ABaKjqlxPFbQIHCkGyk7+fxAA
13:40:07: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:40:07: [INFO] Matrix size: 4x13
13:40:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:07: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:08: [INFO] Add COL0 net
13:40:08: [INFO] Add COL1 net
13:40:08: [INFO] Add COL10 net
13:40:08: [INFO] Add COL11 net
13:40:08: [INFO] Add COL12 net
13:40:08: [INFO] Add COL13 net
13:40:08: [INFO] Add COL2 net
13:40:08: [INFO] Add COL3 net
13:40:08: [INFO] Add COL4 net
13:40:08: [INFO] Add COL5 net
13:40:08: [INFO] Add COL6 net
13:40:08: [INFO] Add COL7 net
13:40:08: [INFO] Add COL8 net
13:40:08: [INFO] Add COL9 net
13:40:08: [INFO] Add Net-(D1-A) net
13:40:08: [INFO] Add Net-(D10-A) net
13:40:08: [INFO] Add Net-(D11-A) net
13:40:08: [INFO] Add Net-(D12-A) net
13:40:08: [INFO] Add Net-(D13-A) net
13:40:08: [INFO] Add Net-(D14-A) net
13:40:08: [INFO] Add Net-(D15-A) net
13:40:08: [INFO] Add Net-(D16-A) net
13:40:08: [INFO] Add Net-(D17-A) net
13:40:08: [INFO] Add Net-(D18-A) net
13:40:08: [INFO] Add Net-(D19-A) net
13:40:08: [INFO] Add Net-(D2-A) net
13:40:08: [INFO] Add Net-(D20-A) net
13:40:08: [INFO] Add Net-(D21-A) net
13:40:08: [INFO] Add Net-(D22-A) net
13:40:08: [INFO] Add Net-(D23-A) net
13:40:08: [INFO] Add Net-(D24-A) net
13:40:08: [INFO] Add Net-(D25-A) net
