=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0AmArAXwDR3EjgGwA6AdueQAw4Lh4QDGs+AxAIadfi76FKUKZGnQC6OAFBgoLBCgx5wATxZV5i5vHCskuvT0U0q9OBGjw1mDS22M79g-hEnwNNC5oBmDzgAsJs1V0bEMcDB8iAJl4NBQkEPwiHGNFJLoGaLhLBPAk91ScbwL-AvCM8yzg3lziKIq1HKSkcHEpQPg5BXwVC2DrLQ4uTkdwBGSozTZ7B2qx9Pwx-IXClzGS5bLlyPKWWPjqwhS+WhdCJYIVxUJ1i82mG0GhlwB3XYOcASFqcZ3ervBJrZpsxqgBOD4tSTAcBoCG-Sr-QGPbiKV4deTVWFHe4DYEgxSw+YwnDnWFFfCwm6wu6ZPY5AAcP3wjKJjPOjPJ4EZN0Zmy5tQyaMQGMUjOa8IasxozVa0M8cNMmQa-TYQ2GqNkcRy8uxAIeeJG8qJ8vO8s58pu8ppFTpYKZ4HBRPB53BnPBN3BNKRen0GpiVUU4O2ivq6nwSINszGMqh4F8CvaCJV2jV7BeuwD+HjuojwJG8aJ8fO8c58Zu8etGf2igQRlWzhrbnrlwWNHWONVavT6OrrbCkLamQQ9LDyhYAFo1PFkzofc0o7VZRAenBJ31w-q89UFOKQ0FEQ9U93hZht0yIEK5KfFAp5hfNdf8Aolh2gdNj1ecgpPIJyGNdUKsSPuACi+L+ZD-nUVb-IBWoLjmh5dn6wo5AgcxRJeIoLIsA7SBUyCjiua7ThuAxzvONZjJyaF+KsYzhEumQYOuY69FYpFTHmyFAV+fjgehgoPrxP5fBBJyiKIQA
13:41:18: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:41:18: [INFO] Matrix size: 11x7
13:41:18: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:18: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:18: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:18: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:18: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:41:19: [INFO] Add COL0 net
13:41:19: [INFO] Add COL1 net
13:41:19: [INFO] Add COL2 net
13:41:19: [INFO] Add COL3 net
13:41:19: [INFO] Add COL4 net
13:41:19: [INFO] Add COL5 net
13:41:19: [INFO] Add COL6 net
13:41:19: [INFO] Add COL7 net
13:41:19: [INFO] Add Net-(D1-A) net
13:41:19: [INFO] Add Net-(D10-A) net
13:41:19: [INFO] Add Net-(D11-A) net
13:41:19: [INFO] Add Net-(D12-A) net
13:41:19: [INFO] Add Net-(D13-A) net
13:41:19: [INFO] Add Net-(D14-A) net
13:41:19: [INFO] Add Net-(D15-A) net
13:41:19: [INFO] Add Net-(D16-A) net
13:41:19: [INFO] Add Net-(D17-A) net
13:41:19: [INFO] Add Net-(D18-A) net
13:41:19: [INFO] Add Net-(D19-A) net
13:41:19: [INFO] Add Net-(D2-A) net
13:41:19: [INFO] Add Net-(D20-A) net
13:41:19: [INFO] Add Net-(D21-A) net
13:41:19: [INFO] Add Net-(D22-A) net
13:41:19: [INFO] Add Net-(D23-A) net
13:41:19: [INFO] Add Net-(D24-A) net
13:41:19: [INFO] Add Net-(D25-A) net
13:41:19: [INFO] Add Net-(D26-A) net
13:41:19: [INFO] Add Net-(D27-A) net
13:41:19: [INFO] Add Net-(D28-A) net
13:41:19: [INFO] Add Net-(D29-A) net
13:41:19: [INFO] Add Net-(D3-A) net
13:41:19: [INFO] Add Net-(D30-A) net
13:41:19: [INFO] Add Net-(D31-A) net
13:41:19: [INFO] Add Net-(D32-A) net
13:41:19: [INFO] Add Net-(D33-A) net
13:41:19: [INFO] Add Net-(D34-A) net
13:41:19: [INFO] Add Net-(D35-A) net
13:41:19: [INFO] Add Net-(D36-A) net
13:41:19: [INFO] Add Net-(D37-A) net
13:41:19: [INFO] Add Net-(D38-A) net
13:41:19: [INFO] Add Net-(D39-A) net
13:41:19: [INFO] Add Net-(D4-A) net
13:41:19: [INFO] Add Net-(D40-A) net
13:41:19: [INFO] Add Net-(D41-A) net
13:41:19: [INFO] Add Net-(D42-A) net
13:41:19: [INFO] Add Net-(D43-A) net
13:41:19: [INFO] Add Net-(D44-A) net
13:41:19: [INFO] Add Net-(D45-A) net
13:41:19: [INFO] Add Net-(D46-A) net
13:41:19: [INFO] Add Net-(D47-A) net
13:41:19: [INFO] Add Net-(D48-A) net
13:41:19: [INFO] Add Net-(D49-A) net
13:41:19: [INFO] Add Net-(D5-A) net
13:41:19: [INFO] Add Net-(D50-A) net
13:41:19: [INFO] Add Net-(D51-A) net
13:41:19: [INFO] Add Net-(D52-A) net
13:41:19: [INFO] Add Net-(D53-A) net
13:41:19: [INFO] Add Net-(D54-A) net
13:41:19: [INFO] Add Net-(D55-A) net
13:41:19: [INFO] Add Net-(D56-A) net
13:41:19: [INFO] Add Net-(D57-A) net
13:41:19: [INFO] Add Net-(D58-A) net
13:41:19: [INFO] Add Net-(D59-A) net
13:41:19: [INFO] Add Net-(D6-A) net
13:41:19: [INFO] Add Net-(D60-A) net
13:41:19: [INFO] Add Net-(D61-A) net
13:41:19: [INFO] Add Net-(D62-A) net
13:41:19: [INFO] Add Net-(D63-A) net
13:41:19: [INFO] Add Net-(D64-A) net
13:41:19: [INFO] Add Net-(D65-A) net
13:41:19: [INFO] Add Net-(D66-A) net
13:41:19: [INFO] Add Net-(D67-A) net
13:41:19: [INFO] Add Net-(D68-A) net
13:41:19: [INFO] Add Net-(D69-A) net
13:41:19: [INFO] Add Net-(D7-A) net
13:41:19: [INFO] Add Net-(D70-A) net
13:41:19: [INFO] Add Net-(D71-A) net
13:41:19: [INFO] Add Net-(D72-A) net
13:41:19: [INFO] Add Net-(D73-A) net
13:41:19: [INFO] Add Net-(D74-A) net
13:41:19: [INFO] Add Net-(D75-A) net
13:41:19: [INFO] Add Net-(D76-A) net
13:41:19: [INFO] Add Net-(D77-A) net
13:41:19: [INFO] Add Net-(D78-A) net
13:41:19: [INFO] Add Net-(D79-A) net
13:41:19: [INFO] Add Net-(D8-A) net
13:41:19: [INFO] Add Net-(D80-A) net
13:41:19: [INFO] Add Net-(D81-A) net
13:41:19: [INFO] Add Net-(D82-A) net
13:41:19: [INFO] Add Net-(D83-A) net
13:41:19: [INFO] Add Net-(D84-A) net
13:41:19: [INFO] Add Net-(D85-A) net
13:41:19: [INFO] Add Net-(D86-A) net
13:41:19: [INFO] Add Net-(D87-A) net
13:41:19: [INFO] Add Net-(D88-A) net
13:41:19: [INFO] Add Net-(D9-A) net
13:41:19: [INFO] Add ROW0 net
13:41:19: [INFO] Add ROW1 net
13:41:19: [INFO] Add ROW10 net
13:41:19: [INFO] Add ROW11 net
13:41:19: [INFO] Add ROW2 net
13:41:19: [INFO] Add ROW3 net
13:41:19: [INFO] Add ROW4 net
13:41:19: [INFO] Add ROW5 net
13:41:19: [INFO] Add ROW6 net
13:41:19: [INFO] Add ROW7 net
13:41:19: [INFO] Add ROW8 net
13:41:19: [INFO] Add ROW9 net
13:41:19: [INFO] Add SW1 footprint
13:41:19: [INFO] Add D1 footprint
13:41:19: [INFO] Add SW2 footprint
13:41:19: [INFO] Add D2 footprint
13:41:19: [INFO] Add SW3 footprint
13:41:19: [INFO] Add D3 footprint
13:41:19: [INFO] Add SW4 footprint
13:41:19: [INFO] Add D4 footprint
13:41:19: [INFO] Add SW5 footprint
13:41:19: [INFO] Add D5 footprint
13:41:19: [INFO] Add SW6 footprint
13:41:19: [INFO] Add D6 footprint
13:41:19: [INFO] Add SW7 footprint
13:41:19: [INFO] Add D7 footprint
13:41:19: [INFO] Add SW8 footprint
13:41:19: [INFO] Add D8 footprint
13:41:19: [INFO] Add SW9 footprint
13:41:19: [INFO] Add D9 footprint
13:41:19: [INFO] Add SW10 footprint
13:41:19: [INFO] Add D10 footprint
