=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:25: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBPWcAGJBNAXy3AIwXCwmngE4kDzsqBGD8AXQwCgwUfEXQU88ALSjM2AMb5wAYgCGa9eDaUMBWnAgL4yuSdOaKnPfXxcWWzjTrhD2JSnce94AO74E9jA4AZitheA5iMgtAtF4BIQZCVFkfGyQo7A4dUJdjUxNzTMDQxOYSLSyOXQpK7hrAx31U8PSKwJCnRIiqeUU3D3dC8ErYvkFreCIU33h-CgRsp1ylfIKtBbqm0tb5wOrsDc2DPvUNChnESPX2kpFkimWBweuOUfiJpJJzvx3sIMWtjYiD1nH1VgotP8ql4oR0mo8nl4LnM-oEACy3SZXChQt7jMKfaZpDLgNEAj62L7YC4RcoUMlcTFwCLoLQMuGk9FeBl4oQAJy6FC692wEjgQXSDzBqyGULi+L5QIoAuJQp+JKoHKoGOisWiADZ5QkfnSio1hhgOVkdUVeR9kKzduaFhyFjbwAs7QSJabwP9zf8Of93f8vYkJSCEQMkWlfQyctL8jHZmzqAmjP1o98WnGMF7FVIqsrBdhEihIuJ1VKM+ChlQUF4qAAORsYRit6FjY3wfXJNqG+oN+ot+rtrsfFDXAcHDBDmcjmdj94E3sk-7Tv2zmEYBebpf4xKr7OXElk9tLPpPOfNZl9+l7Xg8IA
13:28:25: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:28:25: [INFO] Matrix size: 4x15
13:28:26: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:26: [WARNING] No stabilizer footprint for width 2.5u, using 2u as fallback
13:28:26: [WARNING] No stabilizer footprint for width 2.5u, using 2u as fallback
13:28:26: [INFO] Add COL0 net
13:28:26: [INFO] Add COL1 net
13:28:26: [INFO] Add COL10 net
13:28:26: [INFO] Add COL11 net
13:28:26: [INFO] Add COL12 net
13:28:26: [INFO] Add COL13 net
13:28:26: [INFO] Add COL14 net
13:28:26: [INFO] Add COL15 net
13:28:26: [INFO] Add COL2 net
13:28:26: [INFO] Add COL3 net
13:28:26: [INFO] Add COL4 net
13:28:26: [INFO] Add COL5 net
13:28:26: [INFO] Add COL6 net
13:28:26: [INFO] Add COL7 net
13:28:26: [INFO] Add COL8 net
13:28:26: [INFO] Add COL9 net
13:28:26: [INFO] Add Net-(D1-A) net
13:28:26: [INFO] Add Net-(D10-A) net
13:28:26: [INFO] Add Net-(D11-A) net
13:28:26: [INFO] Add Net-(D12-A) net
13:28:26: [INFO] Add Net-(D13-A) net
13:28:26: [INFO] Add Net-(D14-A) net
13:28:26: [INFO] Add Net-(D15-A) net
13:28:26: [INFO] Add Net-(D16-A) net
13:28:26: [INFO] Add Net-(D17-A) net
13:28:26: [INFO] Add Net-(D18-A) net
13:28:26: [INFO] Add Net-(D19-A) net
13:28:26: [INFO] Add Net-(D2-A) net
13:28:26: [INFO] Add Net-(D20-A) net
13:28:26: [INFO] Add Net-(D21-A) net
13:28:26: [INFO] Add Net-(D22-A) net
13:28:26: [INFO] Add Net-(D23-A) net
13:28:26: [INFO] Add Net-(D24-A) net
13:28:26: [INFO] Add Net-(D25-A) net
13:28:26: [INFO] Add Net-(D26-A) net
13:28:26: [INFO] Add Net-(D27-A) net
13:28:26: [INFO] Add Net-(D28-A) net
13:28:26: [INFO] Add Net-(D29-A) net
13:28:26: [INFO] Add Net-(D3-A) net
