=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:30: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQFiwIzg7j4BMxcEAHrHAAwB0ZArNgvVvZTXU6+3CciOCNHhJIU6ZhKcKcrAGZKQrLlWcWmrADYdAdh0AOHQE4dBbooIiqUOkjTpBwigF0sAKGCllq-A1RcFp4fjYSAi4eEL5mCIQouzFHRGkZQSiFRP9I9VUo7Tz9PKM80zyLPKsCwmSHCRRnZFkcgg9vX3wivD0Y0IZ4wTJo4IHw4cIY8QQ09OhJ7PARlRIRoIQRnuW+tawyzawKw6rDmr3badTmlsn28E8fXngyIZIlUftxt4QPu3APksPqtfvl3lgeilGvMFuDdAAdAB2SKRnGsoIMKORiLRV0aN1aAKOqg+pyJ51Bl3B90eYFi8GMjBYJBmknmqgA7nQyIIPgjsaipu53EA
13:31:30: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:31:30: [INFO] Matrix size: 4x12
13:31:31: [INFO] Add COL0 net
13:31:31: [INFO] Add COL1 net
13:31:31: [INFO] Add COL10 net
13:31:31: [INFO] Add COL11 net
13:31:31: [INFO] Add COL12 net
13:31:31: [INFO] Add COL2 net
13:31:31: [INFO] Add COL3 net
13:31:31: [INFO] Add COL4 net
13:31:31: [INFO] Add COL5 net
13:31:31: [INFO] Add COL6 net
13:31:31: [INFO] Add COL7 net
13:31:31: [INFO] Add COL8 net
13:31:31: [INFO] Add COL9 net
13:31:31: [INFO] Add Net-(D1-A) net
13:31:31: [INFO] Add Net-(D10-A) net
13:31:31: [INFO] Add Net-(D11-A) net
13:31:31: [INFO] Add Net-(D12-A) net
13:31:31: [INFO] Add Net-(D13-A) net
13:31:31: [INFO] Add Net-(D14-A) net
13:31:31: [INFO] Add Net-(D15-A) net
13:31:31: [INFO] Add Net-(D16-A) net
13:31:31: [INFO] Add Net-(D17-A) net
13:31:31: [INFO] Add Net-(D18-A) net
13:31:31: [INFO] Add Net-(D19-A) net
13:31:31: [INFO] Add Net-(D2-A) net
13:31:31: [INFO] Add Net-(D20-A) net
13:31:31: [INFO] Add Net-(D21-A) net
13:31:31: [INFO] Add Net-(D22-A) net
13:31:31: [INFO] Add Net-(D23-A) net
13:31:31: [INFO] Add Net-(D24-A) net
13:31:31: [INFO] Add Net-(D25-A) net
13:31:31: [INFO] Add Net-(D26-A) net
13:31:31: [INFO] Add Net-(D27-A) net
13:31:31: [INFO] Add Net-(D28-A) net
13:31:31: [INFO] Add Net-(D29-A) net
13:31:31: [INFO] Add Net-(D3-A) net
13:31:31: [INFO] Add Net-(D30-A) net
13:31:31: [INFO] Add Net-(D31-A) net
13:31:31: [INFO] Add Net-(D32-A) net
13:31:31: [INFO] Add Net-(D33-A) net
13:31:31: [INFO] Add Net-(D34-A) net
13:31:31: [INFO] Add Net-(D35-A) net
13:31:31: [INFO] Add Net-(D36-A) net
13:31:31: [INFO] Add Net-(D37-A) net
13:31:31: [INFO] Add Net-(D38-A) net
13:31:31: [INFO] Add Net-(D39-A) net
13:31:31: [INFO] Add Net-(D4-A) net
13:31:31: [INFO] Add Net-(D40-A) net
13:31:31: [INFO] Add Net-(D41-A) net
13:31:31: [INFO] Add Net-(D42-A) net
13:31:31: [INFO] Add Net-(D43-A) net
13:31:31: [INFO] Add Net-(D44-A) net
13:31:31: [INFO] Add Net-(D45-A) net
