=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcAGbBAZgB0A7CiwhcXAogFisvJvAF1sAoMKWOPhRIk9AJ4ChyegGMB4AMQBDFavA48xInTgRo8NCml458RTIuX19Qmh16BADmFYbRWl14P4CFAHZxAQBaIQBOWXkFP2iY6zxCfHtwUzwFSysNBlpcb0QhEUyaOxzkyNU1egB3ATRCojJWamxEkv1BFAA2TMYmTh4+NqFiUTwJeBCjTIRe1oEEXw6IszT0uSmiRM8BueFA8bCR0uXylR1wap9hdZbdI9TVtfpp7Nu20JRQ1zxnl-Bn4tuKUUJyUZwuiCuT3qfS8-HgUkOYzgEwQmTQvS2uV8WlGwTCVR2fi+4HRNwgQJW6TiJO0s3g72GaI2Z3R8ySFJBYJq6GJrOIMO2l2meHBhgwmS0ZLu5lW1K0ANyziJEvcZy0CAV0uUJy5l2V9HV-JKFJisRVCEYAqxRiWqU5BMuxJ6UraJB5tsUpui1J6bPovoB4F9-Mx4AATnN0Xg2ojgh0UIQTJEHtTCEb4thLW4kGdCB0rXC4IxId9sIHpum-pmztMc6G2sXHEzA+jK+is3h0XX+rlUMQVZWtB3wFocwbsPn6wJ44xDqKed1sGPAWUdYvJz3C8XPntkQcHRCndgQ5uI+MNfQ2s4RLugr5Zx7KRk3H5c9hHG-Qm+EJtN1eE8S0z5lCr5Qh+UJflO8DOLU9DosBnbYKBiHgYhkF-gIfj+MSWjISO75qtgX7jj+BZtFhRIHoY+p4D0H5QXkuy4vsHyHByOoHr4R6kRwHBAA
13:34:34: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:34:34: [INFO] Matrix size: 4x14
13:34:34: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:34: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:34: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:34: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:34:34: [INFO] Add COL0 net
13:34:34: [INFO] Add COL1 net
13:34:34: [INFO] Add COL10 net
13:34:34: [INFO] Add COL11 net
13:34:34: [INFO] Add COL12 net
13:34:34: [INFO] Add COL13 net
13:34:34: [INFO] Add COL14 net
13:34:34: [INFO] Add COL2 net
13:34:34: [INFO] Add COL3 net
13:34:34: [INFO] Add COL4 net
13:34:34: [INFO] Add COL5 net
13:34:34: [INFO] Add COL6 net
13:34:34: [INFO] Add COL7 net
13:34:34: [INFO] Add COL8 net
13:34:34: [INFO] Add COL9 net
13:34:34: [INFO] Add Net-(D1-A) net
13:34:34: [INFO] Add Net-(D10-A) net
13:34:34: [INFO] Add Net-(D11-A) net
13:34:34: [INFO] Add Net-(D12-A) net
13:34:34: [INFO] Add Net-(D13-A) net
13:34:34: [INFO] Add Net-(D14-A) net
13:34:34: [INFO] Add Net-(D15-A) net
13:34:34: [INFO] Add Net-(D16-A) net
13:34:34: [INFO] Add Net-(D17-A) net
13:34:34: [INFO] Add Net-(D18-A) net
13:34:34: [INFO] Add Net-(D19-A) net
13:34:34: [INFO] Add Net-(D2-A) net
13:34:34: [INFO] Add Net-(D20-A) net
13:34:34: [INFO] Add Net-(D21-A) net
13:34:34: [INFO] Add Net-(D22-A) net
13:34:34: [INFO] Add Net-(D23-A) net
13:34:34: [INFO] Add Net-(D24-A) net
13:34:34: [INFO] Add Net-(D25-A) net
13:34:34: [INFO] Add Net-(D26-A) net
13:34:34: [INFO] Add Net-(D27-A) net
13:34:34: [INFO] Add Net-(D28-A) net
13:34:34: [INFO] Add Net-(D29-A) net
13:34:34: [INFO] Add Net-(D3-A) net
13:34:34: [INFO] Add Net-(D30-A) net
13:34:34: [INFO] Add Net-(D31-A) net
13:34:34: [INFO] Add Net-(D32-A) net
13:34:34: [INFO] Add Net-(D33-A) net
13:34:34: [INFO] Add Net-(D34-A) net
13:34:34: [INFO] Add Net-(D35-A) net
13:34:34: [INFO] Add Net-(D36-A) net
13:34:34: [INFO] Add Net-(D37-A) net
13:34:34: [INFO] Add Net-(D38-A) net
13:34:34: [INFO] Add Net-(D39-A) net
13:34:34: [INFO] Add Net-(D4-A) net
13:34:34: [INFO] Add Net-(D40-A) net
13:34:34: [INFO] Add Net-(D41-A) net
13:34:34: [INFO] Add Net-(D42-A) net
13:34:34: [INFO] Add Net-(D43-A) net
13:34:34: [INFO] Add Net-(D44-A) net
13:34:34: [INFO] Add Net-(D45-A) net
13:34:34: [INFO] Add Net-(D46-A) net
13:34:34: [INFO] Add Net-(D47-A) net
13:34:34: [INFO] Add Net-(D48-A) net
13:34:34: [INFO] Add Net-(D49-A) net
13:34:34: [INFO] Add Net-(D5-A) net
13:34:34: [INFO] Add Net-(D50-A) net
13:34:34: [INFO] Add Net-(D51-A) net
13:34:34: [INFO] Add Net-(D52-A) net
13:34:34: [INFO] Add Net-(D53-A) net
13:34:34: [INFO] Add Net-(D54-A) net
13:34:34: [INFO] Add Net-(D55-A) net
13:34:34: [INFO] Add Net-(D56-A) net
13:34:34: [INFO] Add Net-(D57-A) net
13:34:34: [INFO] Add Net-(D58-A) net
13:34:34: [INFO] Add Net-(D59-A) net
