=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIMwAcG4AxruAMQDstd4AviQIxoLgYTTwBMSP6TOXhVSY8YxII0PDnC65CSaiiaZ0sgLpoAUGCi5mywdlwBaZIWJCKlAIYPHkzNPacyt8RLXhpzOQrwzMgqPuj+7sKY9o4OcuAA7rg8YWjUADoAdllZrgEGQfyqJOgIOdmZfvHoGRW5aP7aeoF4AiQ48BZIzDwkUVR09D69bvIFcD1I0jYilF5izuAAbDLgTfrcE6jt5pbWHrOxcSRJhcWYrBFj-XPzi6yy7pvBRT4rV8ts+adb55-Ua10+g6cC6PT6tkGtEW+C+6xaRjamBBXSsEMOR3iPyMoRIvSuEBu83Iw1WT1wAE5jD5qGTMLSCQdolCASdkq8SLSAfDxqwZtEjnYseyBD5YYyiXcxXSWlTRSRiI9MMQJbZBcLeNSFWlyllWKMWsgTNitcq2LrMpd4sRauUrTznmyzj4ACwNfLPfDbTAmv4UuFAiAAJ0MvUwQc2LuMJCDIKMJhRRmmTNEUqkaHw8WkLqzaBQuaWgOa4y6f1YmZYaBzlfzlcLDt2HMwvQrzar8V6tbb9cD42Q8swsNb4Fh1cHefisJ7xee3sSIr+bq7hLVmNdaGnwMbaJ9hlQ68zPJDnXB4eebvDcaKJE2ZijCfMSfR0WJi3QhZKE8-Y-A6EPvdvP4Vg-TAVi7T4fxWf8Z3MKNcXpDd4lpcDaR-WloI2cwUCbcBiBA3CvzNH9iAwlozGwpF501eDwH9fMG06PgH06SxaX5Kh1SdX4fH9Q9NCAA
13:36:02: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:02: [INFO] Matrix size: 9x7
13:36:03: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:03: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:03: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:03: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:03: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:03: [INFO] Add COL0 net
13:36:03: [INFO] Add COL1 net
13:36:03: [INFO] Add COL2 net
13:36:03: [INFO] Add COL3 net
13:36:03: [INFO] Add COL4 net
13:36:03: [INFO] Add COL5 net
13:36:03: [INFO] Add COL6 net
13:36:03: [INFO] Add COL7 net
13:36:03: [INFO] Add Net-(D1-A) net
13:36:03: [INFO] Add Net-(D10-A) net
13:36:03: [INFO] Add Net-(D11-A) net
13:36:03: [INFO] Add Net-(D12-A) net
13:36:03: [INFO] Add Net-(D13-A) net
13:36:03: [INFO] Add Net-(D14-A) net
13:36:03: [INFO] Add Net-(D15-A) net
13:36:03: [INFO] Add Net-(D16-A) net
13:36:03: [INFO] Add Net-(D17-A) net
13:36:03: [INFO] Add Net-(D18-A) net
13:36:03: [INFO] Add Net-(D19-A) net
13:36:03: [INFO] Add Net-(D2-A) net
13:36:03: [INFO] Add Net-(D20-A) net
13:36:03: [INFO] Add Net-(D21-A) net
13:36:03: [INFO] Add Net-(D22-A) net
13:36:03: [INFO] Add Net-(D23-A) net
13:36:03: [INFO] Add Net-(D24-A) net
13:36:03: [INFO] Add Net-(D25-A) net
