=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0AmArAXwDR3AAw4IDMAOgHaWVELh6HEAs1VFt4AujgFBhSw4aFEgwMAnoIIox+AMaDwAYgCGa9eFz5aGenAjR402eAXxlSS1c0MiBPRDP4lc125vbiexmm9ESfjhMgbq2OABsgUiBAByBAJyBCPZhCHSpvniOiqrqat4A7oJoWowILGw0OCn4TMxcvPyGQiLYDAjEofoCRjIMRfAIMqUdNdnmLm6uHuAd6fgdmQs4Ae1B3h1dsxEbONFrcWuJa8m7aWdLEAOIwwxoxGislKMOpjl5+SP1WT03Jk4WKyWQqCIaYBgAC2K-V8gz6+AhsMQDEgSIAtNJMF9SE8KHMGnwDMVWgwAbk8jN7ggukTeiZrkNRKV7mM3hMptNmV47jgluB7qt8PdgjytvdIjz9kKcIdpcdpaceecfmSgcD+sSsSdyJU8dVXmSPipKd9us1jKSchyFFyEI9dfjuIS2c4jSC4Vr8CRqriqQarRyZt6EL7uWapPCXco3aVgzTfhb8NdhJ7wN6CKHWWTrUHed5vYK0+sGN6tt6JV69vmZdX5UXFZXld1DR93TcmSWHtXSN3gk6msSO7VOq9zZGGeg2sOM7r068J6m6iHZ-qfgup+A6vbWHOVQGpm3wpPSnVwrjd833q2TzLz6vh-E7zVN8QZzv7y+m5++UuAv3aXATCThIEaiBqHobnUb5sMG86gseDBLne8xXPBi68sh-rsoG4FwEe6FniuKFRuSGi4WCkG3kRcEQTej7Uf+vxAeCSZoZR0GUN6lzgOuN7Lu+3G8YhGErtx2Y4ax8D4ZRhECVhrqtuRtzDjEd6CfBlH0XJjHNMx9IaTeHEUAWNF-Hxd6CuMzg5rhSA3rJMErPJ0aKZJZnCapK6WTxBnCVpjl-o0AF6Up7F3iK3QTpR-GORFVnKDZbl2cJDmccWl4TDGHnhaZQyaTlnCcEAA
13:36:19: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:19: [INFO] Matrix size: 4x15
13:36:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:19: [INFO] Add COL0 net
13:36:19: [INFO] Add COL1 net
13:36:19: [INFO] Add COL10 net
13:36:19: [INFO] Add COL11 net
13:36:19: [INFO] Add COL12 net
13:36:19: [INFO] Add COL13 net
13:36:19: [INFO] Add COL14 net
13:36:19: [INFO] Add COL15 net
13:36:19: [INFO] Add COL2 net
13:36:19: [INFO] Add COL3 net
13:36:19: [INFO] Add COL4 net
13:36:19: [INFO] Add COL5 net
13:36:19: [INFO] Add COL6 net
13:36:19: [INFO] Add COL7 net
13:36:19: [INFO] Add COL8 net
13:36:19: [INFO] Add COL9 net
13:36:19: [INFO] Add Net-(D1-A) net
13:36:19: [INFO] Add Net-(D10-A) net
13:36:19: [INFO] Add Net-(D11-A) net
13:36:19: [INFO] Add Net-(D12-A) net
13:36:19: [INFO] Add Net-(D13-A) net
13:36:19: [INFO] Add Net-(D14-A) net
13:36:19: [INFO] Add Net-(D15-A) net
13:36:19: [INFO] Add Net-(D16-A) net
13:36:19: [INFO] Add Net-(D17-A) net
13:36:19: [INFO] Add Net-(D18-A) net
13:36:19: [INFO] Add Net-(D19-A) net
13:36:19: [INFO] Add Net-(D2-A) net
13:36:19: [INFO] Add Net-(D20-A) net
13:36:19: [INFO] Add Net-(D21-A) net
13:36:19: [INFO] Add Net-(D22-A) net
13:36:19: [INFO] Add Net-(D23-A) net
13:36:19: [INFO] Add Net-(D24-A) net
13:36:19: [INFO] Add Net-(D25-A) net
13:36:19: [INFO] Add Net-(D26-A) net
13:36:19: [INFO] Add Net-(D27-A) net
13:36:19: [INFO] Add Net-(D28-A) net
13:36:19: [INFO] Add Net-(D29-A) net
13:36:19: [INFO] Add Net-(D3-A) net
13:36:19: [INFO] Add Net-(D30-A) net
13:36:19: [INFO] Add Net-(D31-A) net
13:36:19: [INFO] Add Net-(D32-A) net
13:36:19: [INFO] Add Net-(D33-A) net
13:36:19: [INFO] Add Net-(D34-A) net
13:36:19: [INFO] Add Net-(D35-A) net
13:36:19: [INFO] Add Net-(D36-A) net
13:36:19: [INFO] Add Net-(D37-A) net
13:36:19: [INFO] Add Net-(D38-A) net
13:36:19: [INFO] Add Net-(D39-A) net
13:36:19: [INFO] Add Net-(D4-A) net
13:36:19: [INFO] Add Net-(D40-A) net
13:36:19: [INFO] Add Net-(D41-A) net
13:36:19: [INFO] Add Net-(D42-A) net
13:36:19: [INFO] Add Net-(D43-A) net
13:36:19: [INFO] Add Net-(D44-A) net
13:36:19: [INFO] Add Net-(D45-A) net
13:36:19: [INFO] Add Net-(D46-A) net
13:36:19: [INFO] Add Net-(D47-A) net
13:36:19: [INFO] Add Net-(D48-A) net
13:36:19: [INFO] Add Net-(D49-A) net
13:36:19: [INFO] Add Net-(D5-A) net
