=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOBGAOgFYBfLcABg0szgmniUhdfHIWvzqowCYe1AMyCMAFlHFRANlEB2UQA5RATlH5aFLty0Z8ArAzxI06CrnhEyu-CIC6GAFBhwFgoTnWE+GnSNNEVjYOcB8db34eHxEKHwlYjCkE2QSFBOUEtQSNKL1w-wREOWKSnjc+Qj4vUL0BB2cCk1NkMrwKqpC+X0MoY0Cg6E69Hi6DBC6Y8fERxJmUqbSpjKms+l6A5pbzPCJPIfx8AB0AOxOT6k01xkKS0v2+M9Pji791ws32Ci7bR-PutYAHnhKJViBRrswBp8pgdfs9hj0IShmq14BU9l9anCuOB6i43EQOhQhDQ4V1LhACaCQiSjk8TuTXlSiQgSQ96cdGYi+gNoNs0dTiRghGT-o1kaZUe4WeASWJRRS3pCglL0dUSdIFa8kR8aRgVHCfJdZXpKIaxUqircFHrYRyjTxaezHg6hT97b48RAAJ7A0HgvoffnS9WkjnfJk7QWsvSi-KuKMytlxyOWaMmkXhhFXHlQ4PtUPyrPxnUo4OE0PEFPcgK8qVWPWa4vawNlnCJ0MGj3x5mhu0u7OUju251PMKpkO2zMD7he8C++Agqrl9Mks1ZsZDtNJ2MbicVvWjhmRGuFOvB6Sr8SiupOFwLuBLsEIUuSleh9ePCb7ki20WTcVz3beA5D1Isv2FXE7CAA
13:37:29: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:37:29: [INFO] Matrix size: 3x13
13:37:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:30: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:30: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:30: [INFO] Add COL0 net
13:37:30: [INFO] Add COL1 net
13:37:30: [INFO] Add COL10 net
13:37:30: [INFO] Add COL11 net
13:37:30: [INFO] Add COL12 net
13:37:30: [INFO] Add COL13 net
13:37:30: [INFO] Add COL2 net
13:37:30: [INFO] Add COL3 net
13:37:30: [INFO] Add COL4 net
13:37:30: [INFO] Add COL5 net
13:37:30: [INFO] Add COL6 net
13:37:30: [INFO] Add COL7 net
13:37:30: [INFO] Add COL8 net
13:37:30: [INFO] Add COL9 net
13:37:30: [INFO] Add Net-(D1-A) net
13:37:30: [INFO] Add Net-(D10-A) net
13:37:30: [INFO] Add Net-(D11-A) net
13:37:30: [INFO] Add Net-(D12-A) net
13:37:30: [INFO] Add Net-(D13-A) net
13:37:30: [INFO] Add Net-(D14-A) net
13:37:30: [INFO] Add Net-(D15-A) net
13:37:30: [INFO] Add Net-(D16-A) net
